representation,problem_group_count,valid_ppa_count,selected_count,baseline_hypervolume,selected_hypervolume,baseline_pareto_size,selected_pareto_size,baseline_best_fitness,selected_best_fitness,unique_canonical_netlists,unique_motif_signatures,vs_lexical_hv_gain_fraction,vs_lexical_pareto_gain_fraction,area_power_front_points,selected_all_valid_front_hits,unique_ppa_points,front_hit_delta_vs_lexical,unique_ppa_delta_vs_lexical
fitness_top,114,682,341,3.864198082956659,3.8232476279516034,553,300,0.7498077353006931,0.7498077353006931,52,44,0.03280031397178676,0.06007067137809187,122,122,159,0,-24
generation_prefix,114,682,341,3.864198082956659,3.1551856809847187,553,303,0.7498077353006931,0.6950547730829421,50,45,-0.14766787844547294,0.0706713780918728,124,110,163,-12,-20
lexical_farthest,114,682,341,3.864198082956659,3.701826554688716,553,283,0.7498077353006931,0.6881421864520456,60,54,0.0,0.0,127,122,183,0,0
random,114,682,341,3.864198082956659,3.0741669813303787,553,303,0.7498077353006931,0.6950547730829421,59,50,-0.16955401991034577,0.0706713780918728,128,107,166,-15,-17
t11_contrast_top64_farthest,114,682,341,3.864198082956659,3.7692587860459548,553,286,0.7498077353006931,0.7498077353006931,58,54,0.018215934852979405,0.01060070671378092,128,120,186,-2,3
t11_contrast_weighted_farthest,114,682,341,3.864198082956659,3.7692587860459548,553,286,0.7498077353006931,0.7498077353006931,58,54,0.018215934852979405,0.01060070671378092,128,120,186,-2,3
t35_top64_cell_pareto,114,682,341,3.864198082956659,3.369629520065294,553,307,0.7498077353006931,0.7498077353006931,53,48,-0.08973868162533509,0.08480565371024736,131,126,162,4,-21
t35_top64_front_seeded,114,682,341,3.864198082956659,3.864198082956659,553,302,0.7498077353006931,0.7498077353006931,56,51,0.04386254349553033,0.06713780918727916,132,132,171,10,-12
t35_weighted_cell_pareto,114,682,341,3.864198082956659,3.369629520065294,553,307,0.7498077353006931,0.7498077353006931,53,48,-0.08973868162533509,0.08480565371024736,131,126,162,4,-21
t37_top64_slot_0,114,682,341,3.864198082956659,3.7692587860459548,553,286,0.7498077353006931,0.7498077353006931,58,54,0.018215934852979405,0.01060070671378092,128,120,186,-2,3
t37_top64_slot_1,114,682,341,3.864198082956659,3.8513440524555698,553,292,0.7498077353006931,0.7498077353006931,59,54,0.04039019536922272,0.03180212014134275,127,126,180,4,-3
t37_top64_slot_2,114,682,341,3.864198082956659,3.369629520065294,553,305,0.7498077353006931,0.7498077353006931,55,50,-0.08973868162533509,0.07773851590106007,129,123,166,1,-17
t37_top64_slot_3,114,682,341,3.864198082956659,3.369629520065294,553,307,0.7498077353006931,0.7498077353006931,53,48,-0.08973868162533509,0.08480565371024736,131,126,162,4,-21
t37_weighted_slot_1,114,682,341,3.864198082956659,3.8513440524555698,553,292,0.7498077353006931,0.7498077353006931,59,54,0.04039019536922272,0.03180212014134275,127,126,180,4,-3
t37_weighted_slot_2,114,682,341,3.864198082956659,3.369629520065294,553,305,0.7498077353006931,0.7498077353006931,55,50,-0.08973868162533509,0.07773851590106007,129,123,166,1,-17
