method,method_label,problem,valid_ppa_count,area_power_front_count,active_objective_front_count,pooled_area_power_front_count,best_score,min_area,min_power
classic_revolution,T43 Classic,Prob045_alu,35,1,1,1,0.414773013996,1664,0.000891
classic_revolution,T43 Classic,Prob041_traffic_light,12,2,2,0,0.409990922295,120,0.000363
classic_revolution,T43 Classic,Prob015_multi_pipe_8bit,14,2,2,0,0.400596683891,598,0.052
staged_sparse_yield_gate_qd,T43 staged gate,Prob045_alu,23,3,3,0,0.401364347198,1752,0.000949
staged_sparse_yield_gate_qd,T43 staged gate,Prob041_traffic_light,26,7,7,0,0.407742072137,110,0.000348
staged_sparse_yield_gate_qd,T43 staged gate,Prob015_multi_pipe_8bit,13,1,7,0,0.0527945329906,600,0.0874
initial_sparse_yield_gate_qd,T42 initial gate,Prob045_alu,17,1,1,0,0.406419278533,1719,0.00093
initial_sparse_yield_gate_qd,T42 initial gate,Prob041_traffic_light,16,2,2,0,0.391092955701,132,0.000294
initial_sparse_yield_gate_qd,T42 initial gate,Prob015_multi_pipe_8bit,15,1,5,1,0.116396797189,591,0.0689
adaptive_sparse_yield_gate_qd,T41 adaptive gate,Prob045_alu,19,2,2,0,0.400330277942,1759,0.000953
adaptive_sparse_yield_gate_qd,T41 adaptive gate,Prob041_traffic_light,20,7,7,7,0.473631082062,97,0.000255
adaptive_sparse_yield_gate_qd,T41 adaptive gate,Prob015_multi_pipe_8bit,13,2,7,0,-0.00037766206488,629,0.0935
t39_sparse_warmup_elite_slot_qd,T39 one-slot,Prob045_alu,18,3,3,0,0.402072475195,1747,0.000975
t39_sparse_warmup_elite_slot_qd,T39 one-slot,Prob041_traffic_light,15,3,3,0,0.40382050351,132,0.000294
t39_sparse_warmup_elite_slot_qd,T39 one-slot,Prob015_multi_pipe_8bit,11,5,8,1,0.2222851659,600,0.0368
