backend,benchmark,problem,circuit_type,search_mode,archive_type,descriptor_profile,generation,generation_views_available,source,candidate_id,strategy,score,quality_score,color_score,origin_pool,generated_mode,decision,inserted,replaced,cell_id,is_final_elite,area,power,eff_clk_period,tns,wns,g_A,g_P,g_T,report_path,candidate_dir,code_file_path,metrics_json_path,qd_event_path,vcd_file_path,has_qd_event,has_metrics_json,has_code_file,has_vcd_file,has_structural_metrics,has_rtl_metrics,has_graph_metrics,has_dynamic_metrics,has_physical_metrics,warning_messages,adder_ratio,always_count,arithmetic_cells,assign_count,ast_depth_est,case_count,cell_count_log,comb_ratio,comb_width_log,combinational_cells,ctrl_depth_est,ff_depth,for_count,fsm_state_count_est,if_count,laplacian_lambda2,laplacian_spectral_entropy,logic_depth,logic_depth_ltp,logic_depth_ltp_delta,ltp_noff,math_op_ast_count,mux_cells,mux_ratio,reconv_sink_ratio,reconv_source_ratio,rent_clamped_flag,rent_confidence,rent_exponent,rent_exponent_confidence_gated,rent_graph_node_count,rent_k,rent_r2,rent_raw_sample_count,rent_retained_sample_ratio,rent_sample_count,resource_sharing_ratio_est,rtl_char_count,rtl_cyclomatic_max_log,rtl_cyclomatic_total_log,rtl_instance_count_est,rtl_line_count,rtl_nonempty_line_count,scoap_cc0_bin_0_pct,scoap_cc0_bin_1_pct,scoap_cc0_bin_2_pct,scoap_cc0_bin_3_pct,scoap_cc1_bin_0_pct,scoap_cc1_bin_1_pct,scoap_cc1_bin_2_pct,scoap_cc1_bin_3_pct,scoap_co_bin_0_pct,scoap_co_bin_1_pct,scoap_co_bin_2_pct,scoap_co_bin_3_pct,scoap_signal_smoothness,seq_ratio,sequential_cells,shift_op_count,ternary_count,total_cells,utilization,wire_cell_ratio_est,wire_count_log_est
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,eb8a4765-aa3a-443d-bf35-f4efc7add64e,initial,-0.039436123191739565,,-0.039436123191739565,,,,False,False,,False,690.0,0.104,1.03,-18.97,-1.02,0.29591836734693877,-0.15812917594654777,-0.2560975609756097,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,4316ca55-c626-45ac-a3b3-7ec0ea638963,initial,-0.040188435632822296,,-0.040188435632822296,,,,False,False,,False,713.0,0.101,1.04,-16.61,-1.03,0.2724489795918367,-0.12472160356347439,-0.26829268292682923,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,2e2aac63-afaa-4234-897d-efa6bc3841e6,M-I,0.16511684797771578,,0.16511684797771578,,,,False,False,,False,680.0,0.052,1.01,-13.83,-1.0,0.30612244897959184,0.42093541202672613,-0.23170731707317066,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,24f1db10-7240-4569-99e3-2c58277089fd,C-F,-0.1546850974623104,,-0.1546850974623104,,,,False,False,,False,902.0,0.143,0.78,-24.56,-0.77,0.07959183673469387,-0.5924276169265031,0.048780487804878085,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,abafafb1-7f27-4ebd-93f1-2adf6c530d10,M-E,-0.06373119403663467,,-0.06373119403663467,,,,False,False,,False,661.0,0.0913,1.23,-18.01,-1.22,0.32551020408163267,-0.016703786191536764,-0.4999999999999999,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,e45ded26-3372-41c6-b199-2044a8248f26,M-F,-0.1588080438324496,,-0.1588080438324496,,,,False,False,,False,778.0,0.127,1.04,-19.22,-1.03,0.20612244897959184,-0.4142538975501113,-0.26829268292682923,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,86356dc9-ae01-46b8-8d56-c6e5d0c94a96,M-S,-0.027547953289632377,,-0.027547953289632377,,,,False,False,,False,667.0,0.104,1.02,-17.1,-1.01,0.3193877551020408,-0.15812917594654777,-0.24390243902439018,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,08a7bffb-86bc-4506-bd68-6f8388f3de54,M-S,0.07168927650369183,,0.07168927650369183,,,,False,False,,False,600.0,0.0845,1.01,-15.48,-1.0,0.3877551020408163,0.05902004454342983,-0.23170731707317066,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,34412307-7f4c-4ed6-ad7c-ec37315b7ac8,M-R,-0.00037766206488025017,,-0.00037766206488025017,,,,False,False,,False,630.0,0.0935,1.08,-17.08,-1.07,0.35714285714285715,-0.04120267260579059,-0.3170731707317073,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,80eaec75-3903-48d6-b8c0-adfa3e9bc32f,M-F,-0.027547953289632377,,-0.027547953289632377,,,,False,False,,False,667.0,0.104,1.02,-17.1,-1.01,0.3193877551020408,-0.15812917594654777,-0.24390243902439018,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
