backend,benchmark,problem,circuit_type,search_mode,archive_type,descriptor_profile,generation,generation_views_available,source,candidate_id,strategy,score,quality_score,color_score,origin_pool,generated_mode,decision,inserted,replaced,cell_id,is_final_elite,area,power,eff_clk_period,tns,wns,g_A,g_P,g_T,report_path,candidate_dir,code_file_path,metrics_json_path,qd_event_path,vcd_file_path,has_qd_event,has_metrics_json,has_code_file,has_vcd_file,has_structural_metrics,has_rtl_metrics,has_graph_metrics,has_dynamic_metrics,has_physical_metrics,warning_messages,adder_ratio,arithmetic_cells,cell_count_log,comb_ratio,comb_width_log,combinational_cells,edge_per_node,ff_depth,hyper_cell_count,hyper_directed_edge_count,hyper_driven_net_count,hyper_fanout_entropy,hyper_max_fanout,hyper_max_level,hyper_max_level_delta,hyper_mean_fanout,hyper_net_count,hyper_sink_net_count,laplacian_lambda2,laplacian_spectral_entropy,log_edge_count,log_max_level,log_net_count,log_node_count,logic_depth,logic_depth_ltp,logic_depth_ltp_delta,ltp_noff,mux_cells,mux_ratio,reconv_sink_ratio,reconv_source_ratio,rent_clamped_flag,rent_confidence,rent_exponent,rent_exponent_confidence_gated,rent_graph_node_count,rent_k,rent_r2,rent_raw_sample_count,rent_retained_sample_ratio,rent_sample_count,scoap_cc0_bin_0_pct,scoap_cc0_bin_1_pct,scoap_cc0_bin_2_pct,scoap_cc0_bin_3_pct,scoap_cc1_bin_0_pct,scoap_cc1_bin_1_pct,scoap_cc1_bin_2_pct,scoap_cc1_bin_3_pct,scoap_co_bin_0_pct,scoap_co_bin_1_pct,scoap_co_bin_2_pct,scoap_co_bin_3_pct,scoap_signal_smoothness,seq_ratio,sequential_cells,share_family_inv,total_cells,utilization
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,ecfed199-5935-40f1-a26d-3b1088095465,initial,0.03791141422618264,,0.03791141422618264,,,,False,False,,False,649.0,0.0913,0.99,-15.49,-0.98,0.3377551020408163,-0.016703786191536764,-0.20731707317073161,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,dbbb0fa9-2b67-4718-b49a-ca40382b7e12,initial,-0.07596036839419344,,-0.07596036839419344,,,,False,False,,False,708.0,0.11,1.05,-17.11,-1.04,0.27755102040816326,-0.22494432071269482,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,ff35299a-d031-4683-8b95-a5fb944e1354,initial,-0.07596036839419344,,-0.07596036839419344,,,,False,False,,False,708.0,0.11,1.05,-17.11,-1.04,0.27755102040816326,-0.22494432071269482,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,9f9e7806-81cc-4d29-b248-8f32a958cf3d,initial,0.0195504417204983,,0.0195504417204983,,,,False,False,,False,628.0,0.0916,1.05,-15.3,-1.04,0.35918367346938773,-0.020044543429844054,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,76927aca-6f1b-451b-91ae-8606fd6cdacd,M-I,-0.027623633515549657,,-0.027623633515549657,,,,False,False,,False,701.0,0.102,1.01,-17.42,-1.0,0.28469387755102044,-0.13585746102449875,-0.23170731707317066,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,bebceb31-fdfc-4b59-9569-a3c965b1dc08,M-E,-0.09425525003852368,,-0.09425525003852368,,,,False,False,,False,834.0,0.122,0.88,-25.96,-0.87,0.1489795918367347,-0.35857461024498877,-0.073170731707317,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,867fab06-333c-42fe-ab30-6fc05dda67bc,M-R,0.023107098236111234,,0.023107098236111234,,,,False,False,,False,623.0,0.0911,1.05,-15.18,-1.04,0.36428571428571427,-0.0144766146993318,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,f4ec935e-8ded-4abb-8e06-5ad5b7eb4b44,C-F,-0.10322542619090112,,-0.10322542619090112,,,,False,False,,False,1076.0,0.134,0.59,-34.97,-0.58,-0.09795918367346938,-0.4922048997772829,0.28048780487804886,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,b7952921-ccc2-4ba8-bf43-7754eb3a0b82,M-R,-0.24914641721754696,,-0.24914641721754696,,,,False,False,,False,1293.0,0.137,0.74,-41.4,-0.73,-0.3193877551020408,-0.5256124721603563,0.09756097560975617,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,73136be3-db1a-4e6c-a68d-6f9fb7348916,M-R,-0.03207494633466399,,-0.03207494633466399,,,,False,False,,False,725.0,0.101,1.01,-19.06,-1.0,0.2602040816326531,-0.12472160356347439,-0.23170731707317066,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
