feature,count,finite_fraction,unique_count,unique_ratio,nonzero_fraction,min,max,mean,stddev,q25,q75,iqr,normalized_range_coverage,collapsed,near_collapsed
adder_ratio,36,1.0,33,0.9166666666666666,1.0,0.060240963855421686,0.2589928057553957,0.13357346114549246,0.06072963742604648,0.09075822544734889,0.2052456560027339,0.114487430555385,1.0,False,False
arithmetic_cells,36,1.0,14,0.3888888888888889,1.0,4.0,142.0,84.63888888888889,46.033292769580115,67.0,127.0,60.0,1.0,False,False
cell_count_log,36,1.0,32,0.8888888888888888,1.0,4.204692619390966,7.29641326877392,6.178393478640377,1.0705959499308575,5.740071272242631,7.2192661196554155,1.479194847412785,1.0,False,False
comb_ratio,36,1.0,19,0.5277777777777778,1.0,0.623229461756374,1.0,0.9023036910942319,0.10137348925049239,0.8476410768234787,1.0,0.15235892317652133,1.0,False,False
comb_width_log,36,1.0,17,0.4722222222222222,1.0,1.3862943611198906,4.1588830833596715,3.3321338034997146,0.7371445797815083,2.833213344056216,3.8918202981106265,1.0586069540544103,1.0,False,False
combinational_cells,36,1.0,17,0.4722222222222222,1.0,3.0,63.0,33.44444444444444,18.166581719135404,16.0,48.0,32.0,1.0,False,False
edge_per_node,36,1.0,30,0.8333333333333334,1.0,0.9,2.225,1.4831843915009326,0.3130323704990763,1.2151268115942029,1.7142857142857142,0.4991589026915113,1.0,False,False
ff_depth,36,1.0,7,0.19444444444444445,0.5555555555555556,0.0,9.0,1.75,1.963203164898291,0.0,3.0,3.0,1.0,False,False
hyper_cell_count,36,1.0,23,0.6388888888888888,1.0,10.0,63.0,37.583333333333336,15.88565915115475,22.75,48.5,25.75,1.0,False,False
hyper_directed_edge_count,36,1.0,26,0.7222222222222222,1.0,9.0,94.0,54.638888888888886,21.935705010803453,36.75,69.75,33.0,1.0,False,False
hyper_driven_net_count,36,1.0,25,0.6944444444444444,1.0,57.0,855.0,380.3611111111111,207.3680507880959,127.0,527.0,400.0,1.0,False,False
hyper_fanout_entropy,36,1.0,32,0.8888888888888888,1.0,5.486212415896095,9.429653758174856,7.674591529143849,1.0122066304730588,6.828601272655391,8.26657735934861,1.4379760866932187,1.0,False,False
hyper_max_fanout,36,1.0,10,0.2777777777777778,1.0,5.0,22.0,13.027777777777779,4.969272868288295,8.0,17.0,9.0,1.0,False,False
hyper_max_level,36,1.0,12,0.3333333333333333,0.8055555555555556,0.0,32.0,5.472222222222222,5.535170935386785,3.0,7.0,4.0,1.0,False,False
hyper_max_level_delta,36,1.0,11,0.3055555555555556,0.8055555555555556,0.0,29.0,4.75,4.990964057396349,2.5,6.0,3.5,1.0,False,False
hyper_mean_fanout,36,1.0,32,0.8888888888888888,1.0,1.145631067961165,2.5858369098712446,1.8680853281641185,0.5108856413269082,1.224569562636058,2.373452371151733,1.1488828085156748,1.0,False,False
hyper_net_count,36,1.0,25,0.6944444444444444,1.0,57.0,855.0,380.3611111111111,207.3680507880959,127.0,527.0,400.0,1.0,False,False
