feature,coefficient
scoap_signal_smoothness,0.15280227047871286
ff_depth,-0.1493587056889216
scoap_co_bin_1_pct,0.13330302267915034
scoap_cc1_bin_2_pct,0.10902448470245772
rent_exponent_confidence_gated,0.07869540854176564
sequential_cells,-0.07640195849748871
scoap_cc1_bin_1_pct,-0.0706743764112117
scoap_cc1_bin_0_pct,-0.06509998728031964
scoap_cc0_bin_0_pct,-0.06162437027772085
seq_ratio,-0.05912855113527693
comb_ratio,0.05912855113527663
scoap_cc1_bin_3_pct,0.05811506362627411
mux_ratio,-0.057199238223663885
reconv_sink_ratio,-0.054210874002755
scoap_cc0_bin_3_pct,0.05267438559932192
rent_retained_sample_ratio,0.046747851412728254
laplacian_lambda2,0.04657509022495199
rent_confidence,-0.045893653745683834
rent_k,0.040931208935987354
hyper_max_level,-0.0399949623791259
rent_clamped_flag,0.03968441120365852
rent_exponent,0.037214291520130144
scoap_co_bin_0_pct,-0.03707756598857618
reconv_source_ratio,-0.036089982743438484
adder_ratio,-0.03515459077675721
total_cells,0.03407912793184888
arithmetic_cells,0.0325172979893342
hyper_directed_edge_count,-0.03090528903339495
scoap_cc0_bin_2_pct,0.028323032146571073
scoap_co_bin_2_pct,-0.027546495166609113
log_edge_count,-0.027319406642099826
log_node_count,-0.026063521708256706
combinational_cells,0.025626090466104423
share_family_inv,-0.02526175889934391
hyper_max_fanout,-0.02434846505313309
comb_width_log,0.023899980619597493
mux_cells,0.023749812470630516
hyper_net_count,0.023435362423362322
hyper_driven_net_count,0.023435362423362242
rent_r2,0.022690233865416767
hyper_sink_net_count,0.02089011414800087
hyper_mean_fanout,0.018710083734114587
logic_depth,0.018521183888362
logic_depth_ltp,0.018521183888361985
laplacian_spectral_entropy,0.017908116385536386
hyper_max_level_delta,-0.01781873530368748
log_max_level,-0.017156887128639733
rent_raw_sample_count,-0.016857230200549387
scoap_cc0_bin_1_pct,-0.013510351339120012
hyper_fanout_entropy,-0.012535617125040364
rent_graph_node_count,-0.012324332191374535
hyper_cell_count,-0.012324332191374491
scoap_co_bin_3_pct,-0.011027213947803706
edge_per_node,-0.010578621958738202
cell_count_log,0.009977754741304554
rent_sample_count,-0.006366946232970454
log_net_count,-0.003722705726169706
logic_depth_ltp_delta,0.0
ltp_noff,0.0
utilization,0.0
