feature,count,finite_fraction,unique_count,unique_ratio,nonzero_fraction,min,max,mean,stddev,q25,q75,iqr,normalized_range_coverage,collapsed,near_collapsed
adder_ratio,41,1.0,35,0.8536585365853658,1.0,0.05813953488372093,0.25868725868725867,0.11820555691018862,0.06160662693038459,0.07246376811594203,0.14393939393939395,0.07147562582345192,1.0,False,False
arithmetic_cells,41,1.0,11,0.2682926829268293,1.0,4.0,142.0,63.09756097560975,53.586403844426705,5.0,127.0,122.0,1.0,False,False
cell_count_log,41,1.0,35,0.8536585365853658,1.0,3.9512437185814275,7.321188556739479,5.620300545771322,1.2900356538591033,4.248495242049359,7.189922170745808,2.9414269286964485,1.0,False,False
comb_ratio,41,1.0,24,0.5853658536585366,1.0,0.6060606060606061,1.0,0.8776777574177158,0.09642801432478877,0.8365384615384616,1.0,0.16346153846153844,1.0,False,False
comb_width_log,41,1.0,23,0.5609756097560976,1.0,0.6931471805599453,4.5217885770490405,3.1932402042385872,0.7752021627221868,2.5649493574615367,4.060443010546419,1.4954936530848824,1.0,False,False
combinational_cells,41,1.0,23,0.5609756097560976,1.0,1.0,91.0,31.24390243902439,24.172934358548137,12.0,57.0,45.0,1.0,False,False
edge_per_node,41,1.0,29,0.7073170731707317,1.0,0.75,2.2142857142857144,1.476302426598169,0.2533962620118127,1.3103448275862069,1.5416666666666667,0.2313218390804599,1.0,False,False
ff_depth,41,1.0,6,0.14634146341463414,0.6829268292682927,0.0,10.0,1.829268292682927,2.4683601648926343,0.0,3.0,3.0,1.0,False,False
hyper_cell_count,41,1.0,24,0.5853658536585366,1.0,8.0,91.0,35.36585365853659,22.545083394098963,16.0,57.0,41.0,1.0,False,False
hyper_directed_edge_count,41,1.0,30,0.7317073170731707,1.0,6.0,134.0,50.170731707317074,28.638965813716784,24.0,75.0,51.0,1.0,False,False
hyper_driven_net_count,41,1.0,31,0.7560975609756098,1.0,44.0,1338.0,364.9756097560976,351.85539489584517,61.0,560.0,499.0,1.0,False,False
hyper_fanout_entropy,41,1.0,32,0.7804878048780488,1.0,5.178849818243947,9.733954954970478,7.215457333724523,1.4849081172997005,5.63623840405007,8.27004306302463,2.63380465897456,1.0,False,False
hyper_max_fanout,41,1.0,11,0.2682926829268293,1.0,4.0,34.0,11.951219512195122,8.057570957323442,4.0,17.0,13.0,1.0,False,False
hyper_max_level,41,1.0,15,0.36585365853658536,0.5853658536585366,0.0,24.0,5.878048780487805,6.851010685457629,0.0,8.0,8.0,1.0,False,False
