backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,0,e6636a17-0316-4456-851a-cdd38d9b6f6e,initial,generation_log,0.0271721388865,0.0271721388865,623,0.0911,1.04,980,0.0898,0.82,0.364285714286,-0.0144766146993,-0.268292682927,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,0,58d546ab-f90b-4035-bce2-d2af7adb9cf6,initial,generation_log,-0.138874785071,-0.138874785071,775,0.123,1.03,980,0.0898,0.82,0.209183673469,-0.369710467706,-0.256097560976,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,0,0dbc2cdc-7dd4-4d94-b190-9e95ac4be05d,initial,generation_log,-0.0573285656269,-0.0573285656269,687,0.108,1.04,980,0.0898,0.82,0.298979591837,-0.202672605791,-0.268292682927,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,0,1dbe2a57-4107-42fe-a156-2bcfda24121d,initial,generation_log,-0.0759603683942,-0.0759603683942,708,0.11,1.05,980,0.0898,0.82,0.277551020408,-0.224944320713,-0.280487804878,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,1,09035a15-c8f1-4f39-a564-6e8be88a9288,M-I,generation_log,-0.0759603683942,-0.0759603683942,708,0.11,1.05,980,0.0898,0.82,0.277551020408,-0.224944320713,-0.280487804878,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,1,89ef7964-68fc-4a70-9090-385009bc3b43,M-I,generation_log,-0.264662822052,-0.264662822052,1017,0.115,1.21,980,0.0898,0.82,-0.0377551020408,-0.280623608018,-0.475609756098,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,1,df9e9125-e46c-4c55-a058-9164233fc250,M-R,generation_log,-0.0275479532896,-0.0275479532896,667,0.104,1.02,980,0.0898,0.82,0.319387755102,-0.158129175947,-0.243902439024,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,2,aa5a78a2-464d-4c95-9288-f1cf822cf544,M-R,generation_log,-0.524512355869,-0.524512355869,1441,0.225,0.49,980,0.0898,0.82,-0.470408163265,-1.50556792873,0.40243902439,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,2,8e89acb8-3fcd-4e2f-836b-a586a769ddb7,M-R,generation_log,0.145536067651,0.145536067651,720,0.0558,0.99,980,0.0898,0.82,0.265306122449,0.378619153675,-0.207317073171,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,2,87d0499c-550d-4a5e-ada7-159508fed977,M-E,generation_log,-0.647944328473,-0.647944328473,1449,0.217,0.86,980,0.0898,0.82,-0.478571428571,-1.41648106904,-0.0487804878049,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,2,33dd7ba2-8d60-4f3b-a6f3-fd9dc209002e,M-E,generation_log,-0.223610641497,-0.223610641497,1062,0.171,0.56,980,0.0898,0.82,-0.0836734693878,-0.904231625835,0.317073170732,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,2,c0e829da-bd1c-4422-976a-99a2b02305c5,M-S,generation_log,0.0481303510594,0.0481303510594,653,0.0838,1.03,980,0.0898,0.82,0.333673469388,0.0668151447661,-0.256097560976,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,2,b8e12254-cea8-49a6-a256-b57ebd833323,M-S,generation_log,-0.0451593478936,-0.0451593478936,685,0.106,1.03,980,0.0898,0.82,0.301020408163,-0.180400890869,-0.256097560976,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,3,81abcac1-bd69-4abe-a944-4086479c0694,M-R,generation_log,-0.109436341216,-0.109436341216,716,0.115,1.08,980,0.0898,0.82,0.269387755102,-0.280623608018,-0.317073170732,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,3,e19dd79d-ef57-4d64-be58-acd194abb92e,M-R,generation_log,0.0334751783271,0.0334751783271,649,0.0914,1,980,0.0898,0.82,0.337755102041,-0.0178173719376,-0.219512195122,,
