method,method_label,problem,valid_ppa_count,area_power_front_count,active_objective_front_count,pooled_area_power_front_count,best_score,min_area,min_power
classic_revolution,T46 Classic,Prob045_alu,23,1,1,0,0.396563801827,1785,0.000919
classic_revolution,T46 Classic,Prob041_traffic_light,16,1,1,1,0.424796659405,122,0.000258
classic_revolution,T46 Classic,Prob015_multi_pipe_8bit,15,1,6,0,0.0527945329906,600,0.0874
t11_runtime_pca4_graph_qd,T46 T11 PCA4,Prob045_alu,15,1,1,1,0.399419015704,1766,0.000916
t11_runtime_pca4_graph_qd,T46 T11 PCA4,Prob041_traffic_light,9,2,2,0,0.377367465505,145,0.000294
t11_runtime_pca4_graph_qd,T46 T11 PCA4,Prob015_multi_pipe_8bit,13,3,6,0,0.0536128993398,600,0.0857
t11_runtime_top4_graph_qd,T45 T11 top-4,Prob045_alu,13,2,2,2,0.40662533675,1717,0.000949
t11_runtime_top4_graph_qd,T45 T11 top-4,Prob041_traffic_light,17,2,2,1,0.420875090777,114,0.000258
t11_runtime_top4_graph_qd,T45 T11 top-4,Prob015_multi_pipe_8bit,11,2,6,0,0.0709514312542,629,0.0814
t11_runtime_top8_graph_qd,T44 T11 top-8,Prob045_alu,16,2,2,0,0.404449011105,1731,0.000975
t11_runtime_top8_graph_qd,T44 T11 top-8,Prob041_traffic_light,7,2,2,0,0.389132171387,120,0.000294
t11_runtime_top8_graph_qd,T44 T11 top-8,Prob015_multi_pipe_8bit,13,1,7,1,0.116396797189,591,0.0689
t39_sparse_warmup_elite_slot_qd,T39 one-slot,Prob045_alu,18,3,3,0,0.402072475195,1747,0.000975
t39_sparse_warmup_elite_slot_qd,T39 one-slot,Prob041_traffic_light,15,3,3,0,0.40382050351,132,0.000294
t39_sparse_warmup_elite_slot_qd,T39 one-slot,Prob015_multi_pipe_8bit,11,5,8,1,0.2222851659,600,0.0368
