feature,eligible,predictive_score,diversity_score,stability_score,composite_score,collapsed_in_backend_count,finite_fraction,normalized_range_coverage,unique_ratio
sequential_cells,True,0.9116842601035257,0.7837837837837838,1.0,0.8845822413709108,0,1.0,1.0,0.35135135135135137
seq_ratio,True,0.8473900740048391,0.8324272765013916,1.0,0.8726750800776646,0,1.0,1.0,0.5405405405405406
ff_depth,True,0.885678212683445,0.7207207207207208,1.0,0.8508074479598025,0,1.0,1.0,0.16216216216216217
scoap_cc1_bin_3_pct,True,0.801897989034657,0.7802494858794834,1.0,0.8339414151234148,0,1.0,1.0,0.8648648648648649
scoap_co_bin_0_pct,True,0.7227329352607847,0.8650478209659248,1.0,0.8279965582054267,0,1.0,1.0,0.8918918918918919
share_family_inv,True,0.7661117236682167,0.8018018018018017,1.0,0.825380906281328,0,1.0,1.0,0.40540540540540543
combinational_cells,True,0.695401996549804,0.8809683966033678,1.0,0.8212698372585905,0,1.0,1.0,0.6486486486486487
scoap_cc1_bin_1_pct,True,0.6889759883784612,0.8627936545365217,1.0,0.81201697385809,0,1.0,1.0,0.8378378378378378
scoap_cc0_bin_0_pct,True,0.7196915827623172,0.8141740973783861,1.0,0.8088221463254779,0,1.0,1.0,0.8648648648648649
scoap_cc0_bin_3_pct,True,0.7588703833414157,0.7630217027600356,1.0,0.8085492684696494,0,1.0,1.0,0.8378378378378378
scoap_cc1_bin_0_pct,True,0.7000000049250756,0.8155880105704635,1.0,0.8004558059159463,0,1.0,1.0,0.8648648648648649
mux_ratio,True,0.6676953466091184,0.846025556305781,1.0,0.7965718506811266,0,1.0,1.0,0.8378378378378378
hyper_mean_fanout,True,0.7097272447835468,0.7431126029297189,1.0,0.7794666711779976,0,1.0,1.0,0.9459459459459459
scoap_signal_smoothness,True,0.646936810031294,0.821641439972575,1.0,0.7786960685044835,0,1.0,1.0,0.9459459459459459
comb_ratio,True,0.8473900740048391,0.5549067303653777,1.0,0.7755428889300597,0,1.0,1.0,0.5405405405405406
mux_cells,True,0.5854869884086941,0.8648648648648649,1.0,0.766171847486615,0,1.0,1.0,0.5945945945945946
logic_depth,True,0.6379934526749251,0.7747747747747749,1.0,0.7582682248748875,0,1.0,1.0,0.32432432432432434
logic_depth_ltp,True,0.6379934526749251,0.7747747747747749,1.0,0.7582682248748875,0,1.0,1.0,0.32432432432432434
scoap_co_bin_3_pct,True,0.639966845560634,0.7285627752067155,1.0,0.7429820518246357,0,1.0,1.0,0.8378378378378378
rent_exponent_confidence_gated,True,0.5724793052524481,0.8035379892891491,1.0,0.7388539836148038,0,1.0,1.0,0.9459459459459459
hyper_cell_count,True,0.5153097555186328,0.8754448949820309,1.0,0.7382951032270955,0,1.0,1.0,0.7837837837837838
rent_graph_node_count,True,0.5153097555186328,0.8754448949820309,1.0,0.7382951032270955,0,1.0,1.0,0.7837837837837838
comb_width_log,True,0.695401996549804,0.6208585497421331,1.0,0.7302313908571583,0,1.0,1.0,0.6486486486486487
rent_exponent,True,0.4844565869676787,0.8834777659134438,1.0,0.7272226822051606,0,1.0,1.0,0.8918918918918919
reconv_source_ratio,True,0.6467649094087821,0.6628041237061276,1.0,0.7230256525310965,0,1.0,1.0,0.4864864864864865
scoap_cc0_bin_1_pct,True,0.5666666706536325,0.7618833821858297,1.0,0.721659185559175,0,1.0,1.0,0.8648648648648649
total_cells,True,0.47309404487143936,0.8764206494346295,1.0,0.7196395474942681,0,1.0,1.0,0.8648648648648649
scoap_co_bin_1_pct,True,0.4744427861655947,0.8558558558558559,1.0,0.7130488033240672,0,1.0,1.0,0.5675675675675675
hyper_directed_edge_count,True,0.40964178123983064,0.9269611143556964,1.0,0.7087751915824174,0,1.0,1.0,0.7837837837837838
scoap_co_bin_2_pct,True,0.472676589779421,0.8378378378378378,1.0,0.7059477086439827,0,1.0,1.0,0.5135135135135135
rent_confidence,True,0.542479574006589,0.7325353463447719,1.0,0.7005031795236352,0,1.0,1.0,0.9459459459459459
scoap_cc0_bin_2_pct,True,0.42161341373484246,0.8648648648648649,1.0,0.6924287388833819,0,1.0,1.0,0.5945945945945946
rent_sample_count,True,0.6124335517579745,0.6157790705346456,1.0,0.6911177729782145,0,1.0,1.0,0.40540540540540543
rent_raw_sample_count,True,0.6028754792823314,0.6202078586399214,1.0,0.6883667162010216,0,1.0,1.0,0.40540540540540543
arithmetic_cells,True,0.5560195683457582,0.6799434551798051,1.0,0.688189015068523,0,1.0,1.0,0.43243243243243246
hyper_sink_net_count,True,0.44366304722306826,0.8122059772335398,1.0,0.6839204632821196,0,1.0,1.0,0.8108108108108109
hyper_driven_net_count,True,0.44856280150097455,0.8029427145643714,1.0,0.6828832107729685,0,1.0,1.0,0.7837837837837838
hyper_net_count,True,0.44856280150097455,0.8029427145643714,1.0,0.6828832107729685,0,1.0,1.0,0.7837837837837838
t11_runtime_pca_0,True,0.49321079938338963,0.7409136977548677,1.0,0.6812646539367291,0,1.0,1.0,0.9459459459459459
t11_runtime_pca_2,True,0.5074180575537395,0.7100025667794684,1.0,0.6768390242719966,0,1.0,1.0,0.9459459459459459
adder_ratio,True,0.4331988731371528,0.7908854555962098,1.0,0.6717494023703922,0,1.0,1.0,0.8918918918918919
laplacian_spectral_entropy,True,0.529150185102604,0.6526233227589682,1.0,0.6665357462618107,0,1.0,1.0,0.9459459459459459
reconv_sink_ratio,True,0.38312555503451406,0.8333780309314284,1.0,0.6640888105915312,0,1.0,1.0,0.7297297297297297
rent_r2,True,0.34149668892316937,0.8767091249363151,1.0,0.6605217037431366,0,1.0,1.0,0.9459459459459459
log_node_count,True,0.5153097555186328,0.647781953482963,1.0,0.6586130737024218,0,1.0,1.0,0.7837837837837838
rent_k,True,0.3538306551145254,0.8465901803722268,1.0,0.6555303579318158,0,1.0,1.0,0.9459459459459459
t11_runtime_pca_1,True,0.47067892828869284,0.6922331981889904,1.0,0.6540871370960584,0,1.0,1.0,0.9459459459459459
cell_count_log,True,0.47309404487143936,0.6819528338465775,1.0,0.6515758120384498,0,1.0,1.0,0.8648648648648649
scoap_cc1_bin_2_pct,True,0.34524134252331873,0.8358112610251553,1.0,0.6478925454942979,0,1.0,1.0,0.6486486486486487
hyper_fanout_entropy,True,0.4260252515024816,0.6994483289374123,1.0,0.6365182783042109,0,1.0,1.0,0.9459459459459459
hyper_max_fanout,True,0.4815651467084396,0.6136196718466781,1.0,0.6314712011651351,0,1.0,1.0,0.32432432432432434
log_net_count,True,0.44856280150097455,0.6446856569303266,1.0,0.6274932406010529,0,1.0,1.0,0.7837837837837838
log_edge_count,True,0.40964178123983064,0.6483984408924577,1.0,0.6112782558702841,0,1.0,1.0,0.7837837837837838
t11_runtime_pca_3,True,0.33544966733262016,0.7346720534930135,1.0,0.6080875690222338,0,1.0,1.0,0.9459459459459459
edge_per_node,True,0.3597438026331397,0.6961221470627694,1.0,0.6055274626568822,0,1.0,1.0,0.8648648648648649
hyper_max_level,True,0.2367709186197937,0.8018018018018017,1.0,0.5871775440095377,0,1.0,1.0,0.40540540540540543
laplacian_lambda2,True,0.13509013631876282,0.9052656860282289,1.0,0.5776335514533234,0,1.0,1.0,0.918918918918919
hyper_max_level_delta,True,0.2130208665630976,0.7927927927927928,1.0,0.5733368674308714,0,1.0,1.0,0.3783783783783784
log_max_level,True,0.2367709186197937,0.6831212730132529,1.0,0.5456393589335458,0,1.0,1.0,0.40540540540540543
rent_retained_sample_ratio,True,0.37234720637499513,0.46192278388229907,1.0,0.5292292172275526,0,1.0,1.0,0.2972972972972973
rent_clamped_flag,True,0.08349192919018891,0.6846846846846847,1.0,0.4772110077752247,0,1.0,1.0,0.05405405405405406
logic_depth_ltp_delta,False,0.0,0.009009009009009009,1.0,0.20315315315315316,1,1.0,0.0,0.02702702702702703
ltp_noff,False,0.0,0.009009009009009009,1.0,0.20315315315315316,1,1.0,0.0,0.02702702702702703
utilization,False,0.0,0.009009009009009009,1.0,0.20315315315315316,1,1.0,0.0,0.02702702702702703
