feature,coefficient
edge_per_node,-0.17287359403917074
sequential_cells,-0.14505640175525034
scoap_cc1_bin_3_pct,0.11171293909609295
ff_depth,-0.10490094856786888
scoap_cc0_bin_0_pct,-0.10051388421461337
scoap_cc1_bin_0_pct,-0.10016023004017607
reconv_source_ratio,-0.09954798094254767
rent_r2,-0.09334510617031136
mux_ratio,-0.07564885419300517
scoap_co_bin_0_pct,-0.07075427638593036
scoap_cc1_bin_1_pct,-0.07048217049689882
scoap_co_bin_2_pct,0.06411217412902032
rent_confidence,-0.06262714855696364
scoap_co_bin_1_pct,0.06117075577626789
rent_retained_sample_ratio,-0.05815824515007371
logic_depth,0.053572239969523136
logic_depth_ltp,0.05357223996952311
hyper_mean_fanout,0.051349097702109034
log_edge_count,-0.048755367862102564
seq_ratio,-0.048204828991604796
comb_ratio,0.04820482899160449
log_max_level,-0.047307455043631444
laplacian_lambda2,0.047149601451976976
scoap_cc0_bin_3_pct,0.041938468392955126
t11_runtime_pca_1,-0.036785032981154056
scoap_signal_smoothness,0.03678179191179155
comb_width_log,0.03631105416269919
scoap_cc0_bin_1_pct,0.03366121967877074
combinational_cells,0.03240975863014967
t11_runtime_pca_0,-0.02520361662634951
hyper_fanout_entropy,-0.02516637020916285
log_net_count,-0.02513879545518497
arithmetic_cells,0.02183060431591308
hyper_cell_count,0.020087186839914516
rent_graph_node_count,0.020087186839914326
cell_count_log,-0.02005000339701601
hyper_max_level_delta,-0.019214667814657402
rent_raw_sample_count,0.019095439304411564
scoap_cc1_bin_2_pct,0.01584861143858138
rent_exponent_confidence_gated,0.015057586121840175
share_family_inv,0.01434919497038978
scoap_cc0_bin_2_pct,0.013587041882758402
reconv_sink_ratio,-0.012756250405697812
total_cells,0.011304267578020147
hyper_max_fanout,-0.010146735646581428
rent_sample_count,0.00866771942473063
laplacian_spectral_entropy,0.008430856381222592
log_node_count,0.0081230170713285
rent_clamped_flag,0.006924308366481988
hyper_directed_edge_count,-0.006461917816648868
rent_k,-0.006116952880354322
t11_runtime_pca_2,-0.005768192186395433
rent_exponent,-0.004815685798010099
hyper_net_count,0.004593901792357383
hyper_driven_net_count,0.004593901792357364
hyper_max_level,0.004118816735729565
adder_ratio,0.003303622513573297
hyper_sink_net_count,0.0031771158067198362
t11_runtime_pca_3,-0.0018811536422018266
mux_cells,-0.0016512071148062364
scoap_co_bin_3_pct,-0.001516320705004124
logic_depth_ltp_delta,0.0
ltp_noff,0.0
utilization,0.0
