seed,method,method_label,benchmark,problem,candidate_id,generation,is_pareto_front,area,power,eff_clk_period,area_improvement,power_improvement,eff_clk_period_improvement,objective_metrics
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,00a6fbae-b68f-4df9-b993-83a743ba83b3,1,False,46.000000,0.000031,,0.000000,0.989701,,area|power
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,693d92e8-b28e-47cf-9fc0-a21ee1be9288,1,False,63.000000,0.000040,,-0.369565,0.986578,,area|power
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,7da0c8d8-4ee3-48b5-8c42-8be80b8c10cb,1,True,39.000000,0.000023,,0.152174,0.992458,,area|power
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,49d33079-469e-46a2-92d2-44d55dcf65c1,2,False,65.000000,0.000047,,-0.413043,0.984452,,area|power
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,de435ee1-d2db-4a2e-bc09-7a611d108429,2,False,71.000000,0.000056,,-0.543478,0.981462,,area|power
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,f66df93f-c8ab-4c07-b62c-8402e22a9bfc,2,False,94.000000,0.000075,,-1.043478,0.975083,,area|power
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,f3b726bf-f049-4696-bb1e-1bbdaffbe701,3,False,58.000000,0.000035,,-0.260870,0.988272,,area|power
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,0a91fd10-c73b-4b91-92c8-b99b7030847f,0,False,1076.000000,0.173000,0.570000,-0.097959,-0.926503,0.304878,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,1b687041-a196-4103-8d69-90e040d36bde,0,True,661.000000,0.067700,1.050000,0.325510,0.246102,-0.280488,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,6e4959ba-1caf-49a1-ad39-c3a9fbffefcf,0,True,600.000000,0.087400,1.030000,0.387755,0.026726,-0.256098,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,8c8d45b4-ffda-4ff4-b266-4d95c4efc131,0,True,1070.000000,0.172000,0.570000,-0.091837,-0.915367,0.304878,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,4b5f33a6-29fa-426b-a9dc-f9e377b8c43c,1,True,974.000000,0.140000,0.980000,0.006122,-0.559020,-0.195122,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,7cab530c-1c91-40ce-a864-4a4725faf556,1,True,660.000000,0.070000,1.150000,0.326531,0.220490,-0.402439,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,e0bfe7b0-98d6-415d-abd8-fe227cfcc2d5,1,False,708.000000,0.110000,1.050000,0.277551,-0.224944,-0.280488,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,11ec6904-c86c-4262-afd0-a492880f2149,2,True,696.000000,0.055300,1.040000,0.289796,0.384187,-0.268293,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,2ca60989-10ff-49dd-99f9-55172b86cd4d,2,True,1483.000000,0.127000,0.500000,-0.513265,-0.414254,0.390244,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,3c130930-a8bc-4dc2-ac98-de28ea9e3cf2,3,True,1478.000000,0.157000,0.500000,-0.508163,-0.748330,0.390244,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,b380eeef-71f9-47b6-a8f0-855d05d1844c,3,True,1170.000000,0.081900,0.620000,-0.193878,0.087973,0.243902,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,05cbedcd-558f-4cbc-ae71-0203936083ae,0,False,29.000000,0.004940,,0.369565,0.289209,,area|power
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,2a6ebec4-843b-4ba4-8964-3f813c654bc9,0,False,35.000000,0.006310,,0.239130,0.092086,,area|power
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,a99cb40b-551c-4d41-86d4-a1e18323256a,0,True,29.000000,0.004930,,0.369565,0.290647,,area|power
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,2e7a6d2c-e279-4612-aa04-934149300424,1,False,34.000000,0.005550,,0.260870,0.201439,,area|power
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,5a1b40c6-2095-4852-a3ba-634580950d19,1,False,38.000000,0.010200,,0.173913,-0.467626,,area|power
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,981f4748-771b-436c-9b20-d7b046746743,1,False,34.000000,0.008370,,0.260870,-0.204317,,area|power
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,8c00d806-4dce-4b9e-b403-994e478d5e99,2,True,36.000000,0.003730,,0.217391,0.463309,,area|power
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,a62c031e-25bc-47b9-9971-bc85428aa976,2,False,40.000000,0.003900,,0.130435,0.438849,,area|power
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,4fce44ba-acae-4e1b-83cc-81a9910e55d0,3,False,60.000000,0.005160,,-0.304348,0.257554,,area|power
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,9481e896-f524-482a-b607-e66dc5d87b93,3,False,31.000000,0.005740,,0.326087,0.174101,,area|power
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,ba0ffaf8-812d-4f31-a44b-71849e5990d5,3,False,37.000000,0.004610,,0.195652,0.336691,,area|power
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,2fbc58d4-53c0-4623-bc1d-17aba19c885b,0,False,50.000000,0.004830,0.260000,0.000000,-0.066225,0.037037,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,5fa9f9c7-2800-41e4-8fc3-2bca0ff0eaed,0,False,50.000000,0.004530,0.270000,0.000000,0.000000,0.000000,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,82081b0d-651e-4662-8255-94a4d083e2d1,1,False,55.000000,0.004690,0.280000,-0.100000,-0.035320,-0.037037,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,b6ff5d55-b7c6-4913-a0ed-35b41c077ced,1,False,53.000000,0.003970,0.280000,-0.060000,0.123620,-0.037037,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,df68f571-163c-4a0e-bcdc-8506fee0a8da,2,False,52.000000,0.003970,0.280000,-0.040000,0.123620,-0.037037,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,f9b07d95-b8f7-455f-a68b-802f6a4430b7,3,True,47.000000,0.003820,0.260000,0.060000,0.156733,0.037037,area|power|eff_clk_period
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,0a26e9ac-473f-4496-8633-f75851eb86b7,0,False,159.000000,0.004500,,0.064706,0.861111,,area|power
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,41e96333-239c-4061-ae66-a5a25255586f,0,False,145.000000,0.026600,,0.147059,0.179012,,area|power
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,0262ed7d-e06e-4a2b-96b6-cac4c2a67e24,1,False,165.000000,0.000385,,0.029412,0.988117,,area|power
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,0764e4e7-2a04-47d0-accf-ec132a26d3c0,1,True,126.000000,0.000275,,0.258824,0.991512,,area|power
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,25a83d3e-a448-466d-9c0b-69b84f8ac01c,1,False,195.000000,0.033700,,-0.147059,-0.040123,,area|power
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,6a29abc5-8895-4e58-b1de-8ceb90246a55,1,False,148.000000,0.017600,,0.129412,0.456790,,area|power
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,77f6904d-e200-4b00-bd35-d066c1ada71b,1,False,140.000000,0.000294,,0.176471,0.990926,,area|power
