seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,31,29,2,0.068966,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,31,28,3,0.107143,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,17,13,4,0.307692,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,11,13,-2,-0.153846,pass
1001,RTLLM,Prob024_fsm,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,19,19,0,0.000000,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,8,16,-8,-0.500000,yield_warning
1001,RTLLM,Prob037_parallel2serial,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,32,21,11,0.523810,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,15,18,-3,-0.166667,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,21,21,0,0.000000,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,13,20,-7,-0.350000,pass
1001,RTLLM,Prob045_alu,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,16,11,5,0.454545,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,10,10,0,0.000000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,27,17,10,0.588235,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,16,17,-1,-0.058824,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,38,34,4,0.117647,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,35,34,1,0.029412,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,18,28,-10,-0.357143,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,17,28,-11,-0.392857,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,36,37,-1,-0.027027,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,33,37,-4,-0.108108,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,sr_raw_conservative_exploit_qd,classic_revolution,29,21,8,0.380952,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,sr_raw_conservative_exploit_qd,classic_revolution,17,21,-4,-0.190476,pass
