seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,24,29,-5,-0.172414,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,23,28,-5,-0.178571,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,15,13,2,0.153846,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,13,13,0,0.000000,pass
1001,RTLLM,Prob024_fsm,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,28,19,9,0.473684,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,6,16,-10,-0.625000,yield_warning
1001,RTLLM,Prob037_parallel2serial,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,16,21,-5,-0.238095,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,12,18,-6,-0.333333,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,17,21,-4,-0.190476,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,15,20,-5,-0.250000,pass
1001,RTLLM,Prob045_alu,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,16,11,5,0.454545,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,10,10,0,0.000000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,31,17,14,0.823529,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,22,17,5,0.294118,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,23,34,-11,-0.323529,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,23,34,-11,-0.323529,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,37,28,9,0.321429,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,34,28,6,0.214286,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,36,37,-1,-0.027027,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,27,37,-10,-0.270270,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,28,21,7,0.333333,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,19,21,-2,-0.095238,pass
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,12,2,10,5.000000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,6,2,4,2.000000,small_n
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,14,13,1,0.076923,pass
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,11,13,-2,-0.153846,pass
1002,RTLLM,Prob004_adder_8bit,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,32,31,1,0.032258,pass
1002,RTLLM,Prob004_adder_8bit,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,28,30,-2,-0.066667,pass
1002,RTLLM,Prob015_multi_pipe_8bit,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,20,22,-2,-0.090909,pass
1002,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,12,21,-9,-0.428571,pass
1002,RTLLM,Prob024_fsm,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,19,20,-1,-0.050000,pass
1002,RTLLM,Prob024_fsm,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,4,18,-14,-0.777778,yield_warning
1002,RTLLM,Prob037_parallel2serial,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,21,15,6,0.400000,pass
1002,RTLLM,Prob037_parallel2serial,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,14,13,1,0.076923,pass
1002,RTLLM,Prob041_traffic_light,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,16,21,-5,-0.238095,pass
1002,RTLLM,Prob041_traffic_light,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,9,21,-12,-0.571429,yield_warning
1002,RTLLM,Prob045_alu,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,19,24,-5,-0.208333,pass
1002,RTLLM,Prob045_alu,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,16,23,-7,-0.304348,pass
1002,RTLLM,Prob049_signal_generator,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,27,22,5,0.227273,pass
1002,RTLLM,Prob049_signal_generator,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,21,22,-1,-0.045455,pass
1002,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,33,34,-1,-0.029412,pass
1002,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,29,34,-5,-0.147059,pass
1002,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,22,25,-3,-0.120000,pass
1002,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,t26_gated_near_front_fusion_qd,classic_revolution,19,25,-6,-0.240000,pass
1002,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,t26_gated_near_front_fusion_qd,classic_revolution,41,33,8,0.242424,pass
