seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_generated_thought_count,total_generated_code_sample_count,total_success_parent_requests,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,
all,all,thought_k_role_separated_repair_qd,T49 thought repair QD,13,13,465,453,234,231,0.505245,0.498835,0.295131,0.086897,0.083147,20,40,76,0.104133,0.008718,0.261708,0.453094,31.000000,17.000000,0.165967,0.042713,30.000000,90.000000,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
all,RTLLM,thought_k_role_separated_repair_qd,T49 thought repair QD,7,7,249,239,147,145,0.593074,0.585137,0.294624,0.104416,0.097475,10,31,55,0.095496,0.003823,0.200314,0.756703,27.000000,9.000000,0.297630,0.043609,18.000000,54.000000,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,
all,VerilogEval-Spec-to-RTL,thought_k_role_separated_repair_qd,T49 thought repair QD,6,6,216,214,87,86,0.402778,0.398148,0.296651,0.066458,0.066431,10,9,21,0.114208,0.014428,0.333333,0.098884,4.000000,8.000000,0.012361,0.041667,12.000000,36.000000,0.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,
1001,all,thought_k_role_separated_repair_qd,T49 thought repair QD,13,13,465,453,234,231,0.505245,0.498835,0.295131,0.086897,0.083147,20,40,76,0.104133,0.008718,0.261708,0.453094,31.000000,17.000000,0.165967,0.042713,30.000000,90.000000,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
1001,RTLLM,thought_k_role_separated_repair_qd,T49 thought repair QD,7,7,249,239,147,145,0.593074,0.585137,0.294624,0.104416,0.097475,10,31,55,0.095496,0.003823,0.200314,0.756703,27.000000,9.000000,0.297630,0.043609,18.000000,54.000000,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,
1001,VerilogEval-Spec-to-RTL,thought_k_role_separated_repair_qd,T49 thought repair QD,6,6,216,214,87,86,0.402778,0.398148,0.296651,0.066458,0.066431,10,9,21,0.114208,0.014428,0.333333,0.098884,4.000000,8.000000,0.012361,0.041667,12.000000,36.000000,0.000000,0.000000
