seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,27,29,-2,-0.068966,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,27,28,-1,-0.035714,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,33,13,20,1.538462,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,33,13,20,1.538462,pass
1001,RTLLM,Prob024_fsm,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,18,19,-1,-0.052632,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,17,16,1,0.062500,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,19,21,-2,-0.095238,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,19,18,1,0.055556,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,24,21,3,0.142857,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,23,20,3,0.150000,pass
1001,RTLLM,Prob045_alu,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,5,11,-6,-0.545455,yield_warning
1001,RTLLM,Prob045_alu,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,5,10,-5,-0.500000,yield_warning
1001,RTLLM,Prob049_signal_generator,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,21,17,4,0.235294,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,21,17,4,0.235294,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,12,34,-22,-0.647059,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,12,34,-22,-0.647059,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,5,28,-23,-0.821429,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,5,28,-23,-0.821429,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,32,37,-5,-0.135135,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,32,37,-5,-0.135135,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,21,21,0,0.000000,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,21,21,0,0.000000,pass
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,6,2,4,2.000000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,6,2,4,2.000000,small_n
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,thought_k_role_separated_repair_qd,classic_revolution,11,13,-2,-0.153846,pass
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,thought_k_role_separated_repair_qd,classic_revolution,10,13,-3,-0.230769,pass
