scope,name,method,reference,metric,value,reference_value,delta,relative_delta
problem_seed,1001:RTLLM:Prob004_adder_8bit,candidate_matched_thought_front_qd,classic_revolution,global_ppa_hypervolume,0.151026,0.151026,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,candidate_matched_thought_front_qd,classic_revolution,hv_auc,0.151026,0.125855,0.025171,0.200000
problem_seed,1001:RTLLM:Prob004_adder_8bit,candidate_matched_thought_front_qd,classic_revolution,best_score,0.381544,0.381544,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,candidate_matched_thought_front_qd,classic_revolution,valid_ppa_count,48.000000,28.000000,20.000000,0.714286
problem_seed,1001:RTLLM:Prob004_adder_8bit,candidate_matched_thought_front_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,candidate_matched_thought_front_qd,classic_revolution,unique_ppa_points,1.000000,7.000000,-6.000000,-0.857143
problem_seed,1001:RTLLM:Prob004_adder_8bit,candidate_matched_thought_front_qd,classic_revolution,reference_beating_count,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,candidate_matched_thought_front_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,candidate_matched_thought_front_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,candidate_matched_thought_front_qd,classic_revolution,best_score,0.224340,0.135230,0.089110,0.658951
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,candidate_matched_thought_front_qd,classic_revolution,valid_ppa_count,12.000000,13.000000,-1.000000,-0.076923
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,candidate_matched_thought_front_qd,classic_revolution,ppa_front_points,4.000000,9.000000,-5.000000,-0.555556
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,candidate_matched_thought_front_qd,classic_revolution,unique_ppa_points,10.000000,11.000000,-1.000000,-0.090909
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,candidate_matched_thought_front_qd,classic_revolution,reference_beating_count,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob024_fsm,candidate_matched_thought_front_qd,classic_revolution,global_ppa_hypervolume,0.101658,0.144948,-0.043290,-0.298659
problem_seed,1001:RTLLM:Prob024_fsm,candidate_matched_thought_front_qd,classic_revolution,hv_auc,0.101189,0.126181,-0.024992,-0.198065
