seed,method,method_label,benchmark,problem,total_generated,syntax_count,functionality_count,valid_ppa_count,syntax_rate,functionality_rate,valid_ppa_rate,best_score,global_ppa_hypervolume,hv_auc,ppa_front_points,reference_beating_count,unique_ppa_points,duplicate_ppa_point_count,front_nn_distance,front_bbox_volume,active_archive_coverage,active_archive_qd_score,active_archive_members,active_global_pareto_members,active_qd_score_auc,active_coverage_auc,qd_two_parent_gate,generated_thought_count,generated_code_sample_count,success_parent_requests,two_parent_attempts
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,48,29,29,28,0.604167,0.604167,0.583333,0.381544,0.151026,0.125855,1,2,7,0,0.000000,0.000000,,,,,,,,,,,
1001,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,RTLLM,Prob004_adder_8bit,48,48,48,48,1.000000,1.000000,1.000000,0.381544,0.151026,0.151026,1,1,1,0,0.000000,0.000000,1.000000,0.381544,1,1,0.047693,0.125000,none,,,0,0
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,48,47,13,13,0.979167,0.270833,0.270833,0.135230,0.000000,0.000000,9,0,11,0,0.331250,0.928172,,,,,,,,,,,
1001,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,RTLLM,Prob015_multi_pipe_8bit,24,24,14,12,1.000000,0.583333,0.500000,0.224340,0.000000,0.000000,4,0,10,0,0.399851,0.066526,0.000000,0.000000,0,3,0.000000,0.000000,none,4,12,0,0
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,48,43,19,16,0.895833,0.395833,0.333333,0.500234,0.144948,0.126181,2,8,11,0,0.230150,0.026275,,,,,,,,,,,
1001,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,RTLLM,Prob024_fsm,36,31,10,9,0.861111,0.277778,0.250000,0.491193,0.101658,0.101189,1,4,4,0,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,none,4,12,0,0
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,48,48,21,18,1.000000,0.437500,0.375000,0.084590,0.000348,0.000058,1,1,6,0,0.000000,0.000000,,,,,,,,,,,
1001,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,RTLLM,Prob037_parallel2serial,24,23,9,9,0.958333,0.375000,0.375000,0.084590,0.000348,0.000348,1,1,3,0,0.000000,0.000000,0.000000,0.000000,0,1,0.000000,0.000000,none,4,12,0,0
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,48,47,21,20,0.979167,0.437500,0.416667,0.416779,0.306692,0.250632,2,14,15,0,0.290946,0.019924,,,,,,,,,,,
1001,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,RTLLM,Prob041_traffic_light,24,24,11,11,1.000000,0.458333,0.458333,0.406975,0.227465,0.163204,1,8,11,0,0.000000,0.000000,0.125000,2.065429,8,1,1.032715,0.062500,none,4,12,0,0
