seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,candidate_matched_thought_front_qd,classic_revolution,48,29,19,0.655172,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,48,28,20,0.714286,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,candidate_matched_thought_front_qd,classic_revolution,14,13,1,0.076923,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,12,13,-1,-0.076923,pass
1001,RTLLM,Prob024_fsm,functionality_count,candidate_matched_thought_front_qd,classic_revolution,10,19,-9,-0.473684,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,9,16,-7,-0.437500,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,candidate_matched_thought_front_qd,classic_revolution,9,21,-12,-0.571429,yield_warning
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,9,18,-9,-0.500000,yield_warning
1001,RTLLM,Prob041_traffic_light,functionality_count,candidate_matched_thought_front_qd,classic_revolution,11,21,-10,-0.476190,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,11,20,-9,-0.450000,pass
1001,RTLLM,Prob045_alu,functionality_count,candidate_matched_thought_front_qd,classic_revolution,4,11,-7,-0.636364,yield_warning
1001,RTLLM,Prob045_alu,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,4,10,-6,-0.600000,yield_warning
1001,RTLLM,Prob049_signal_generator,functionality_count,candidate_matched_thought_front_qd,classic_revolution,28,17,11,0.647059,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,28,17,11,0.647059,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,candidate_matched_thought_front_qd,classic_revolution,20,34,-14,-0.411765,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,20,34,-14,-0.411765,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,candidate_matched_thought_front_qd,classic_revolution,1,28,-27,-0.964286,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,1,28,-27,-0.964286,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,candidate_matched_thought_front_qd,classic_revolution,9,37,-28,-0.756757,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,9,37,-28,-0.756757,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,candidate_matched_thought_front_qd,classic_revolution,4,21,-17,-0.809524,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,4,21,-17,-0.809524,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,candidate_matched_thought_front_qd,classic_revolution,1,2,-1,-0.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,candidate_matched_thought_front_qd,classic_revolution,1,2,-1,-0.500000,small_n
