seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,code_thought_full_pareto_qd,classic_revolution,36,29,7,0.241379,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,36,28,8,0.285714,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,code_thought_full_pareto_qd,classic_revolution,12,13,-1,-0.076923,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,11,13,-2,-0.153846,pass
1001,RTLLM,Prob024_fsm,functionality_count,code_thought_full_pareto_qd,classic_revolution,25,19,6,0.315789,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,21,16,5,0.312500,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,code_thought_full_pareto_qd,classic_revolution,23,21,2,0.095238,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,23,18,5,0.277778,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,code_thought_full_pareto_qd,classic_revolution,17,21,-4,-0.190476,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,17,20,-3,-0.150000,pass
1001,RTLLM,Prob045_alu,functionality_count,code_thought_full_pareto_qd,classic_revolution,15,11,4,0.363636,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,15,10,5,0.500000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,code_thought_full_pareto_qd,classic_revolution,43,17,26,1.529412,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,43,17,26,1.529412,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,code_thought_full_pareto_qd,classic_revolution,12,34,-22,-0.647059,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,12,34,-22,-0.647059,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,code_thought_full_pareto_qd,classic_revolution,18,28,-10,-0.357143,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,18,28,-10,-0.357143,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,code_thought_full_pareto_qd,classic_revolution,20,37,-17,-0.459459,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,20,37,-17,-0.459459,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,code_thought_full_pareto_qd,classic_revolution,17,21,-4,-0.190476,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,17,21,-4,-0.190476,pass
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,code_thought_full_pareto_qd,classic_revolution,5,2,3,1.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,5,2,3,1.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,code_thought_full_pareto_qd,classic_revolution,16,13,3,0.230769,pass
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,code_thought_full_pareto_qd,classic_revolution,16,13,3,0.230769,pass
