seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_sparse_front_trigger_batches,total_sparse_front_trigger_parent_requests,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,
all,all,code_thought_sparse_front_trigger_qd,T53 sparse-front trigger QD,13,13,624,595,244,239,0.391025,0.383013,0.290435,0.085793,0.071011,22,38,71,0.066725,0.008481,0.330217,0.694683,63.000000,22.000000,0.405398,0.104909,0.000000,25.000000,25.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
all,RTLLM,code_thought_sparse_front_trigger_qd,T53 sparse-front trigger QD,7,7,336,311,157,153,0.467262,0.455357,0.320159,0.101992,0.074901,14,28,48,0.116597,0.015744,0.296875,0.990259,43.000000,14.000000,0.587512,0.134301,0.000000,22.000000,22.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,
all,VerilogEval-Spec-to-RTL,code_thought_sparse_front_trigger_qd,T53 sparse-front trigger QD,6,6,288,284,87,86,0.302083,0.298611,0.248822,0.066895,0.066473,8,10,23,0.008542,0.000007,0.369117,0.349843,20.000000,8.000000,0.192931,0.070618,0.000000,3.000000,3.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,
1001,all,code_thought_sparse_front_trigger_qd,T53 sparse-front trigger QD,13,13,624,595,244,239,0.391025,0.383013,0.290435,0.085793,0.071011,22,38,71,0.066725,0.008481,0.330217,0.694683,63.000000,22.000000,0.405398,0.104909,0.000000,25.000000,25.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
1001,RTLLM,code_thought_sparse_front_trigger_qd,T53 sparse-front trigger QD,7,7,336,311,157,153,0.467262,0.455357,0.320159,0.101992,0.074901,14,28,48,0.116597,0.015744,0.296875,0.990259,43.000000,14.000000,0.587512,0.134301,0.000000,22.000000,22.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,
1001,VerilogEval-Spec-to-RTL,code_thought_sparse_front_trigger_qd,T53 sparse-front trigger QD,6,6,288,284,87,86,0.302083,0.298611,0.248822,0.066895,0.066473,8,10,23,0.008542,0.000007,0.369117,0.349843,20.000000,8.000000,0.192931,0.070618,0.000000,3.000000,3.000000,0.000000
