scope,name,method,reference,metric,value,reference_value,delta,relative_delta
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,global_ppa_hypervolume,0.151026,0.151026,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,hv_auc,0.075513,0.125855,-0.050342,-0.400000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,best_score,0.381544,0.381544,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,valid_ppa_count,34.000000,28.000000,6.000000,0.214286
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,unique_ppa_points,1.000000,7.000000,-6.000000,-0.857143
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,reference_beating_count,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,best_score,0.243448,0.135230,0.108218,0.800251
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,valid_ppa_count,16.000000,13.000000,3.000000,0.230769
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,ppa_front_points,4.000000,9.000000,-5.000000,-0.555556
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,unique_ppa_points,10.000000,11.000000,-1.000000,-0.090909
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_sparse_front_trigger_qd,classic_revolution,reference_beating_count,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_sparse_front_trigger_qd,classic_revolution,global_ppa_hypervolume,0.145887,0.144948,0.000939,0.006478
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_sparse_front_trigger_qd,classic_revolution,hv_auc,0.120874,0.126181,-0.005307,-0.042059
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_sparse_front_trigger_qd,classic_revolution,best_score,0.500234,0.500234,0.000000,0.000000
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_sparse_front_trigger_qd,classic_revolution,valid_ppa_count,14.000000,16.000000,-2.000000,-0.125000
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_sparse_front_trigger_qd,classic_revolution,ppa_front_points,2.000000,2.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_sparse_front_trigger_qd,classic_revolution,unique_ppa_points,8.000000,11.000000,-3.000000,-0.272727
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_sparse_front_trigger_qd,classic_revolution,reference_beating_count,5.000000,8.000000,-3.000000,-0.375000
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_sparse_front_trigger_qd,classic_revolution,global_ppa_hypervolume,0.000348,0.000348,0.000000,0.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_sparse_front_trigger_qd,classic_revolution,hv_auc,0.000087,0.000058,0.000029,0.500000
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_sparse_front_trigger_qd,classic_revolution,best_score,0.084590,0.084590,0.000000,0.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_sparse_front_trigger_qd,classic_revolution,valid_ppa_count,16.000000,18.000000,-2.000000,-0.111111
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_sparse_front_trigger_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_sparse_front_trigger_qd,classic_revolution,unique_ppa_points,3.000000,6.000000,-3.000000,-0.500000
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_sparse_front_trigger_qd,classic_revolution,reference_beating_count,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_sparse_front_trigger_qd,classic_revolution,global_ppa_hypervolume,0.232983,0.306692,-0.073709,-0.240336
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_sparse_front_trigger_qd,classic_revolution,hv_auc,0.151737,0.250632,-0.098895,-0.394582
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_sparse_front_trigger_qd,classic_revolution,best_score,0.407742,0.416779,-0.009037,-0.021683
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_sparse_front_trigger_qd,classic_revolution,valid_ppa_count,23.000000,20.000000,3.000000,0.150000
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_sparse_front_trigger_qd,classic_revolution,ppa_front_points,2.000000,2.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_sparse_front_trigger_qd,classic_revolution,unique_ppa_points,17.000000,15.000000,2.000000,0.133333
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_sparse_front_trigger_qd,classic_revolution,reference_beating_count,12.000000,14.000000,-2.000000,-0.142857
problem_seed,1001:RTLLM:Prob045_alu,code_thought_sparse_front_trigger_qd,classic_revolution,global_ppa_hypervolume,0.173727,0.190351,-0.016624,-0.087333
problem_seed,1001:RTLLM:Prob045_alu,code_thought_sparse_front_trigger_qd,classic_revolution,hv_auc,0.167693,0.156081,0.011612,0.074397
problem_seed,1001:RTLLM:Prob045_alu,code_thought_sparse_front_trigger_qd,classic_revolution,best_score,0.388778,0.394596,-0.005818,-0.014744
problem_seed,1001:RTLLM:Prob045_alu,code_thought_sparse_front_trigger_qd,classic_revolution,valid_ppa_count,7.000000,10.000000,-3.000000,-0.300000
problem_seed,1001:RTLLM:Prob045_alu,code_thought_sparse_front_trigger_qd,classic_revolution,ppa_front_points,2.000000,1.000000,1.000000,1.000000
problem_seed,1001:RTLLM:Prob045_alu,code_thought_sparse_front_trigger_qd,classic_revolution,unique_ppa_points,7.000000,9.000000,-2.000000,-0.222222
problem_seed,1001:RTLLM:Prob045_alu,code_thought_sparse_front_trigger_qd,classic_revolution,reference_beating_count,7.000000,9.000000,-2.000000,-0.222222
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_sparse_front_trigger_qd,classic_revolution,global_ppa_hypervolume,0.009971,0.012810,-0.002839,-0.221624
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_sparse_front_trigger_qd,classic_revolution,hv_auc,0.008403,0.009922,-0.001519,-0.153094
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_sparse_front_trigger_qd,classic_revolution,best_score,0.234775,0.234775,0.000000,0.000000
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_sparse_front_trigger_qd,classic_revolution,valid_ppa_count,43.000000,17.000000,26.000000,1.529412
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_sparse_front_trigger_qd,classic_revolution,ppa_front_points,2.000000,3.000000,-1.000000,-0.333333
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_sparse_front_trigger_qd,classic_revolution,unique_ppa_points,2.000000,5.000000,-3.000000,-0.600000
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_sparse_front_trigger_qd,classic_revolution,reference_beating_count,2.000000,3.000000,-1.000000,-0.333333
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_sparse_front_trigger_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_sparse_front_trigger_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_sparse_front_trigger_qd,classic_revolution,best_score,0.012006,0.012006,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_sparse_front_trigger_qd,classic_revolution,valid_ppa_count,16.000000,34.000000,-18.000000,-0.529412
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_sparse_front_trigger_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_sparse_front_trigger_qd,classic_revolution,unique_ppa_points,2.000000,2.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_sparse_front_trigger_qd,classic_revolution,reference_beating_count,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_sparse_front_trigger_qd,classic_revolution,global_ppa_hypervolume,0.398423,0.397461,0.000962,0.002420
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_sparse_front_trigger_qd,classic_revolution,hv_auc,0.398128,0.397444,0.000684,0.001721
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_sparse_front_trigger_qd,classic_revolution,best_score,0.465352,0.464404,0.000948,0.002041
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_sparse_front_trigger_qd,classic_revolution,valid_ppa_count,18.000000,28.000000,-10.000000,-0.357143
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_sparse_front_trigger_qd,classic_revolution,ppa_front_points,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_sparse_front_trigger_qd,classic_revolution,unique_ppa_points,4.000000,5.000000,-1.000000,-0.200000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_sparse_front_trigger_qd,classic_revolution,reference_beating_count,4.000000,5.000000,-1.000000,-0.200000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob135_m2014_q6b,code_thought_sparse_front_trigger_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob135_m2014_q6b,code_thought_sparse_front_trigger_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
