seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,34,29,5,0.172414,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,34,28,6,0.214286,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,16,13,3,0.230769,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,16,13,3,0.230769,pass
1001,RTLLM,Prob024_fsm,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,18,19,-1,-0.052632,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,14,16,-2,-0.125000,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,16,21,-5,-0.238095,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,16,18,-2,-0.111111,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,23,21,2,0.095238,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,23,20,3,0.150000,pass
1001,RTLLM,Prob045_alu,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,7,11,-4,-0.363636,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,7,10,-3,-0.300000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,43,17,26,1.529412,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,43,17,26,1.529412,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,16,34,-18,-0.529412,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,16,34,-18,-0.529412,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,18,28,-10,-0.357143,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,18,28,-10,-0.357143,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,25,37,-12,-0.324324,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,25,37,-12,-0.324324,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,13,21,-8,-0.380952,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,13,21,-8,-0.380952,pass
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,2,2,0,0.000000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,1,2,-1,-0.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,code_thought_sparse_front_trigger_qd,classic_revolution,13,13,0,0.000000,pass
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,code_thought_sparse_front_trigger_qd,classic_revolution,13,13,0,0.000000,pass
