seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_front_slot_lane_parent_requests,total_front_slot_lane_parent_hits,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,
all,all,code_thought_front_slot_lane_qd,T54 front-slot lane QD,13,13,624,597,259,253,0.415064,0.405449,0.263027,0.075892,0.062753,21,31,67,0.082360,0.003994,0.210025,0.799099,62.000000,21.000000,0.473242,0.098246,0.000000,12.000000,4.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
all,RTLLM,code_thought_front_slot_lane_qd,T54 front-slot lane QD,7,7,336,311,149,144,0.443453,0.428572,0.277482,0.084040,0.059665,13,23,43,0.121971,0.006405,0.308036,1.240816,43.000000,13.000000,0.708443,0.136905,0.000000,8.000000,2.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,
all,VerilogEval-Spec-to-RTL,code_thought_front_slot_lane_qd,T54 front-slot lane QD,6,6,288,286,110,109,0.381944,0.378472,0.242790,0.066385,0.066356,8,8,24,0.036147,0.001180,0.095679,0.283762,19.000000,8.000000,0.198841,0.053144,0.000000,4.000000,2.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,
1001,all,code_thought_front_slot_lane_qd,T54 front-slot lane QD,13,13,624,597,259,253,0.415064,0.405449,0.263027,0.075892,0.062753,21,31,67,0.082360,0.003994,0.210025,0.799099,62.000000,21.000000,0.473242,0.098246,0.000000,12.000000,4.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
1001,RTLLM,code_thought_front_slot_lane_qd,T54 front-slot lane QD,7,7,336,311,149,144,0.443453,0.428572,0.277482,0.084040,0.059665,13,23,43,0.121971,0.006405,0.308036,1.240816,43.000000,13.000000,0.708443,0.136905,0.000000,8.000000,2.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,
1001,VerilogEval-Spec-to-RTL,code_thought_front_slot_lane_qd,T54 front-slot lane QD,6,6,288,286,110,109,0.381944,0.378472,0.242790,0.066385,0.066356,8,8,24,0.036147,0.001180,0.095679,0.283762,19.000000,8.000000,0.198841,0.053144,0.000000,4.000000,2.000000,0.000000
