scope,name,method,reference,metric,value,reference_value,delta,relative_delta
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_lane_qd,classic_revolution,global_ppa_hypervolume,0.151026,0.151026,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_lane_qd,classic_revolution,hv_auc,0.075513,0.125855,-0.050342,-0.400000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_lane_qd,classic_revolution,best_score,0.381544,0.381544,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_lane_qd,classic_revolution,valid_ppa_count,35.000000,28.000000,7.000000,0.250000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_lane_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_lane_qd,classic_revolution,unique_ppa_points,1.000000,7.000000,-6.000000,-0.857143
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_lane_qd,classic_revolution,reference_beating_count,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_lane_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_lane_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_lane_qd,classic_revolution,best_score,0.071689,0.135230,-0.063541,-0.469874
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_lane_qd,classic_revolution,valid_ppa_count,5.000000,13.000000,-8.000000,-0.615385
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_lane_qd,classic_revolution,ppa_front_points,1.000000,9.000000,-8.000000,-0.888889
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_lane_qd,classic_revolution,unique_ppa_points,5.000000,11.000000,-6.000000,-0.545455
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_lane_qd,classic_revolution,reference_beating_count,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_front_slot_lane_qd,classic_revolution,global_ppa_hypervolume,0.145887,0.144948,0.000939,0.006478
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_front_slot_lane_qd,classic_revolution,hv_auc,0.136206,0.126181,0.010025,0.079449
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_front_slot_lane_qd,classic_revolution,best_score,0.500234,0.500234,0.000000,0.000000
