seed,benchmark,problem,qd_two_parent_gate,success_parent_requests,front_slot_lane_parent_requests,front_slot_lane_parent_hits,two_parent_attempts
1001,RTLLM,Prob004_adder_8bit,none,0,0,0,0
1001,RTLLM,Prob015_multi_pipe_8bit,none,0,0,0,0
1001,RTLLM,Prob024_fsm,none,0,2,2,0
1001,RTLLM,Prob037_parallel2serial,none,0,3,0,0
1001,RTLLM,Prob041_traffic_light,none,0,1,0,0
1001,RTLLM,Prob045_alu,none,0,1,0,0
1001,RTLLM,Prob049_signal_generator,none,0,1,0,0
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,none,0,2,0,0
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,none,0,0,0,0
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,none,0,1,1,0
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,none,0,0,0,0
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,none,0,0,0,0
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,none,0,1,1,0
