seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,35,29,6,0.206897,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,35,28,7,0.250000,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,6,13,-7,-0.538462,yield_warning
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,5,13,-8,-0.615385,yield_warning
1001,RTLLM,Prob024_fsm,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,21,19,2,0.105263,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,17,16,1,0.062500,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,20,21,-1,-0.047619,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,20,18,2,0.111111,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,15,21,-6,-0.285714,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,15,20,-5,-0.250000,pass
1001,RTLLM,Prob045_alu,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,11,11,0,0.000000,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,11,10,1,0.100000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,41,17,24,1.411765,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,41,17,24,1.411765,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,22,34,-12,-0.352941,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,22,34,-12,-0.352941,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,32,28,4,0.142857,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,32,28,4,0.142857,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,27,37,-10,-0.270270,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,27,37,-10,-0.270270,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,14,21,-7,-0.333333,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,14,21,-7,-0.333333,pass
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,3,2,1,0.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,3,2,1,0.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,code_thought_front_slot_lane_qd,classic_revolution,12,13,-1,-0.076923,pass
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,code_thought_front_slot_lane_qd,classic_revolution,11,13,-2,-0.153846,pass
