seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_front_slot_lane_parent_requests,total_front_slot_lane_parent_hits,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,
all,all,code_thought_coarse_sr2_front_slot_qd,T55 coarse SR2 front-slot QD,13,13,624,597,239,233,0.383013,0.373397,0.264068,0.086189,0.072307,23,36,72,0.092083,0.028296,0.478632,0.725478,64.000000,23.000000,0.490860,0.236200,0.000000,15.000000,9.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
all,RTLLM,code_thought_coarse_sr2_front_slot_qd,T55 coarse SR2 front-slot QD,7,7,336,314,151,145,0.449405,0.431548,0.277662,0.102941,0.077302,14,29,48,0.141592,0.052516,0.598214,1.172107,46.000000,14.000000,0.788483,0.321429,0.000000,9.000000,3.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,
all,VerilogEval-Spec-to-RTL,code_thought_coarse_sr2_front_slot_qd,T55 coarse SR2 front-slot QD,6,6,288,283,88,88,0.305556,0.305556,0.245035,0.066645,0.066480,9,7,24,0.034321,0.000039,0.339120,0.204410,18.000000,9.000000,0.143633,0.136767,0.000000,6.000000,6.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,
1001,all,code_thought_coarse_sr2_front_slot_qd,T55 coarse SR2 front-slot QD,13,13,624,597,239,233,0.383013,0.373397,0.264068,0.086189,0.072307,23,36,72,0.092083,0.028296,0.478632,0.725478,64.000000,23.000000,0.490860,0.236200,0.000000,15.000000,9.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
1001,RTLLM,code_thought_coarse_sr2_front_slot_qd,T55 coarse SR2 front-slot QD,7,7,336,314,151,145,0.449405,0.431548,0.277662,0.102941,0.077302,14,29,48,0.141592,0.052516,0.598214,1.172107,46.000000,14.000000,0.788483,0.321429,0.000000,9.000000,3.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,
1001,VerilogEval-Spec-to-RTL,code_thought_coarse_sr2_front_slot_qd,T55 coarse SR2 front-slot QD,6,6,288,283,88,88,0.305556,0.305556,0.245035,0.066645,0.066480,9,7,24,0.034321,0.000039,0.339120,0.204410,18.000000,9.000000,0.143633,0.136767,0.000000,6.000000,6.000000,0.000000
