left_method,right_method,metric,left_value,right_value,delta,relative_delta
t55,classic,total_generated,624.000000,624.000000,0.000000,0.000000
t55,classic,valid_ppa_count,233.000000,257.000000,-24.000000,-0.093385
t55,classic,mean_global_ppa_hypervolume,0.086189,0.092601,-0.006412,-0.069243
t55,classic,mean_hv_auc,0.072307,0.082020,-0.009713,-0.118422
t55,classic,mean_best_score,0.264068,0.227928,0.036140,0.158559
t55,classic,total_ppa_front_points,23.000000,30.000000,-7.000000,-0.233333
t55,classic,total_unique_ppa_points,72.000000,87.000000,-15.000000,-0.172414
t55,classic,total_reference_beating_count,36.000000,46.000000,-10.000000,-0.217391
t55,t51,total_generated,624.000000,624.000000,0.000000,0.000000
t55,t51,valid_ppa_count,233.000000,266.000000,-33.000000,-0.124060
t55,t51,mean_global_ppa_hypervolume,0.086189,0.089252,-0.003063,-0.034319
t55,t51,mean_hv_auc,0.072307,0.085454,-0.013147,-0.153849
t55,t51,mean_best_score,0.264068,0.293480,-0.029412,-0.100218
t55,t51,total_ppa_front_points,23.000000,21.000000,2.000000,0.095238
t55,t51,total_unique_ppa_points,72.000000,75.000000,-3.000000,-0.040000
t55,t51,total_reference_beating_count,36.000000,43.000000,-7.000000,-0.162791
t55,t52,total_generated,624.000000,624.000000,0.000000,0.000000
t55,t52,valid_ppa_count,233.000000,254.000000,-21.000000,-0.082677
t55,t52,mean_global_ppa_hypervolume,0.086189,0.083502,0.002687,0.032179
t55,t52,mean_hv_auc,0.072307,0.055792,0.016515,0.296010
t55,t52,mean_best_score,0.264068,0.242261,0.021807,0.090014
t55,t52,total_ppa_front_points,23.000000,24.000000,-1.000000,-0.041667
t55,t52,total_unique_ppa_points,72.000000,76.000000,-4.000000,-0.052632
t55,t52,total_reference_beating_count,36.000000,41.000000,-5.000000,-0.121951
t55,t53,total_generated,624.000000,624.000000,0.000000,0.000000
t55,t53,valid_ppa_count,233.000000,239.000000,-6.000000,-0.025105
t55,t53,mean_global_ppa_hypervolume,0.086189,0.085793,0.000396,0.004616
t55,t53,mean_hv_auc,0.072307,0.071011,0.001296,0.018251
t55,t53,mean_best_score,0.264068,0.290435,-0.026367,-0.090785
t55,t53,total_ppa_front_points,23.000000,22.000000,1.000000,0.045455
t55,t53,total_unique_ppa_points,72.000000,71.000000,1.000000,0.014085
t55,t53,total_reference_beating_count,36.000000,38.000000,-2.000000,-0.052632
t55,t54,total_generated,624.000000,624.000000,0.000000,0.000000
t55,t54,valid_ppa_count,233.000000,253.000000,-20.000000,-0.079051
t55,t54,mean_global_ppa_hypervolume,0.086189,0.075892,0.010297,0.135680
t55,t54,mean_hv_auc,0.072307,0.062753,0.009554,0.152248
t55,t54,mean_best_score,0.264068,0.263027,0.001041,0.003958
t55,t54,total_ppa_front_points,23.000000,21.000000,2.000000,0.095238
t55,t54,total_unique_ppa_points,72.000000,67.000000,5.000000,0.074627
t55,t54,total_reference_beating_count,36.000000,31.000000,5.000000,0.161290
