scope,name,method,reference,metric,value,reference_value,delta,relative_delta
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,global_ppa_hypervolume,0.151026,0.151026,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,hv_auc,0.075513,0.125855,-0.050342,-0.400000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,best_score,0.381544,0.381544,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,valid_ppa_count,34.000000,28.000000,6.000000,0.214286
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,unique_ppa_points,1.000000,7.000000,-6.000000,-0.857143
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,reference_beating_count,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,best_score,0.071689,0.135230,-0.063541,-0.469874
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,valid_ppa_count,5.000000,13.000000,-8.000000,-0.615385
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,ppa_front_points,2.000000,9.000000,-7.000000,-0.777778
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,unique_ppa_points,5.000000,11.000000,-6.000000,-0.545455
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_coarse_sr2_t51_control_qd,classic_revolution,reference_beating_count,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_coarse_sr2_t51_control_qd,classic_revolution,global_ppa_hypervolume,0.107413,0.144948,-0.037535,-0.258955
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_coarse_sr2_t51_control_qd,classic_revolution,hv_auc,0.107413,0.126181,-0.018768,-0.148739
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_coarse_sr2_t51_control_qd,classic_revolution,best_score,0.470071,0.500234,-0.030163,-0.060298
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_coarse_sr2_t51_control_qd,classic_revolution,valid_ppa_count,21.000000,16.000000,5.000000,0.312500
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_coarse_sr2_t51_control_qd,classic_revolution,ppa_front_points,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_coarse_sr2_t51_control_qd,classic_revolution,unique_ppa_points,7.000000,11.000000,-4.000000,-0.363636
