seed,method,method_label,benchmark,problem,total_generated,syntax_count,functionality_count,valid_ppa_count,syntax_rate,functionality_rate,valid_ppa_rate,best_score,global_ppa_hypervolume,hv_auc,ppa_front_points,reference_beating_count,unique_ppa_points,duplicate_ppa_point_count,front_nn_distance,front_bbox_volume,active_archive_coverage,active_archive_qd_score,active_archive_members,active_global_pareto_members,active_qd_score_auc,active_coverage_auc,qd_two_parent_gate,success_parent_requests,two_parent_attempts
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,48,29,29,28,0.604167,0.604167,0.583333,0.381544,0.151026,0.125855,1,2,7,0,0.000000,0.000000,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,RTLLM,Prob004_adder_8bit,48,34,34,34,0.708333,0.708333,0.708333,0.381544,0.151026,0.075513,1,1,1,0,0.000000,0.000000,1.000000,0.381544,1,1,0.047693,0.125000,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,48,47,13,13,0.979167,0.270833,0.270833,0.135230,0.000000,0.000000,9,0,11,0,0.331250,0.928172,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,RTLLM,Prob015_multi_pipe_8bit,48,47,5,5,0.979167,0.104167,0.104167,0.071689,0.000000,0.000000,2,0,5,0,1.204682,0.249204,0.312500,-0.615558,5,2,-0.512965,0.260417,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,48,43,19,16,0.895833,0.395833,0.333333,0.500234,0.144948,0.126181,2,8,11,0,0.230150,0.026275,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,RTLLM,Prob024_fsm,48,39,24,21,0.812500,0.500000,0.437500,0.470071,0.107413,0.107413,1,3,7,0,0.000000,0.000000,0.312500,1.482380,7,1,1.119329,0.239583,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,48,48,21,18,1.000000,0.437500,0.375000,0.084590,0.000348,0.000058,1,1,6,0,0.000000,0.000000,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,RTLLM,Prob037_parallel2serial,48,48,22,22,1.000000,0.458333,0.458333,0.121627,0.001625,0.000697,2,2,4,0,0.118092,0.000000,1.000000,0.208953,4,2,0.131819,0.833333,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,48,47,21,20,0.979167,0.437500,0.416667,0.416779,0.306692,0.250632,2,14,15,0,0.290946,0.019924,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,RTLLM,Prob041_traffic_light,48,48,17,17,1.000000,0.354167,0.354167,0.395220,0.192476,0.135007,1,6,15,0,0.000000,0.000000,0.500000,1.495080,11,1,0.881324,0.333333,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob045_alu,48,47,11,10,0.979167,0.229167,0.208333,0.394596,0.190351,0.156081,1,9,9,0,0.000000,0.000000,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,RTLLM,Prob045_alu,48,44,11,11,0.916667,0.229167,0.229167,0.398994,0.204019,0.171012,1,11,11,0,0.000000,0.000000,0.437500,2.660741,10,1,1.569877,0.260417,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob049_signal_generator,48,45,17,17,0.937500,0.354167,0.354167,0.234775,0.012810,0.009922,3,3,5,0,0.298225,0.003032,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,RTLLM,Prob049_signal_generator,48,48,35,35,1.000000,0.729167,0.729167,0.234775,0.009971,0.008403,2,2,2,0,0.168758,0.000196,0.500000,0.442212,2,2,0.368510,0.416667,none,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob098_circuit7,48,48,34,34,1.000000,0.708333,0.708333,0.012006,0.000000,0.000000,1,1,2,0,0.000000,0.000000,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,VerilogEval-Spec-to-RTL,Prob098_circuit7,48,48,6,6,1.000000,0.125000,0.125000,-0.000000,0.000000,0.000000,1,0,1,0,0.000000,0.000000,1.000000,0.000000,1,1,0.000000,0.125000,none,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,48,48,28,28,1.000000,0.583333,0.583333,0.464404,0.397461,0.397444,2,5,5,0,0.200002,0.000176,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,48,48,34,34,1.000000,0.708333,0.708333,0.465352,0.398423,0.398423,1,5,5,0,0.000000,0.000000,0.222222,0.862261,4,1,0.862261,0.222222,none,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,48,47,37,37,0.979167,0.770833,0.770833,0.263617,0.000000,0.000000,1,0,3,0,0.000000,0.000000,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,48,48,21,21,1.000000,0.437500,0.437500,0.196143,0.000000,0.000000,1,0,1,0,0.000000,0.000000,1.000000,0.196143,1,1,0.024518,0.125000,none,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,48,31,21,21,0.645833,0.437500,0.437500,0.329686,0.000000,0.000000,1,2,3,0,0.000000,0.000000,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,48,48,13,13,1.000000,0.270833,0.270833,0.329686,0.000000,0.000000,1,2,3,0,0.000000,0.000000,0.250000,0.329686,2,1,0.164843,0.125000,none,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,48,47,2,2,0.979167,0.041667,0.041667,-0.363048,0.000000,0.000000,2,0,2,0,0.171651,0.000738,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,48,48,3,3,1.000000,0.062500,0.062500,,0.000000,0.000000,3,0,3,0,0.189278,0.005099,0.000000,0.000000,0,3,0.000000,0.000000,none,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob153_gshare,48,45,13,13,0.937500,0.270833,0.270833,0.108647,0.000173,0.000086,4,1,8,0,0.109887,0.003706,,,,,,,,,
1001,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,VerilogEval-Spec-to-RTL,Prob153_gshare,48,47,10,9,0.979167,0.208333,0.187500,0.158404,0.001778,0.001769,5,3,8,0,0.065086,0.001855,0.312500,0.413433,6,5,0.206716,0.156250,none,0,0
