seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,34,29,5,0.172414,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,34,28,6,0.214286,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,5,13,-8,-0.615385,yield_warning
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,5,13,-8,-0.615385,yield_warning
1001,RTLLM,Prob024_fsm,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,24,19,5,0.263158,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,21,16,5,0.312500,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,22,21,1,0.047619,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,22,18,4,0.222222,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,17,21,-4,-0.190476,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,17,20,-3,-0.150000,pass
1001,RTLLM,Prob045_alu,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,11,11,0,0.000000,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,11,10,1,0.100000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,35,17,18,1.058824,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,35,17,18,1.058824,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,6,34,-28,-0.823529,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,6,34,-28,-0.823529,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,34,28,6,0.214286,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,34,28,6,0.214286,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,21,37,-16,-0.432432,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,21,37,-16,-0.432432,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,13,21,-8,-0.380952,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,13,21,-8,-0.380952,pass
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,3,2,1,0.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,3,2,1,0.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,10,13,-3,-0.230769,pass
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,code_thought_coarse_sr2_t51_control_qd,classic_revolution,9,13,-4,-0.307692,pass
