seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,t51_adaptive_rebin_qd,classic_revolution,39,29,10,0.344828,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,39,28,11,0.392857,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,t51_adaptive_rebin_qd,classic_revolution,16,13,3,0.230769,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,13,13,0,0.000000,pass
1001,RTLLM,Prob024_fsm,functionality_count,t51_adaptive_rebin_qd,classic_revolution,14,19,-5,-0.263158,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,13,16,-3,-0.187500,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,t51_adaptive_rebin_qd,classic_revolution,15,21,-6,-0.285714,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,15,18,-3,-0.166667,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,t51_adaptive_rebin_qd,classic_revolution,19,21,-2,-0.095238,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,19,20,-1,-0.050000,pass
1001,RTLLM,Prob045_alu,functionality_count,t51_adaptive_rebin_qd,classic_revolution,17,11,6,0.545455,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,17,10,7,0.700000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,t51_adaptive_rebin_qd,classic_revolution,42,17,25,1.470588,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,42,17,25,1.470588,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,t51_adaptive_rebin_qd,classic_revolution,24,34,-10,-0.294118,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,24,34,-10,-0.294118,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,t51_adaptive_rebin_qd,classic_revolution,19,28,-9,-0.321429,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,19,28,-9,-0.321429,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,t51_adaptive_rebin_qd,classic_revolution,23,37,-14,-0.378378,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,23,37,-14,-0.378378,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,t51_adaptive_rebin_qd,classic_revolution,10,21,-11,-0.523810,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,10,21,-11,-0.523810,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,t51_adaptive_rebin_qd,classic_revolution,0,2,-2,-1.000000,functionality_loss
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,0,2,-2,-1.000000,classic_covered_loss
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,t51_adaptive_rebin_qd,classic_revolution,11,13,-2,-0.153846,pass
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,t51_adaptive_rebin_qd,classic_revolution,11,13,-2,-0.153846,pass
