seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
all,all,t51_t11_pca4_front_slot_qd,T58 T51 T11-PCA4 front-slot QD,13,13,624,598,271,266,0.434295,0.426282,0.249751,0.076253,0.066233,22,34,71,0.096584,0.007449,0.207224,0.663742,70.000000,22.000000,0.581751,0.061024,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
all,RTLLM,t51_t11_pca4_front_slot_qd,T58 T51 T11-PCA4 front-slot QD,7,7,336,313,165,161,0.491072,0.479167,0.300820,0.084695,0.066086,11,25,48,0.105990,0.008420,0.089644,0.961250,45.000000,11.000000,0.709066,0.071571,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
all,VerilogEval-Spec-to-RTL,t51_t11_pca4_front_slot_qd,T58 T51 T11-PCA4 front-slot QD,6,6,288,285,106,105,0.368056,0.364583,0.190171,0.066404,0.066404,11,9,23,0.085610,0.006317,0.344401,0.316650,25.000000,11.000000,0.433216,0.048720,0.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
1001,all,t51_t11_pca4_front_slot_qd,T58 T51 T11-PCA4 front-slot QD,13,13,624,598,271,266,0.434295,0.426282,0.249751,0.076253,0.066233,22,34,71,0.096584,0.007449,0.207224,0.663742,70.000000,22.000000,0.581751,0.061024,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
1001,RTLLM,t51_t11_pca4_front_slot_qd,T58 T51 T11-PCA4 front-slot QD,7,7,336,313,165,161,0.491072,0.479167,0.300820,0.084695,0.066086,11,25,48,0.105990,0.008420,0.089644,0.961250,45.000000,11.000000,0.709066,0.071571,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
1001,VerilogEval-Spec-to-RTL,t51_t11_pca4_front_slot_qd,T58 T51 T11-PCA4 front-slot QD,6,6,288,285,106,105,0.368056,0.364583,0.190171,0.066404,0.066404,11,9,23,0.085610,0.006317,0.344401,0.316650,25.000000,11.000000,0.433216,0.048720,0.000000,0.000000
