seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,32,29,3,0.103448,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,32,28,4,0.142857,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,12,13,-1,-0.076923,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,12,13,-1,-0.076923,pass
1001,RTLLM,Prob024_fsm,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,26,19,7,0.368421,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,22,16,6,0.375000,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,18,21,-3,-0.142857,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,18,18,0,0.000000,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,17,21,-4,-0.190476,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,17,20,-3,-0.150000,pass
1001,RTLLM,Prob045_alu,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,15,11,4,0.363636,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,15,10,5,0.500000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,45,17,28,1.647059,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,45,17,28,1.647059,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,19,34,-15,-0.441176,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,19,34,-15,-0.441176,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,30,28,2,0.071429,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,30,28,2,0.071429,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,31,37,-6,-0.162162,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,31,37,-6,-0.162162,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,12,21,-9,-0.428571,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,12,21,-9,-0.428571,pass
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,5,2,3,1.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,4,2,2,1.000000,small_n
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,t51_t11_pca4_front_slot_qd,classic_revolution,9,13,-4,-0.307692,pass
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,t51_t11_pca4_front_slot_qd,classic_revolution,9,13,-4,-0.307692,pass
