scope,name,method,reference,metric,value,reference_value,delta,relative_delta
problem_seed,1001:RTLLM:Prob004_adder_8bit,t51_feedback_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.151026,0.151026,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,t51_feedback_front_slot_qd,classic_revolution,hv_auc,0.151026,0.125855,0.025171,0.200000
problem_seed,1001:RTLLM:Prob004_adder_8bit,t51_feedback_front_slot_qd,classic_revolution,best_score,0.381544,0.381544,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,t51_feedback_front_slot_qd,classic_revolution,valid_ppa_count,36.000000,28.000000,8.000000,0.285714
problem_seed,1001:RTLLM:Prob004_adder_8bit,t51_feedback_front_slot_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,t51_feedback_front_slot_qd,classic_revolution,unique_ppa_points,1.000000,7.000000,-6.000000,-0.857143
problem_seed,1001:RTLLM:Prob004_adder_8bit,t51_feedback_front_slot_qd,classic_revolution,reference_beating_count,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,t51_feedback_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,t51_feedback_front_slot_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,t51_feedback_front_slot_qd,classic_revolution,best_score,0.055183,0.135230,-0.080047,-0.591932
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,t51_feedback_front_slot_qd,classic_revolution,valid_ppa_count,14.000000,13.000000,1.000000,0.076923
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,t51_feedback_front_slot_qd,classic_revolution,ppa_front_points,5.000000,9.000000,-4.000000,-0.444444
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,t51_feedback_front_slot_qd,classic_revolution,unique_ppa_points,10.000000,11.000000,-1.000000,-0.090909
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,t51_feedback_front_slot_qd,classic_revolution,reference_beating_count,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob024_fsm,t51_feedback_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.145355,0.144948,0.000407,0.002808
problem_seed,1001:RTLLM:Prob024_fsm,t51_feedback_front_slot_qd,classic_revolution,hv_auc,0.135737,0.126181,0.009556,0.075732
problem_seed,1001:RTLLM:Prob024_fsm,t51_feedback_front_slot_qd,classic_revolution,best_score,0.500234,0.500234,0.000000,0.000000
problem_seed,1001:RTLLM:Prob024_fsm,t51_feedback_front_slot_qd,classic_revolution,valid_ppa_count,23.000000,16.000000,7.000000,0.437500
problem_seed,1001:RTLLM:Prob024_fsm,t51_feedback_front_slot_qd,classic_revolution,ppa_front_points,2.000000,2.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob024_fsm,t51_feedback_front_slot_qd,classic_revolution,unique_ppa_points,6.000000,11.000000,-5.000000,-0.454545
problem_seed,1001:RTLLM:Prob024_fsm,t51_feedback_front_slot_qd,classic_revolution,reference_beating_count,3.000000,8.000000,-5.000000,-0.625000
problem_seed,1001:RTLLM:Prob037_parallel2serial,t51_feedback_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.001393,0.000348,0.001045,3.002874
problem_seed,1001:RTLLM:Prob037_parallel2serial,t51_feedback_front_slot_qd,classic_revolution,hv_auc,0.000522,0.000058,0.000464,8.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,t51_feedback_front_slot_qd,classic_revolution,best_score,0.121627,0.084590,0.037037,0.437841
problem_seed,1001:RTLLM:Prob037_parallel2serial,t51_feedback_front_slot_qd,classic_revolution,valid_ppa_count,15.000000,18.000000,-3.000000,-0.166667
problem_seed,1001:RTLLM:Prob037_parallel2serial,t51_feedback_front_slot_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,t51_feedback_front_slot_qd,classic_revolution,unique_ppa_points,4.000000,6.000000,-2.000000,-0.333333
problem_seed,1001:RTLLM:Prob037_parallel2serial,t51_feedback_front_slot_qd,classic_revolution,reference_beating_count,2.000000,1.000000,1.000000,1.000000
problem_seed,1001:RTLLM:Prob041_traffic_light,t51_feedback_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.221360,0.306692,-0.085332,-0.278234
problem_seed,1001:RTLLM:Prob041_traffic_light,t51_feedback_front_slot_qd,classic_revolution,hv_auc,0.166093,0.250632,-0.084539,-0.337303
problem_seed,1001:RTLLM:Prob041_traffic_light,t51_feedback_front_slot_qd,classic_revolution,best_score,0.403821,0.416779,-0.012958,-0.031091
problem_seed,1001:RTLLM:Prob041_traffic_light,t51_feedback_front_slot_qd,classic_revolution,valid_ppa_count,18.000000,20.000000,-2.000000,-0.100000
problem_seed,1001:RTLLM:Prob041_traffic_light,t51_feedback_front_slot_qd,classic_revolution,ppa_front_points,2.000000,2.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob041_traffic_light,t51_feedback_front_slot_qd,classic_revolution,unique_ppa_points,16.000000,15.000000,1.000000,0.066667
problem_seed,1001:RTLLM:Prob041_traffic_light,t51_feedback_front_slot_qd,classic_revolution,reference_beating_count,10.000000,14.000000,-4.000000,-0.285714
problem_seed,1001:RTLLM:Prob045_alu,t51_feedback_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.198825,0.190351,0.008474,0.044518
problem_seed,1001:RTLLM:Prob045_alu,t51_feedback_front_slot_qd,classic_revolution,hv_auc,0.168119,0.156081,0.012038,0.077127
problem_seed,1001:RTLLM:Prob045_alu,t51_feedback_front_slot_qd,classic_revolution,best_score,0.397448,0.394596,0.002852,0.007228
problem_seed,1001:RTLLM:Prob045_alu,t51_feedback_front_slot_qd,classic_revolution,valid_ppa_count,7.000000,10.000000,-3.000000,-0.300000
problem_seed,1001:RTLLM:Prob045_alu,t51_feedback_front_slot_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob045_alu,t51_feedback_front_slot_qd,classic_revolution,unique_ppa_points,7.000000,9.000000,-2.000000,-0.222222
problem_seed,1001:RTLLM:Prob045_alu,t51_feedback_front_slot_qd,classic_revolution,reference_beating_count,7.000000,9.000000,-2.000000,-0.222222
problem_seed,1001:RTLLM:Prob049_signal_generator,t51_feedback_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.009971,0.012810,-0.002839,-0.221624
problem_seed,1001:RTLLM:Prob049_signal_generator,t51_feedback_front_slot_qd,classic_revolution,hv_auc,0.007357,0.009922,-0.002565,-0.258516
problem_seed,1001:RTLLM:Prob049_signal_generator,t51_feedback_front_slot_qd,classic_revolution,best_score,0.234775,0.234775,0.000000,0.000000
problem_seed,1001:RTLLM:Prob049_signal_generator,t51_feedback_front_slot_qd,classic_revolution,valid_ppa_count,39.000000,17.000000,22.000000,1.294118
problem_seed,1001:RTLLM:Prob049_signal_generator,t51_feedback_front_slot_qd,classic_revolution,ppa_front_points,2.000000,3.000000,-1.000000,-0.333333
problem_seed,1001:RTLLM:Prob049_signal_generator,t51_feedback_front_slot_qd,classic_revolution,unique_ppa_points,2.000000,5.000000,-3.000000,-0.600000
problem_seed,1001:RTLLM:Prob049_signal_generator,t51_feedback_front_slot_qd,classic_revolution,reference_beating_count,2.000000,3.000000,-1.000000,-0.333333
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,t51_feedback_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,t51_feedback_front_slot_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,t51_feedback_front_slot_qd,classic_revolution,best_score,0.012006,0.012006,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,t51_feedback_front_slot_qd,classic_revolution,valid_ppa_count,19.000000,34.000000,-15.000000,-0.441176
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,t51_feedback_front_slot_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,t51_feedback_front_slot_qd,classic_revolution,unique_ppa_points,2.000000,2.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,t51_feedback_front_slot_qd,classic_revolution,reference_beating_count,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,t51_feedback_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.398423,0.397461,0.000962,0.002420
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,t51_feedback_front_slot_qd,classic_revolution,hv_auc,0.398423,0.397444,0.000979,0.002463
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,t51_feedback_front_slot_qd,classic_revolution,best_score,0.465352,0.464404,0.000948,0.002041
