reference,metric,t59_value,reference_value,delta
classic,mean_global_ppa_hypervolume,0.086719,0.092601,-0.005882
classic,mean_hv_auc,0.079060,0.082020,-0.002960
classic,mean_best_score,0.287754,0.227928,0.059826
classic,valid_ppa_count,241.000000,257.000000,-16.000000
classic,total_ppa_front_points,20.000000,30.000000,-10.000000
classic,total_unique_ppa_points,60.000000,87.000000,-27.000000
classic,total_reference_beating_count,33.000000,46.000000,-13.000000
T51,mean_global_ppa_hypervolume,0.086719,0.089252,-0.002533
T51,mean_hv_auc,0.079060,0.085454,-0.006394
T51,mean_best_score,0.287754,0.293480,-0.005726
T51,valid_ppa_count,241.000000,266.000000,-25.000000
T51,total_ppa_front_points,20.000000,21.000000,-1.000000
T51,total_unique_ppa_points,60.000000,75.000000,-15.000000
T51,total_reference_beating_count,33.000000,43.000000,-10.000000
T54,mean_global_ppa_hypervolume,0.086719,0.075892,0.010827
T54,mean_hv_auc,0.079060,0.062753,0.016307
T54,mean_best_score,0.287754,0.263027,0.024727
T54,valid_ppa_count,241.000000,253.000000,-12.000000
T54,total_ppa_front_points,20.000000,21.000000,-1.000000
T54,total_unique_ppa_points,60.000000,67.000000,-7.000000
T54,total_reference_beating_count,33.000000,31.000000,2.000000
T58,mean_global_ppa_hypervolume,0.086719,0.076253,0.010466
T58,mean_hv_auc,0.079060,0.066233,0.012827
T58,mean_best_score,0.287754,0.249751,0.038003
T58,valid_ppa_count,241.000000,266.000000,-25.000000
T58,total_ppa_front_points,20.000000,22.000000,-2.000000
T58,total_unique_ppa_points,60.000000,71.000000,-11.000000
T58,total_reference_beating_count,33.000000,34.000000,-1.000000
