seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,t51_feedback_front_slot_qd,classic_revolution,36,29,7,0.241379,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,36,28,8,0.285714,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,t51_feedback_front_slot_qd,classic_revolution,14,13,1,0.076923,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,14,13,1,0.076923,pass
1001,RTLLM,Prob024_fsm,functionality_count,t51_feedback_front_slot_qd,classic_revolution,31,19,12,0.631579,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,23,16,7,0.437500,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,t51_feedback_front_slot_qd,classic_revolution,15,21,-6,-0.285714,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,15,18,-3,-0.166667,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,t51_feedback_front_slot_qd,classic_revolution,18,21,-3,-0.142857,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,18,20,-2,-0.100000,pass
1001,RTLLM,Prob045_alu,functionality_count,t51_feedback_front_slot_qd,classic_revolution,7,11,-4,-0.363636,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,7,10,-3,-0.300000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,t51_feedback_front_slot_qd,classic_revolution,39,17,22,1.294118,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,39,17,22,1.294118,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,t51_feedback_front_slot_qd,classic_revolution,19,34,-15,-0.441176,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,19,34,-15,-0.441176,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,t51_feedback_front_slot_qd,classic_revolution,27,28,-1,-0.035714,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,27,28,-1,-0.035714,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,t51_feedback_front_slot_qd,classic_revolution,27,37,-10,-0.270270,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,27,37,-10,-0.270270,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,t51_feedback_front_slot_qd,classic_revolution,13,21,-8,-0.380952,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,13,21,-8,-0.380952,pass
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,t51_feedback_front_slot_qd,classic_revolution,2,2,0,0.000000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,1,2,-1,-0.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,t51_feedback_front_slot_qd,classic_revolution,4,13,-9,-0.692308,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,t51_feedback_front_slot_qd,classic_revolution,2,13,-11,-0.846154,yield_warning
