method,method_label,problem,candidate_id,generation,is_pareto_front,operator_mix_score,state_control_ratio,sog_complexity_score,sog_entropy,timing_risk_score,control_pipeline_ratio,timing_risk_entropy,operator_timing_cell,state_pipeline_cell,complexity_entropy_cell,code_file_path
classic_revolution,Classic,Prob001_accu,026999d6-b531-4cf6-aba1-81f6fe0c221a,0,true,0.269231,0.833333,25.000000,2.084963,20.900000,0.285714,1.750000,"0,0","1,1","0,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample2_initial/code.sv
classic_revolution,Classic,Prob001_accu,73d4783f-48ee-4b2d-87d6-d1c1666471d2,0,false,0.269231,0.833333,25.000000,2.084963,17.400000,0.266667,1.652863,"0,0","1,1","0,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample4_initial/code.sv
classic_revolution,Classic,Prob001_accu,ccc0f2c8-4fce-4278-9c2e-0d11911ee902,0,false,0.269231,0.833333,25.000000,2.084963,21.400000,0.266667,1.718846,"0,1","1,1","0,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample1_initial/code.sv
classic_revolution,Classic,Prob001_accu,60bf682f-e4ff-4230-8dfd-38ac782ab74b,1,true,0.307692,1.000000,24.000000,2.188722,21.400000,0.307692,1.750000,"1,1","2,2","0,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample4_C-F/code.sv
classic_revolution,Classic,Prob001_accu,62693c58-5f3a-4f6a-9789-6ecdf1d20298,1,false,0.431818,1.000000,41.000000,2.267118,35.200000,0.263158,1.804971,"3,3","2,1","2,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample3_M-E/code.sv
classic_revolution,Classic,Prob001_accu,37a55078-8ab0-4a61-ae4f-61a553f26f35,2,false,0.307692,1.666667,22.000000,1.918296,19.700000,0.307692,1.862961,"1,0","3,2","0,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample8_M-I/code.sv
classic_revolution,Classic,Prob001_accu,824c4f02-83be-47ed-b58f-00854c04456f,2,false,0.366667,0.833333,31.000000,2.093069,31.200000,0.285714,1.800279,"2,3","1,1","2,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample1_M-E/code.sv
classic_revolution,Classic,Prob001_accu,87697070-41eb-4339-9f0a-a2f83d12fbf8,2,true,0.285714,0.833333,26.000000,2.161978,18.900000,0.285714,1.864787,"1,0","1,1","1,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample4_M-R/code.sv
classic_revolution,Classic,Prob001_accu,454b042a-e4c0-4f30-b9ba-d94a9a2b49e8,3,false,0.307692,1.000000,24.000000,2.188722,21.400000,0.307692,1.750000,"1,1","2,2","0,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen3/Prob001_accu_sample5_C-F/code.sv
classic_revolution,Classic,Prob001_accu,848a0d74-0768-4d98-b49e-ca6c3d199d13,3,false,0.321429,1.000000,25.000000,2.199688,22.200000,0.285714,1.892516,"2,2","2,1","0,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen3/Prob001_accu_sample1_M-I/code.sv
