seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
all,all,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,13,13,624,597,260,257,0.416667,0.411859,0.268251,0.089551,0.074125,25,50,85,0.111026,0.010130,0.586538,0.734787,69.000000,25.000000,0.397094,0.175481,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
all,RTLLM,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,7,7,336,315,172,170,0.511905,0.505952,0.287536,0.109344,0.080719,14,41,57,0.198290,0.016902,0.446429,1.156318,50.000000,14.000000,0.692888,0.209821,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
all,VerilogEval-Spec-to-RTL,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,6,6,288,282,88,87,0.305556,0.302083,0.241253,0.066458,0.066431,11,9,28,0.009219,0.002230,0.750000,0.243001,19.000000,11.000000,0.052001,0.135417,0.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
1001,all,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,13,13,624,597,260,257,0.416667,0.411859,0.268251,0.089551,0.074125,25,50,85,0.111026,0.010130,0.586538,0.734787,69.000000,25.000000,0.397094,0.175481,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
1001,RTLLM,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,7,7,336,315,172,170,0.511905,0.505952,0.287536,0.109344,0.080719,14,41,57,0.198290,0.016902,0.446429,1.156318,50.000000,14.000000,0.692888,0.209821,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
1001,VerilogEval-Spec-to-RTL,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,6,6,288,282,88,87,0.305556,0.302083,0.241253,0.066458,0.066431,11,9,28,0.009219,0.002230,0.750000,0.243001,19.000000,11.000000,0.052001,0.135417,0.000000,0.000000
