seed,method,method_label,benchmark,problem,total_generated,syntax_count,functionality_count,valid_ppa_count,syntax_rate,functionality_rate,valid_ppa_rate,best_score,global_ppa_hypervolume,hv_auc,ppa_front_points,reference_beating_count,unique_ppa_points,duplicate_ppa_point_count,front_nn_distance,front_bbox_volume,active_archive_coverage,active_archive_qd_score,active_archive_members,active_global_pareto_members,active_qd_score_auc,active_coverage_auc,qd_two_parent_gate,success_parent_requests,two_parent_attempts
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,48,29,29,28,0.604167,0.604167,0.583333,0.381544,0.151026,0.125855,1,2,7,0,0.000000,0.000000,,,,,,,,,
1001,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,RTLLM,Prob004_adder_8bit,48,34,34,34,0.708333,0.708333,0.708333,0.381544,0.151026,0.075513,1,1,1,0,0.000000,0.000000,0.500000,0.381544,1,1,0.047693,0.062500,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,48,47,13,13,0.979167,0.270833,0.270833,0.135230,0.000000,0.000000,9,0,11,0,0.331250,0.928172,,,,,,,,,
1001,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,RTLLM,Prob015_multi_pipe_8bit,48,48,13,13,1.000000,0.270833,0.270833,0.052795,0.000000,0.000000,2,0,6,0,0.624049,0.031848,0.312500,0.004688,8,2,-0.048069,0.239583,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,48,43,19,16,0.895833,0.395833,0.333333,0.500234,0.144948,0.126181,2,8,11,0,0.230150,0.026275,,,,,,,,,
1001,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,RTLLM,Prob024_fsm,48,43,27,25,0.895833,0.562500,0.520833,0.500234,0.145668,0.087089,2,4,7,0,0.234499,0.027150,0.375000,2.288013,9,2,1.668895,0.291667,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,48,48,21,18,1.000000,0.437500,0.375000,0.084590,0.000348,0.000058,1,1,6,0,0.000000,0.000000,,,,,,,,,
1001,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,RTLLM,Prob037_parallel2serial,48,48,17,17,1.000000,0.354167,0.354167,0.032565,0.000000,0.000000,2,1,4,0,0.176221,0.000549,0.250000,0.051577,5,2,0.008596,0.145833,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,48,47,21,20,0.979167,0.437500,0.416667,0.416779,0.306692,0.250632,2,14,15,0,0.290946,0.019924,,,,,,,,,
1001,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,RTLLM,Prob041_traffic_light,48,48,24,24,1.000000,0.500000,0.500000,0.407742,0.242658,0.186650,4,14,18,0,0.184501,0.058568,0.500000,1.967246,13,4,1.220123,0.333333,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob045_alu,48,47,11,10,0.979167,0.229167,0.208333,0.394596,0.190351,0.156081,1,9,9,0,0.000000,0.000000,,,,,,,,,
1001,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,RTLLM,Prob045_alu,48,46,19,19,0.958333,0.395833,0.395833,0.403098,0.216085,0.208424,1,19,19,0,0.000000,0.000000,0.437500,2.696835,10,1,1.864935,0.302083,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob049_signal_generator,48,45,17,17,0.937500,0.354167,0.354167,0.234775,0.012810,0.009922,3,3,5,0,0.298225,0.003032,,,,,,,,,
1001,fused_rtl_state_pipeline_qd,T63 fused RTL-native QD,RTLLM,Prob049_signal_generator,48,48,38,38,1.000000,0.791667,0.791667,0.234775,0.009971,0.007357,2,2,2,0,0.168758,0.000196,0.750000,0.704324,4,2,0.088041,0.093750,none,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob098_circuit7,48,48,34,34,1.000000,0.708333,0.708333,0.012006,0.000000,0.000000,1,1,2,0,0.000000,0.000000,,,,,,,,,
