seed_group,cohort,metric,t63_value,t51_value,delta,relative_delta
1001,RTLLM,mean_global_ppa_hypervolume,0.109344,0.108662,0.000682,0.006276
1001,RTLLM,mean_hv_auc,0.080719,0.101737,-0.021018,-0.206592
1001,RTLLM,mean_best_score,0.287536,0.329313,-0.041777,-0.126861
1001,RTLLM,valid_ppa_count,170.000000,148.000000,22.000000,0.148649
1001,RTLLM,total_ppa_front_points,14.000000,10.000000,4.000000,0.400000
1001,RTLLM,total_unique_ppa_points,57.000000,46.000000,11.000000,0.239130
1001,RTLLM,total_reference_beating_count,41.000000,32.000000,9.000000,0.281250
1001,RTLLM,total_active_archive_members,50.000000,46.000000,4.000000,0.086957
1001,VerilogEval-Spec-to-RTL,mean_global_ppa_hypervolume,0.066458,0.066606,-0.000148,-0.002222
1001,VerilogEval-Spec-to-RTL,mean_hv_auc,0.066431,0.066456,-0.000025,-0.000376
1001,VerilogEval-Spec-to-RTL,mean_best_score,0.241253,0.243315,-0.002062,-0.008475
1001,VerilogEval-Spec-to-RTL,valid_ppa_count,87.000000,118.000000,-31.000000,-0.262712
1001,VerilogEval-Spec-to-RTL,total_ppa_front_points,11.000000,11.000000,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,total_unique_ppa_points,28.000000,29.000000,-1.000000,-0.034483
1001,VerilogEval-Spec-to-RTL,total_reference_beating_count,9.000000,11.000000,-2.000000,-0.181818
1001,VerilogEval-Spec-to-RTL,total_active_archive_members,19.000000,21.000000,-2.000000,-0.095238
1001,all,mean_global_ppa_hypervolume,0.089551,0.089252,0.000299,0.003350
1001,all,mean_hv_auc,0.074125,0.085454,-0.011329,-0.132574
1001,all,mean_best_score,0.268251,0.293480,-0.025229,-0.085965
1001,all,valid_ppa_count,257.000000,266.000000,-9.000000,-0.033835
1001,all,total_ppa_front_points,25.000000,21.000000,4.000000,0.190476
1001,all,total_unique_ppa_points,85.000000,75.000000,10.000000,0.133333
1001,all,total_reference_beating_count,50.000000,43.000000,7.000000,0.162791
1001,all,total_active_archive_members,69.000000,67.000000,2.000000,0.029851
all,RTLLM,mean_global_ppa_hypervolume,0.109344,0.108662,0.000682,0.006276
all,RTLLM,mean_hv_auc,0.080719,0.101737,-0.021018,-0.206592
all,RTLLM,mean_best_score,0.287536,0.329313,-0.041777,-0.126861
all,RTLLM,valid_ppa_count,170.000000,148.000000,22.000000,0.148649
all,RTLLM,total_ppa_front_points,14.000000,10.000000,4.000000,0.400000
all,RTLLM,total_unique_ppa_points,57.000000,46.000000,11.000000,0.239130
all,RTLLM,total_reference_beating_count,41.000000,32.000000,9.000000,0.281250
all,RTLLM,total_active_archive_members,50.000000,46.000000,4.000000,0.086957
all,VerilogEval-Spec-to-RTL,mean_global_ppa_hypervolume,0.066458,0.066606,-0.000148,-0.002222
all,VerilogEval-Spec-to-RTL,mean_hv_auc,0.066431,0.066456,-0.000025,-0.000376
all,VerilogEval-Spec-to-RTL,mean_best_score,0.241253,0.243315,-0.002062,-0.008475
all,VerilogEval-Spec-to-RTL,valid_ppa_count,87.000000,118.000000,-31.000000,-0.262712
all,VerilogEval-Spec-to-RTL,total_ppa_front_points,11.000000,11.000000,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,total_unique_ppa_points,28.000000,29.000000,-1.000000,-0.034483
all,VerilogEval-Spec-to-RTL,total_reference_beating_count,9.000000,11.000000,-2.000000,-0.181818
all,VerilogEval-Spec-to-RTL,total_active_archive_members,19.000000,21.000000,-2.000000,-0.095238
all,all,mean_global_ppa_hypervolume,0.089551,0.089252,0.000299,0.003350
all,all,mean_hv_auc,0.074125,0.085454,-0.011329,-0.132574
all,all,mean_best_score,0.268251,0.293480,-0.025229,-0.085965
all,all,valid_ppa_count,257.000000,266.000000,-9.000000,-0.033835
all,all,total_ppa_front_points,25.000000,21.000000,4.000000,0.190476
all,all,total_unique_ppa_points,85.000000,75.000000,10.000000,0.133333
all,all,total_reference_beating_count,50.000000,43.000000,7.000000,0.162791
all,all,total_active_archive_members,69.000000,67.000000,2.000000,0.029851
