feature,count,finite_fraction,unique_count,unique_ratio,nonzero_fraction,min,max,mean,stddev,q25,q75,iqr,normalized_range_coverage,collapsed,near_collapsed
adder_ratio,257,1.0,52,0.20233463035019456,0.6108949416342413,0.0,0.42105263157894735,0.10574963723737477,0.1376963730695076,0.0,0.11764705882352941,0.11764705882352941,1.0,False,False
always_count,257,1.0,6,0.023346303501945526,0.6809338521400778,0.0,5.0,0.9299610894941635,0.8339566272136226,0.0,1.0,1.0,1.0,False,False
arith_count,257,1.0,13,0.05058365758754864,0.7470817120622568,0.0,14.0,2.21011673151751,2.873908993802986,0.0,2.0,2.0,1.0,False,False
arithmetic_cells,257,1.0,13,0.05058365758754864,0.6108949416342413,0.0,128.0,15.249027237354085,34.86851691449435,0.0,8.0,8.0,1.0,False,False
assign_count,257,1.0,8,0.0311284046692607,0.6809338521400778,0.0,8.0,1.649805447470817,1.7845886841196306,0.0,3.0,3.0,1.0,False,False
ast_depth_est,257,1.0,19,0.07392996108949416,1.0,5.0,24.0,12.70817120622568,5.4576946860248166,7.0,18.0,11.0,1.0,False,False
case_count,257,1.0,3,0.011673151750972763,0.41245136186770426,0.0,2.0,0.4163424124513619,0.500782896286262,0.0,1.0,1.0,1.0,False,False
cell_count_log,257,1.0,63,0.245136186770428,1.0,1.0986122886681096,7.864419904994565,3.6422983176473003,1.8188912814408307,2.772588722239781,4.304065093204169,1.5314763709643882,1.0,False,False
comb_ratio,257,1.0,43,0.16731517509727625,1.0,0.5,1.0,0.8631212719624514,0.13770612137036473,0.8155680224403927,1.0,0.18443197755960727,1.0,False,False
comb_width_log,257,1.0,41,0.15953307392996108,1.0,0.6931471805599453,7.500529485395295,2.9785494734401485,1.5176711555421682,2.0794415416798357,3.8712010109078907,1.791759469228055,1.0,False,False
combinational_cells,257,1.0,41,0.15953307392996108,1.0,1.0,1808.0,124.75486381322958,373.20602563948455,7.0,47.0,40.0,1.0,False,False
compare_count,257,1.0,25,0.09727626459143969,0.8093385214007782,0.0,48.0,6.785992217898833,7.289251607404452,1.0,10.0,9.0,1.0,False,False
control_count,257,1.0,13,0.05058365758754864,0.622568093385214,0.0,17.0,3.1712062256809337,3.1054532969054374,0.0,6.0,6.0,1.0,False,False
control_pipeline_ratio,257,1.0,47,0.1828793774319066,1.0,0.14893617021276595,18.0,1.1385366462563775,1.5493706302703307,0.391304347826087,1.0,0.6086956521739131,1.0,False,False
ctrl_depth_est,257,1.0,7,0.027237354085603113,0.7470817120622568,0.0,10.0,3.369649805447471,3.043065260697792,0.0,6.0,6.0,1.0,False,False
edge_per_node,257,1.0,59,0.22957198443579765,1.0,0.5,2.824123588829471,1.3490971851412992,0.547439304180916,0.875,1.75,0.875,1.0,False,False
ff_depth,257,1.0,5,0.019455252918287938,0.45525291828793774,0.0,129.0,10.124513618677042,33.59880113922229,0.0,1.0,1.0,1.0,False,False
for_count,257,1.0,6,0.023346303501945526,0.5136186770428015,0.0,6.0,0.7704280155642024,0.9366204105486775,0.0,1.0,1.0,1.0,False,False
fsm_state_count_est,257,1.0,5,0.019455252918287938,0.17509727626459143,0.0,5.0,0.3540856031128405,1.0188461661025352,0.0,0.0,0.0,1.0,False,False
hyper_cell_count,257,1.0,43,0.16731517509727625,1.0,2.0,1937.0,135.52918287937743,406.3720000882843,8.0,47.0,39.0,1.0,False,False
hyper_directed_edge_count,257,1.0,53,0.20622568093385213,1.0,1.0,4755.0,323.852140077821,1060.996639574333,9.0,61.0,52.0,1.0,False,False
hyper_driven_net_count,257,1.0,59,0.22957198443579765,1.0,4.0,3277.0,256.0428015564202,630.5067399646014,23.0,81.0,58.0,1.0,False,False
hyper_fanout_entropy,257,1.0,68,0.26459143968871596,1.0,2.0,9.289083373445814,5.239072496512219,1.7657275036339248,4.366729296672174,5.975745055027299,1.6090157583551248,1.0,False,False
hyper_max_fanout,257,1.0,18,0.07003891050583658,1.0,1.0,771.0,30.93774319066148,96.96413159873447,3.0,5.0,2.0,1.0,False,False
hyper_max_level,257,1.0,11,0.042801556420233464,0.6926070038910506,0.0,23.0,4.33852140077821,7.159535188631053,0.0,3.0,3.0,1.0,False,False
hyper_max_level_delta,257,1.0,12,0.04669260700389105,0.6926070038910506,0.0,22.0,4.007782101167315,6.8899025072582845,0.0,3.0,3.0,1.0,False,False
hyper_mean_fanout,257,1.0,67,0.2607003891050584,1.0,1.0,3.2429423459244533,1.6569481281609917,0.5556803390108724,1.1818181818181819,1.7380952380952381,0.5562770562770563,1.0,False,False
hyper_net_count,257,1.0,59,0.22957198443579765,1.0,4.0,3277.0,256.0428015564202,630.5067399646014,23.0,81.0,58.0,1.0,False,False
hyper_sink_net_count,257,1.0,58,0.22568093385214008,1.0,4.0,3276.0,255.55252918287937,630.3704967667763,23.0,79.0,56.0,1.0,False,False
if_count,257,1.0,10,0.038910505836575876,0.5603112840466926,0.0,9.0,2.062256809338521,2.3029366221848,0.0,3.0,3.0,1.0,False,False
laplacian_lambda2,257,1.0,70,0.2723735408560311,0.8715953307392996,0.0,2.0,0.271631017008507,0.4615226958312067,0.08269538295141365,0.251330715648479,0.16863533269706532,1.0,False,False
laplacian_spectral_entropy,257,1.0,72,0.2801556420233463,0.9377431906614786,0.0,0.9925161503575026,0.8824514890350571,0.22960624459687243,0.8930011032014432,0.9632637836386653,0.07026268043722206,1.0,False,False
log_edge_count,257,1.0,53,0.20622568093385213,1.0,0.6931471805599453,8.467162257810672,3.344023944601611,1.7243388433154978,2.302585092994046,4.127134385045092,1.8245492920510458,1.0,False,False
log_max_level,257,1.0,11,0.042801556420233464,0.6926070038910506,0.0,3.1780538303479458,1.080501294996725,1.0030490424915326,0.0,1.3862943611198906,1.3862943611198906,1.0,False,False
log_net_count,257,1.0,59,0.22957198443579765,1.0,1.6094379124341003,8.094988759303774,3.992269316704404,1.5435071738994006,3.1780538303479458,4.406719247264253,1.2286654169163076,1.0,False,False
log_node_count,257,1.0,43,0.16731517509727625,1.0,1.0986122886681096,7.569411792450712,3.112973132784271,1.4458044168428021,2.1972245773362196,3.8712010109078907,1.6739764335716711,1.0,False,False
logic_depth,257,1.0,11,0.042801556420233464,1.0,1.0,24.0,6.365758754863813,6.938198186423944,3.0,5.0,2.0,1.0,False,False
logic_depth_ltp,257,1.0,11,0.042801556420233464,1.0,1.0,24.0,6.412451361867705,6.935579097303232,3.0,5.0,2.0,1.0,False,False
logic_depth_ltp_delta,257,1.0,2,0.007782101167315175,0.04669260700389105,0.0,1.0,0.04669260700389105,0.2109796375365908,0.0,0.0,0.0,1.0,False,False
logic_op_count,257,1.0,20,0.07782101167315175,0.688715953307393,0.0,27.0,3.922178988326848,5.077777777593724,0.0,7.0,7.0,1.0,False,False
ltp_noff,257,1.0,1,0.0038910505836575876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
