feature,eligible,predictive_score,diversity_score,stability_score,composite_score,collapsed_in_backend_count,finite_fraction,normalized_range_coverage,unique_ratio
seq_ratio,True,0.7568607687053508,0.7224383916990921,1.0,0.79344078301209,0,1.0,1.0,0.16731517509727625
sequential_cells,True,0.7245074736727102,0.6874189364461737,1.0,0.7666249909088805,0,1.0,1.0,0.0622568093385214
ff_depth,True,0.7330496625941353,0.6731517509727626,1.0,0.7654754610078278,0,1.0,1.0,0.019455252918287938
pipeline_event_count,True,0.7047609078659017,0.6964980544747083,1.0,0.7609167276058038,0,1.0,1.0,0.08949416342412451
control_pipeline_ratio,True,0.613416941849729,0.7276264591439688,1.0,0.7307068845327671,0,1.0,1.0,0.1828793774319066
logic_op_count,True,0.6228997033542586,0.6926070038910507,1.0,0.722717317871284,0,1.0,1.0,0.07782101167315175
scoap_co_bin_2_pct,True,0.597074432531425,0.7178250891911176,1.0,0.7199222758560324,0,1.0,1.0,0.17509727626459143
always_count,True,0.6518023406913245,0.6400371265423515,1.0,0.7173240476009191,0,1.0,1.0,0.023346303501945526
rent_exponent,True,0.5712996789617402,0.7059385960186892,1.0,0.7041633641393243,0,1.0,1.0,0.26848249027237353
max_rhs_operator_count,True,0.6092191323754792,0.6464292856786628,1.0,0.7003988595564976,0,1.0,1.0,0.054474708171206226
if_count,True,0.5817093383936563,0.6796368352788585,1.0,0.6996420946247459,0,1.0,1.0,0.038910505836575876
wire_cell_ratio_est,True,0.7455894289362307,0.4685333247438881,1.0,0.6995019066816646,0,1.0,1.0,0.2529182879377432
comb_ratio,True,0.7568607687053508,0.4422865080042577,1.0,0.6953876237188981,0,1.0,1.0,0.16731517509727625
rent_r2,True,0.562406137947511,0.6820372213508316,1.0,0.6917957895491711,0,1.0,1.0,0.3424124513618677
scoap_cc0_bin_2_pct,True,0.5450472849659851,0.7013189783741023,1.0,0.6907329206656292,0,1.0,1.0,0.23735408560311283
operator_mix_score,True,0.6616579409479788,0.5291531756846802,1.0,0.6829496849162286,0,1.0,1.0,0.23735408560311283
control_count,True,0.5371198836223068,0.6766164328174026,1.0,0.6785196991161289,0,1.0,1.0,0.05058365758754864
compare_count,True,0.5117925823346077,0.6990920881971466,1.0,0.6749888929195749,0,1.0,1.0,0.09727626459143969
logic_depth,True,0.5082257899257783,0.6809338521400777,1.0,0.6670284537156275,0,1.0,1.0,0.042801556420233464
logic_depth_ltp,True,0.5061800775327239,0.6809338521400777,1.0,0.666107883138753,0,1.0,1.0,0.042801556420233464
hyper_max_level_delta,True,0.5025507000240065,0.6822308690012969,1.0,0.6649286191612569,0,1.0,1.0,0.04669260700389105
rtl_cyclomatic_total_log,True,0.49298051619581673,0.6928897493629118,1.0,0.6643526445651367,0,1.0,1.0,0.11284046692607004
rtl_char_count,True,0.3362752691745074,0.8928883800191606,1.0,0.6638348041352344,0,1.0,1.0,0.9221789883268483
scoap_co_bin_0_pct,True,0.5010933060723046,0.6746423892827038,1.0,0.6616168239814835,0,1.0,1.0,0.24124513618677043
hyper_max_level,True,0.49300512066930197,0.6809338521400777,1.0,0.6601791525502131,0,1.0,1.0,0.042801556420233464
mux_ratio,True,0.429650817352384,0.7457846952010376,1.0,0.654367511128936,0,1.0,1.0,0.23735408560311283
log_max_level,True,0.49300512066930197,0.6570399265878563,1.0,0.6518162786069355,0,1.0,1.0,0.042801556420233464
assign_count,True,0.46485785080760106,0.6770428015564202,1.0,0.6461510134081676,0,1.0,1.0,0.0311284046692607
reconv_sink_ratio,True,0.44887791971064667,0.6970413931638352,1.0,0.6459595514771332,0,1.0,1.0,0.12062256809338522
rtl_cyclomatic_max_log,True,0.4486118379706099,0.6906113538851218,1.0,0.6435893009465671,0,1.0,1.0,0.10116731517509728
ctrl_depth_est,True,0.4726275251684661,0.6434393074047209,1.0,0.6378861439174621,0,1.0,1.0,0.027237354085603113
sog_entropy,True,0.45966110633234697,0.6523365385217678,1.0,0.6351652863321748,0,1.0,1.0,0.22568093385214008
mul_count,True,0.4435436487896961,0.6718547341115434,1.0,0.6347437988944034,0,1.0,1.0,0.01556420233463035
mux_cells,True,0.4099079566086257,0.7146562905317769,1.0,0.6345882821600035,0,1.0,1.0,0.14396887159533073
rent_exponent_confidence_gated,True,0.517665790700453,0.5488750795931051,1.0,0.6250558836727906,0,1.0,1.0,0.3424124513618677
