seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_two_parent_attempts,total_two_parent_fallbacks
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,
all,all,fused_rtl_operator_timing_qd,T64 operator/timing QD,13,13,624,598,288,283,0.461539,0.453526,0.227030,0.084572,0.072750,23,38,74,0.080239,0.005141,0.455662,1.015611,88.000000,23.000000,0.810481,0.294427,0.000000,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,
all,RTLLM,fused_rtl_operator_timing_qd,T64 operator/timing QD,7,7,336,314,171,166,0.508929,0.494048,0.280159,0.100020,0.078083,12,28,45,0.076186,0.003896,0.498016,1.462861,52.000000,12.000000,1.052620,0.384590,0.000000,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,
all,VerilogEval-Spec-to-RTL,fused_rtl_operator_timing_qd,T64 operator/timing QD,6,6,288,284,117,117,0.406250,0.406250,0.165047,0.066549,0.066527,11,10,29,0.084967,0.006593,0.406250,0.493820,36.000000,11.000000,0.527985,0.189236,0.000000,0.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,
1001,all,fused_rtl_operator_timing_qd,T64 operator/timing QD,13,13,624,598,288,283,0.461539,0.453526,0.227030,0.084572,0.072750,23,38,74,0.080239,0.005141,0.455662,1.015611,88.000000,23.000000,0.810481,0.294427,0.000000,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,
1001,RTLLM,fused_rtl_operator_timing_qd,T64 operator/timing QD,7,7,336,314,171,166,0.508929,0.494048,0.280159,0.100020,0.078083,12,28,45,0.076186,0.003896,0.498016,1.462861,52.000000,12.000000,1.052620,0.384590,0.000000,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,
1001,VerilogEval-Spec-to-RTL,fused_rtl_operator_timing_qd,T64 operator/timing QD,6,6,288,284,117,117,0.406250,0.406250,0.165047,0.066549,0.066527,11,10,29,0.084967,0.006593,0.406250,0.493820,36.000000,11.000000,0.527985,0.189236,0.000000,0.000000,0.000000
