seed,method,method_label,benchmark,problem,total_generated,syntax_count,functionality_count,valid_ppa_count,syntax_rate,functionality_rate,valid_ppa_rate,best_score,global_ppa_hypervolume,hv_auc,ppa_front_points,reference_beating_count,unique_ppa_points,duplicate_ppa_point_count,front_nn_distance,front_bbox_volume,active_archive_coverage,active_archive_qd_score,active_archive_members,active_global_pareto_members,active_qd_score_auc,active_coverage_auc,qd_two_parent_gate,success_parent_requests,two_parent_attempts,two_parent_fallbacks
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,48,29,29,28,0.604167,0.604167,0.583333,0.381544,0.151026,0.125855,1,2,7,0,0.000000,0.000000,,,,,,,,,,
1001,fused_rtl_operator_timing_qd,T64 operator/timing QD,RTLLM,Prob004_adder_8bit,48,36,36,36,0.750000,0.750000,0.750000,0.381544,0.151026,0.075513,1,1,1,0,0.000000,0.000000,0.444444,1.526177,4,1,1.017451,0.296296,none,0,0,0
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,48,47,13,13,0.979167,0.270833,0.270833,0.135230,0.000000,0.000000,9,0,11,0,0.331250,0.928172,,,,,,,,,,
1001,fused_rtl_operator_timing_qd,T64 operator/timing QD,RTLLM,Prob015_multi_pipe_8bit,48,47,8,8,0.979167,0.166667,0.166667,0.052795,0.000000,0.000000,1,0,6,0,0.000000,0.000000,0.250000,-0.076390,5,1,-0.124012,0.208333,none,0,0,0
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,48,43,19,16,0.895833,0.395833,0.333333,0.500234,0.144948,0.126181,2,8,11,0,0.230150,0.026275,,,,,,,,,,
1001,fused_rtl_operator_timing_qd,T64 operator/timing QD,RTLLM,Prob024_fsm,48,40,28,23,0.833333,0.583333,0.479167,0.500234,0.145887,0.108946,2,4,7,0,0.233406,0.026931,0.500000,2.405248,10,2,1.824561,0.388889,none,0,0,0
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,48,48,21,18,1.000000,0.437500,0.375000,0.084590,0.000348,0.000058,1,1,6,0,0.000000,0.000000,,,,,,,,,,
1001,fused_rtl_operator_timing_qd,T64 operator/timing QD,RTLLM,Prob037_parallel2serial,48,48,22,22,1.000000,0.458333,0.458333,-0.000000,0.000000,0.000000,2,0,2,0,0.075878,0.000000,0.333333,-0.009729,4,2,-0.009729,0.333333,none,0,0,0
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,48,47,21,20,0.979167,0.437500,0.416667,0.416779,0.306692,0.250632,2,14,15,0,0.290946,0.019924,,,,,,,,,,
1001,fused_rtl_operator_timing_qd,T64 operator/timing QD,RTLLM,Prob041_traffic_light,48,48,22,22,1.000000,0.458333,0.458333,0.403821,0.221360,0.182618,2,10,16,0,0.047154,0.000141,0.687500,2.560559,15,2,1.464467,0.406250,none,0,0,0
1001,classic_revolution,Classic,RTLLM,Prob045_alu,48,47,11,10,0.979167,0.229167,0.208333,0.394596,0.190351,0.156081,1,9,9,0,0.000000,0.000000,,,,,,,,,,
1001,fused_rtl_operator_timing_qd,T64 operator/timing QD,RTLLM,Prob045_alu,48,47,11,11,0.979167,0.229167,0.229167,0.387945,0.171896,0.171887,2,11,11,0,0.008107,0.000004,0.437500,2.660292,8,2,2.217375,0.364583,none,0,0,0
1001,classic_revolution,Classic,RTLLM,Prob049_signal_generator,48,45,17,17,0.937500,0.354167,0.354167,0.234775,0.012810,0.009922,3,3,5,0,0.298225,0.003032,,,,,,,,,,
1001,fused_rtl_operator_timing_qd,T64 operator/timing QD,RTLLM,Prob049_signal_generator,48,48,44,44,1.000000,0.916667,0.916667,0.234775,0.009971,0.007618,2,2,2,0,0.168758,0.000196,0.833333,1.173873,6,2,0.978228,0.694444,none,0,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob098_circuit7,48,48,34,34,1.000000,0.708333,0.708333,0.012006,0.000000,0.000000,1,1,2,0,0.000000,0.000000,,,,,,,,,,
1001,fused_rtl_operator_timing_qd,T64 operator/timing QD,VerilogEval-Spec-to-RTL,Prob098_circuit7,48,48,18,18,1.000000,0.375000,0.375000,0.012006,0.000000,0.000000,1,1,2,0,0.000000,0.000000,0.500000,0.012006,2,1,0.001501,0.062500,none,0,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,48,48,28,28,1.000000,0.583333,0.583333,0.464404,0.397461,0.397444,2,5,5,0,0.200002,0.000176,,,,,,,,,,
1001,fused_rtl_operator_timing_qd,T64 operator/timing QD,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,48,48,20,20,1.000000,0.416667,0.416667,0.465352,0.398423,0.398423,1,3,3,0,0.000000,0.000000,0.250000,1.791000,4,1,1.713605,0.239583,none,0,0,0
1001,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,48,47,37,37,0.979167,0.770833,0.770833,0.263617,0.000000,0.000000,1,0,3,0,0.000000,0.000000,,,,,,,,,,
1001,fused_rtl_operator_timing_qd,T64 operator/timing QD,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,48,47,42,42,0.979167,0.875000,0.875000,0.263617,0.000000,0.000000,1,0,3,0,0.000000,0.000000,0.437500,1.575426,8,1,1.379283,0.375000,none,0,0,0
