seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,36,29,7,0.241379,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,36,28,8,0.285714,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,8,13,-5,-0.384615,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,8,13,-5,-0.384615,pass
1001,RTLLM,Prob024_fsm,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,28,19,9,0.473684,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,23,16,7,0.437500,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,22,21,1,0.047619,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,22,18,4,0.222222,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,22,21,1,0.047619,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,22,20,2,0.100000,pass
1001,RTLLM,Prob045_alu,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,11,11,0,0.000000,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,11,10,1,0.100000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,44,17,27,1.588235,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,44,17,27,1.588235,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,18,34,-16,-0.470588,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,18,34,-16,-0.470588,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,20,28,-8,-0.285714,pass
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,20,28,-8,-0.285714,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,42,37,5,0.135135,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,42,37,5,0.135135,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,12,21,-9,-0.428571,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,12,21,-9,-0.428571,pass
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,5,2,3,1.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,5,2,3,1.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,fused_rtl_operator_timing_qd,classic_revolution,20,13,7,0.538462,pass
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,fused_rtl_operator_timing_qd,classic_revolution,20,13,7,0.538462,pass
