feature,eligible,predictive_score,diversity_score,stability_score,composite_score,collapsed_in_backend_count,finite_fraction,normalized_range_coverage,unique_ratio
seq_ratio,False,0.7843857236722833,0.7196702002355712,0.524074074074074,0.7096729605497922,1,0.524074074074074,1.0,0.15901060070671377
sequential_cells,False,0.7582272353751914,0.6866902237926973,0.524074074074074,0.686358649061095,1,0.524074074074074,1.0,0.06007067137809187
ff_depth,False,0.7556519799474953,0.673733804475854,0.524074074074074,0.6806650373577366,1,0.524074074074074,1.0,0.02120141342756184
pipeline_event_count,False,0.742496687476982,0.690223792697291,0.524074074074074,0.6805166516235085,1,0.524074074074074,1.0,0.0706713780918728
always_count,False,0.7197167915914372,0.654833672166573,0.524074074074074,0.6578791562892621,1,0.524074074074074,1.0,0.0176678445229682
rent_exponent,False,0.675533685968795,0.7081169342220264,0.524074074074074,0.6566459004784818,1,0.524074074074074,1.0,0.24381625441696114
rent_r2,False,0.6766922844631029,0.6779466810608801,0.524074074074074,0.6466076811945192,1,0.524074074074074,1.0,0.3003533568904594
logic_op_count,False,0.6555322466423821,0.6925795053003534,0.524074074074074,0.6422071526590104,1,0.524074074074074,1.0,0.07773851590106007
scoap_co_bin_2_pct,False,0.6487618508726566,0.6830630504232111,0.524074074074074,0.6358297153556342,1,0.524074074074074,1.0,0.15547703180212014
if_count,False,0.6474708966140663,0.6772673733804475,0.524074074074074,0.6332202989743013,1,0.524074074074074,1.0,0.03180212014134275
max_rhs_operator_count,False,0.651733555950955,0.6597632184870574,0.524074074074074,0.6290120414632147,1,0.524074074074074,1.0,0.0636042402826855
rtl_cyclomatic_total_log,False,0.6152643185219058,0.7043580683156655,0.524074074074074,0.6282090820601554,1,0.524074074074074,1.0,0.11307420494699646
control_pipeline_ratio,False,0.581031583603076,0.712603062426384,0.524074074074074,0.6156900992854334,1,0.524074074074074,1.0,0.13780918727915195
compare_count,False,0.5939726163325828,0.6949352179034158,0.524074074074074,0.6153298184306726,1,0.524074074074074,1.0,0.08480565371024736
rtl_cyclomatic_max_log,False,0.5901986348845495,0.6996466431095406,0.524074074074074,0.6152805256012013,1,0.524074074074074,1.0,0.0989399293286219
rtl_char_count,False,0.4284319762004095,0.9032623300646151,0.524074074074074,0.6137510196276144,1,0.524074074074074,1.0,0.8833922261484098
comb_ratio,False,0.7843857236722833,0.4426572258085857,0.524074074074074,0.6127184195003473,1,0.524074074074074,1.0,0.15901060070671377
control_count,False,0.5989926241350512,0.6808009422850412,0.524074074074074,0.6126418254753523,1,0.524074074074074,1.0,0.04240282685512368
wire_cell_ratio_est,False,0.7485508949477457,0.45766019169658995,0.524074074074074,0.6018437846351068,1,0.524074074074074,1.0,0.21201413427561838
hyper_max_level_delta,False,0.5614045946525054,0.67962308598351,0.524074074074074,0.5953149625026707,1,0.524074074074074,1.0,0.038869257950530034
hyper_max_level,False,0.5598932363202285,0.67962308598351,0.524074074074074,0.5946348512531461,1,0.524074074074074,1.0,0.038869257950530034
scoap_cc0_bin_2_pct,False,0.5472594790418955,0.6791716348008193,0.524074074074074,0.5887916525639545,1,0.524074074074074,1.0,0.22614840989399293
mux_ratio,False,0.5062647123355019,0.7267373380447585,0.524074074074074,0.5869920036814561,1,0.524074074074074,1.0,0.18021201413427562
log_max_level,False,0.5598932363202285,0.6551366984077208,0.524074074074074,0.5860646156016199,1,0.524074074074074,1.0,0.038869257950530034
logic_depth,False,0.5375046030322255,0.6808009422850412,0.524074074074074,0.5849722159790807,1,0.524074074074074,1.0,0.04240282685512368
logic_depth_ltp,False,0.527583106030554,0.6808009422850412,0.524074074074074,0.5805075423283286,1,0.524074074074074,1.0,0.04240282685512368
sog_entropy,False,0.5347498010710169,0.6656741907053766,0.524074074074074,0.5784381920436542,1,0.524074074074074,1.0,0.1978798586572438
operator_mix_score,False,0.6451841973743109,0.5117130844584007,0.524074074074074,0.5742472831936949,1,0.524074074074074,1.0,0.21908127208480566
scoap_co_bin_0_pct,False,0.5145339934487942,0.6711112819761649,0.524074074074074,0.5712440605584299,1,0.524074074074074,1.0,0.23674911660777384
mux_cells,False,0.4897793558737347,0.7008244994110718,0.524074074074074,0.5705040997518706,1,0.524074074074074,1.0,0.10247349823321555
ctrl_depth_est,False,0.504603410366112,0.6667016884582538,0.524074074074074,0.5652319404399541,1,0.524074074074074,1.0,0.024734982332155476
rent_exponent_confidence_gated,False,0.5957798950849988,0.5440223302686779,0.524074074074074,0.5633235831971015,1,0.524074074074074,1.0,0.3003533568904594
rent_k,False,0.3932227055954118,0.7667844522968198,0.524074074074074,0.550139590636637,1,0.524074074074074,1.0,0.3003533568904594
resource_sharing_ratio_est,False,0.4416782894355737,0.7031802120141343,0.524074074074074,0.54968311926577,1,0.524074074074074,1.0,0.10954063604240283
rtl_line_count,False,0.45866259824144684,0.6784859743409707,0.524074074074074,0.5486830750428056,1,0.524074074074074,1.0,0.28975265017667845
rtl_nonempty_line_count,False,0.4545961977298785,0.6696788152609402,0.524074074074074,0.5437706891345893,1,0.524074074074074,1.0,0.26501766784452296
reconv_sink_ratio,False,0.4246487568249329,0.7039852986113643,0.524074074074074,0.5423016099000121,1,0.524074074074074,1.0,0.13427561837455831
hyper_max_fanout,False,0.42214205727465887,0.6866902237926973,0.524074074074074,0.5351203189158553,1,0.524074074074074,1.0,0.06007067137809187
assign_count,False,0.4202781200835084,0.6784452296819787,0.524074074074074,0.5313957992410862,1,0.524074074074074,1.0,0.0353356890459364
unique_identifier_count,False,0.46962328171488055,0.6078434343249727,0.524074074074074,0.5288904936002514,1,0.524074074074074,1.0,0.12014134275618374
scoap_signal_smoothness,False,0.3882406861801552,0.706582372968238,0.524074074074074,0.5268269541347679,1,0.524074074074074,1.0,0.2791519434628975
math_op_ast_count,False,0.41042432366032805,0.673733804475854,0.524074074074074,0.5253125920285113,1,0.524074074074074,1.0,0.02120141342756184
timing_risk_entropy,False,0.5185314315880304,0.5333523938516125,0.524074074074074,0.5248272968774929,1,0.524074074074074,1.0,0.3498233215547703
