feature,count,finite_fraction,unique_count,unique_ratio,nonzero_fraction,min,max,mean,stddev,q25,q75,iqr,normalized_range_coverage,collapsed,near_collapsed
adder_ratio,283,1.0,47,0.16607773851590105,0.5512367491166078,0.0,0.42105263157894735,0.09617807593511915,0.13660840111506106,0.0,0.11764705882352941,0.11764705882352941,1.0,False,False
always_count,283,1.0,5,0.0176678445229682,0.6254416961130742,0.0,4.0,0.8480565371024735,0.8029680610403541,0.0,1.0,1.0,1.0,False,False
arith_count,283,1.0,11,0.038869257950530034,0.6749116607773852,0.0,13.0,1.667844522968198,2.155424896548431,0.0,2.0,2.0,1.0,False,False
arithmetic_cells,283,1.0,12,0.04240282685512368,0.5512367491166078,0.0,128.0,9.268551236749117,26.337413103729293,0.0,5.0,5.0,1.0,False,False
assign_count,283,1.0,10,0.0353356890459364,0.696113074204947,0.0,18.0,1.7809187279151943,2.2324438439439067,0.0,3.0,3.0,1.0,False,False
ast_depth_est,283,1.0,19,0.06713780918727916,1.0,5.0,23.0,12.212014134275618,5.406866185724431,7.0,18.0,11.0,1.0,False,False
case_count,283,1.0,3,0.01060070671378092,0.3215547703180212,0.0,2.0,0.3250883392226148,0.47589184562596176,0.0,1.0,1.0,1.0,False,False
cell_count_log,283,1.0,56,0.1978798586572438,1.0,1.0986122886681096,7.743269700829004,3.338891348363022,1.685482006773552,1.791759469228055,3.5553480614894135,1.7635885922613586,1.0,False,False
comb_ratio,283,1.0,45,0.15901060070671377,1.0,0.5,1.0,0.8644202378005041,0.14605337411650468,0.8155680224403927,1.0,0.18443197755960727,1.0,False,False
comb_width_log,283,1.0,46,0.1625441696113074,1.0,0.6931471805599453,7.350516171833998,2.8990721328595526,1.4670010766558288,2.0794415416798357,3.349750170080839,1.2703086284010032,1.0,False,False
combinational_cells,283,1.0,46,0.1625441696113074,1.0,1.0,1556.0,110.98586572438163,347.05960192939244,7.0,27.5,20.5,1.0,False,False
compare_count,283,1.0,24,0.08480565371024736,0.7597173144876325,0.0,38.0,6.056537102473499,6.709809128311778,1.0,10.0,9.0,1.0,False,False
control_count,283,1.0,12,0.04240282685512368,0.5512367491166078,0.0,13.0,2.7985865724381624,3.0354323567374277,0.0,4.5,4.5,1.0,False,False
control_pipeline_ratio,283,1.0,39,0.13780918727915195,1.0,0.1891891891891892,8.0,0.9799793998204682,1.0265851563562707,0.45454545454545453,1.0,0.5454545454545454,1.0,False,False
ctrl_depth_est,283,1.0,7,0.024734982332155476,0.6749116607773852,0.0,10.0,3.070671378091873,2.995040997046024,0.0,6.0,6.0,1.0,False,False
edge_per_node,283,1.0,60,0.21201413427561838,1.0,0.5,2.824123588829471,1.3099599801579573,0.5392080639047618,0.8571428571428571,1.6666666666666667,0.8095238095238096,1.0,False,False
ff_depth,283,1.0,6,0.02120141342756184,0.4169611307420495,0.0,129.0,9.643109540636042,32.925172368413925,0.0,1.0,1.0,1.0,False,False
