cohort,profile,method,method_label,candidate_count,front_count,occupied_cells,front_cells,mean_timing_risk_score,mean_front_timing_risk_score,mean_operator_pressure_score,mean_front_operator_pressure_score
all,timing_risk,classic_revolution,Classic,87,30,15,13,34.464943,34.500000,27.540230,24.700000
all,timing_risk,code_thought_front_slot_qd,T51 code-thought,75,21,13,11,34.321333,29.116667,22.813333,19.619048
all,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,74,23,15,8,31.903378,27.167391,22.202703,19.391304
all,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,85,25,14,12,35.454706,31.198000,24.176471,20.880000
all,operator_timing,classic_revolution,Classic,87,30,14,11,34.464943,34.500000,27.540230,24.700000
all,operator_timing,code_thought_front_slot_qd,T51 code-thought,75,21,15,9,34.321333,29.116667,22.813333,19.619048
all,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,74,23,12,8,31.903378,27.167391,22.202703,19.391304
all,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,85,25,14,9,35.454706,31.198000,24.176471,20.880000
all,control_pipeline,classic_revolution,Classic,87,30,14,10,34.464943,34.500000,27.540230,24.700000
all,control_pipeline,code_thought_front_slot_qd,T51 code-thought,75,21,12,9,34.321333,29.116667,22.813333,19.619048
all,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,74,23,14,9,31.903378,27.167391,22.202703,19.391304
all,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,85,25,15,11,35.454706,31.198000,24.176471,20.880000
