problem,profile,method,method_label,front_cell_delta,occupied_cell_delta,front_count_delta,candidate_count_delta
Prob004_adder_8bit,timing_risk,code_thought_front_slot_qd,T51 code-thought,0.000000,-2.000000,0.000000,-5.000000
Prob004_adder_8bit,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-3.000000,0.000000,-6.000000
Prob004_adder_8bit,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,-3.000000,0.000000,-6.000000
Prob004_adder_8bit,operator_timing,code_thought_front_slot_qd,T51 code-thought,0.000000,-3.000000,0.000000,-5.000000
Prob004_adder_8bit,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-4.000000,0.000000,-6.000000
Prob004_adder_8bit,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,-4.000000,0.000000,-6.000000
Prob004_adder_8bit,control_pipeline,code_thought_front_slot_qd,T51 code-thought,0.000000,0.000000,0.000000,-5.000000
Prob004_adder_8bit,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-1.000000,0.000000,-6.000000
Prob004_adder_8bit,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,-1.000000,0.000000,-6.000000
Prob015_multi_pipe_8bit,timing_risk,code_thought_front_slot_qd,T51 code-thought,-5.000000,-2.000000,-7.000000,-5.000000
Prob015_multi_pipe_8bit,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,-6.000000,-4.000000,-8.000000,-5.000000
Prob015_multi_pipe_8bit,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,-5.000000,-3.000000,-7.000000,-5.000000
Prob015_multi_pipe_8bit,operator_timing,code_thought_front_slot_qd,T51 code-thought,-3.000000,0.000000,-7.000000,-5.000000
Prob015_multi_pipe_8bit,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,-4.000000,-1.000000,-8.000000,-5.000000
Prob015_multi_pipe_8bit,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,-3.000000,-1.000000,-7.000000,-5.000000
Prob015_multi_pipe_8bit,control_pipeline,code_thought_front_slot_qd,T51 code-thought,-3.000000,-1.000000,-7.000000,-5.000000
Prob015_multi_pipe_8bit,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,-4.000000,-2.000000,-8.000000,-5.000000
Prob015_multi_pipe_8bit,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,-3.000000,-2.000000,-7.000000,-5.000000
Prob024_fsm,timing_risk,code_thought_front_slot_qd,T51 code-thought,-1.000000,-1.000000,-1.000000,-5.000000
Prob024_fsm,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,0.000000,0.000000,-4.000000
Prob024_fsm,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,0.000000,0.000000,-4.000000
Prob024_fsm,operator_timing,code_thought_front_slot_qd,T51 code-thought,-1.000000,-1.000000,-1.000000,-5.000000
Prob024_fsm,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-1.000000,0.000000,-4.000000
Prob024_fsm,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,0.000000,0.000000,-4.000000
Prob024_fsm,control_pipeline,code_thought_front_slot_qd,T51 code-thought,-1.000000,-2.000000,-1.000000,-5.000000
Prob024_fsm,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-1.000000,0.000000,-4.000000
Prob024_fsm,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,0.000000,-1.000000,0.000000,-4.000000
Prob037_parallel2serial,timing_risk,code_thought_front_slot_qd,T51 code-thought,0.000000,0.000000,0.000000,-1.000000
Prob037_parallel2serial,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-4.000000,1.000000,-4.000000
Prob037_parallel2serial,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,1.000000,-1.000000,1.000000,-2.000000
Prob037_parallel2serial,operator_timing,code_thought_front_slot_qd,T51 code-thought,0.000000,2.000000,0.000000,-1.000000
Prob037_parallel2serial,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-2.000000,1.000000,-4.000000
Prob037_parallel2serial,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,1.000000,1.000000,1.000000,-2.000000
Prob037_parallel2serial,control_pipeline,code_thought_front_slot_qd,T51 code-thought,0.000000,2.000000,0.000000,-1.000000
Prob037_parallel2serial,control_pipeline,fused_rtl_operator_timing_qd,T64 operator/timing,0.000000,-1.000000,1.000000,-4.000000
Prob037_parallel2serial,control_pipeline,fused_rtl_state_pipeline_qd,T63 state/pipeline,1.000000,1.000000,1.000000,-2.000000
Prob041_traffic_light,timing_risk,code_thought_front_slot_qd,T51 code-thought,0.000000,-5.000000,0.000000,-7.000000
Prob041_traffic_light,timing_risk,fused_rtl_operator_timing_qd,T64 operator/timing,-1.000000,0.000000,0.000000,1.000000
Prob041_traffic_light,timing_risk,fused_rtl_state_pipeline_qd,T63 state/pipeline,2.000000,-2.000000,2.000000,3.000000
Prob041_traffic_light,operator_timing,code_thought_front_slot_qd,T51 code-thought,0.000000,-3.000000,0.000000,-7.000000
Prob041_traffic_light,operator_timing,fused_rtl_operator_timing_qd,T64 operator/timing,-1.000000,0.000000,0.000000,1.000000
Prob041_traffic_light,operator_timing,fused_rtl_state_pipeline_qd,T63 state/pipeline,1.000000,1.000000,2.000000,3.000000
Prob041_traffic_light,control_pipeline,code_thought_front_slot_qd,T51 code-thought,0.000000,-3.000000,0.000000,-7.000000
