method,method_label,benchmark,problem,candidate_id,generation,is_front,line_count,operator_pressure_score,timing_risk_score,control_pipeline_ratio,pipeline_event_count,control_count,timing_risk_entropy,unique_identifier_count,timing_risk_cell,operator_timing_cell,control_pipeline_cell,code_file_path
classic_revolution,Classic,RTLLM,Prob004_adder_8bit,00a6fbae-b68f-4df9-b993-83a743ba83b3,1,false,32.000000,8.000000,16.500000,1.000000,0.000000,0.000000,1.158939,12.000000,"0,0","0,0","0,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample4_M-I/code.sv
classic_revolution,Classic,RTLLM,Prob004_adder_8bit,693d92e8-b28e-47cf-9fc0-a21ee1be9288,1,false,10.000000,4.000000,8.300000,1.000000,0.000000,0.000000,1.000000,6.000000,"0,0","0,0","0,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample12_M-S/code.sv
classic_revolution,Classic,RTLLM,Prob004_adder_8bit,7da0c8d8-4ee3-48b5-8c42-8be80b8c10cb,1,true,19.000000,10.000000,20.500000,1.000000,0.000000,0.000000,1.158939,10.000000,"0,2","0,2","0,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample2_M-E/code.sv
classic_revolution,Classic,RTLLM,Prob004_adder_8bit,49d33079-469e-46a2-92d2-44d55dcf65c1,2,false,37.000000,203.000000,106.450000,1.000000,0.000000,0.000000,0.988212,9.000000,"0,3","3,3","0,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen2/Prob004_adder_8bit_sample9_M-I/code.sv
classic_revolution,Classic,RTLLM,Prob004_adder_8bit,de435ee1-d2db-4a2e-bc09-7a611d108429,2,false,47.000000,211.000000,109.150000,1.000000,0.000000,0.000000,1.042753,14.000000,"0,3","3,3","0,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen2/Prob004_adder_8bit_sample8_M-E/code.sv
classic_revolution,Classic,RTLLM,Prob004_adder_8bit,f66df93f-c8ab-4c07-b62c-8402e22a9bfc,2,false,60.000000,34.000000,42.150000,1.000000,0.000000,0.000000,1.571907,21.000000,"0,2","2,2","0,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen2/Prob004_adder_8bit_sample2_M-E/code.sv
classic_revolution,Classic,RTLLM,Prob004_adder_8bit,f3b726bf-f049-4696-bb1e-1bbdaffbe701,3,false,76.000000,15.000000,20.100000,3.000000,0.000000,2.000000,1.740653,26.000000,"3,1","1,1","3,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen3/Prob004_adder_8bit_sample11_M-E/code.sv
code_thought_front_slot_qd,T51 code-thought,RTLLM,Prob004_adder_8bit,0759ca3f-4e19-477b-99f6-1a3db3e75114,1,true,17.000000,10.000000,20.500000,1.000000,0.000000,0.000000,1.158939,10.000000,"0,2","0,2","0,0",/workspace/exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample1_single_thought_operator/code.sv
code_thought_front_slot_qd,T51 code-thought,RTLLM,Prob004_adder_8bit,b33fd43b-b2f0-4171-867a-45e714cb4705,3,false,20.000000,16.000000,20.050000,2.000000,0.000000,1.000000,1.646314,10.000000,"3,1","2,1","3,0",/workspace/exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen3/Prob004_adder_8bit_sample1_single_thought_operator/code.sv
fused_rtl_state_pipeline_qd,T63 state/pipeline,RTLLM,Prob004_adder_8bit,0fbfb73e-22bd-4fa9-adcb-5f7b4d3dc935,1,true,18.000000,15.000000,17.400000,1.000000,0.000000,0.000000,1.406152,10.000000,"0,0","1,0","0,0",/workspace/exp/useful_bd_push/t63_fused_rtl_native_20260623_133903_UTC/hard_tuning/fused_rtl_state_pipeline_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample1_single_thought_operator/code.sv
fused_rtl_operator_timing_qd,T64 operator/timing,RTLLM,Prob004_adder_8bit,99dce6c2-00e0-4084-bde9-7207126cb46a,1,true,18.000000,15.000000,17.400000,1.000000,0.000000,0.000000,1.406152,10.000000,"0,0","1,0","0,0",/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample1_single_thought_operator/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,0a91fd10-c73b-4b91-92c8-b99b7030847f,0,false,92.000000,38.000000,55.300000,0.290323,30.000000,8.000000,1.911359,28.000000,"1,3","3,3","3,3",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample6_initial/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,1b687041-a196-4103-8d69-90e040d36bde,0,true,79.000000,29.000000,43.200000,0.388889,17.000000,6.000000,1.994347,26.000000,"2,1","2,1","1,1",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample3_initial/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,6e4959ba-1caf-49a1-ad39-c3a9fbffefcf,0,true,47.000000,13.000000,17.750000,0.384615,12.000000,4.000000,1.747167,17.000000,"2,0","0,0","1,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample7_initial/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,8c8d45b4-ffda-4ff4-b266-4d95c4efc131,0,true,82.000000,35.000000,48.800000,0.275862,28.000000,7.000000,1.871056,27.000000,"1,2","3,2","2,3",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample1_initial/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,4b5f33a6-29fa-426b-a9dc-f9e377b8c43c,1,true,69.000000,34.000000,52.950000,0.318182,21.000000,6.000000,1.907874,24.000000,"2,3","3,3","1,2",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample5_M-E/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,7cab530c-1c91-40ce-a864-4a4725faf556,1,true,76.000000,26.000000,45.500000,0.500000,13.000000,6.000000,2.101101,28.000000,"3,2","2,2","1,0",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample9_C-F/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,e0bfe7b0-98d6-415d-abd8-fe227cfcc2d5,1,false,82.000000,32.000000,46.500000,0.291667,23.000000,6.000000,1.884008,32.000000,"1,2","2,2","1,3",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample2_M-F/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,11ec6904-c86c-4262-afd0-a492880f2149,2,true,74.000000,33.000000,50.000000,0.304348,22.000000,6.000000,1.898383,25.000000,"2,2","2,2","1,2",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen2/Prob015_multi_pipe_8bit_sample2_M-F/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,2ca60989-10ff-49dd-99f9-55172b86cd4d,2,true,124.000000,86.000000,93.250000,0.166667,71.000000,11.000000,1.930391,43.000000,"0,3","3,3","3,3",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen2/Prob015_multi_pipe_8bit_sample3_M-F/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,3c130930-a8bc-4dc2-ac98-de28ea9e3cf2,3,true,119.000000,61.000000,76.650000,0.265306,48.000000,12.000000,1.859942,34.000000,"0,3","3,3","3,3",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen3/Prob015_multi_pipe_8bit_sample11_M-E/code.sv
classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,b380eeef-71f9-47b6-a8f0-855d05d1844c,3,true,118.000000,52.000000,64.150000,0.250000,43.000000,10.000000,1.849844,37.000000,"0,3","3,3","3,3",/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen3/Prob015_multi_pipe_8bit_sample4_C-F/code.sv
code_thought_front_slot_qd,T51 code-thought,RTLLM,Prob015_multi_pipe_8bit,7da623af-3e65-416a-a180-bc43ef318786,0,false,51.000000,13.000000,17.250000,0.363636,10.000000,3.000000,1.713079,16.000000,"2,0","0,0","0,0",/workspace/exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample7_initial/code.sv
code_thought_front_slot_qd,T51 code-thought,RTLLM,Prob015_multi_pipe_8bit,882f49be-a76e-413b-a806-5e6773143fe8,0,false,73.000000,28.000000,51.000000,0.466667,14.000000,6.000000,1.972778,21.000000,"3,3","2,3","1,0",/workspace/exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/Prob015_multi_pipe_8bit_sample1_initial/code.sv
