scope,name,method,reference,metric,value,reference_value,delta,relative_delta
problem_seed,1001:RTLLM:Prob004_adder_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,global_ppa_hypervolume,0.151026,0.151026,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,hv_auc,0.075513,0.125855,-0.050342,-0.400000
problem_seed,1001:RTLLM:Prob004_adder_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,best_score,0.381544,0.381544,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,valid_ppa_count,35.000000,28.000000,7.000000,0.250000
problem_seed,1001:RTLLM:Prob004_adder_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,unique_ppa_points,1.000000,7.000000,-6.000000,-0.857143
problem_seed,1001:RTLLM:Prob004_adder_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,reference_beating_count,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,best_score,0.243448,0.135230,0.108218,0.800251
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,valid_ppa_count,20.000000,13.000000,7.000000,0.538462
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,ppa_front_points,3.000000,9.000000,-6.000000,-0.666667
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,unique_ppa_points,10.000000,11.000000,-1.000000,-0.090909
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,rtl_native_front_guarded_parent_qd,classic_revolution,reference_beating_count,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob024_fsm,rtl_native_front_guarded_parent_qd,classic_revolution,global_ppa_hypervolume,0.107413,0.144948,-0.037535,-0.258955
problem_seed,1001:RTLLM:Prob024_fsm,rtl_native_front_guarded_parent_qd,classic_revolution,hv_auc,0.089511,0.126181,-0.036670,-0.290614
problem_seed,1001:RTLLM:Prob024_fsm,rtl_native_front_guarded_parent_qd,classic_revolution,best_score,0.470071,0.500234,-0.030163,-0.060298
problem_seed,1001:RTLLM:Prob024_fsm,rtl_native_front_guarded_parent_qd,classic_revolution,valid_ppa_count,19.000000,16.000000,3.000000,0.187500
problem_seed,1001:RTLLM:Prob024_fsm,rtl_native_front_guarded_parent_qd,classic_revolution,ppa_front_points,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:RTLLM:Prob024_fsm,rtl_native_front_guarded_parent_qd,classic_revolution,unique_ppa_points,6.000000,11.000000,-5.000000,-0.454545
problem_seed,1001:RTLLM:Prob024_fsm,rtl_native_front_guarded_parent_qd,classic_revolution,reference_beating_count,2.000000,8.000000,-6.000000,-0.750000
problem_seed,1001:RTLLM:Prob037_parallel2serial,rtl_native_front_guarded_parent_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000348,-0.000348,-1.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,rtl_native_front_guarded_parent_qd,classic_revolution,hv_auc,0.000000,0.000058,-0.000058,-1.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,rtl_native_front_guarded_parent_qd,classic_revolution,best_score,-0.000000,0.084590,-0.084590,-1.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,rtl_native_front_guarded_parent_qd,classic_revolution,valid_ppa_count,21.000000,18.000000,3.000000,0.166667
problem_seed,1001:RTLLM:Prob037_parallel2serial,rtl_native_front_guarded_parent_qd,classic_revolution,ppa_front_points,3.000000,1.000000,2.000000,2.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,rtl_native_front_guarded_parent_qd,classic_revolution,unique_ppa_points,4.000000,6.000000,-2.000000,-0.333333
problem_seed,1001:RTLLM:Prob037_parallel2serial,rtl_native_front_guarded_parent_qd,classic_revolution,reference_beating_count,0.000000,1.000000,-1.000000,-1.000000
problem_seed,1001:RTLLM:Prob041_traffic_light,rtl_native_front_guarded_parent_qd,classic_revolution,global_ppa_hypervolume,0.204262,0.306692,-0.102430,-0.333983
problem_seed,1001:RTLLM:Prob041_traffic_light,rtl_native_front_guarded_parent_qd,classic_revolution,hv_auc,0.170218,0.250632,-0.080414,-0.320845
problem_seed,1001:RTLLM:Prob041_traffic_light,rtl_native_front_guarded_parent_qd,classic_revolution,best_score,0.399337,0.416779,-0.017442,-0.041850
problem_seed,1001:RTLLM:Prob041_traffic_light,rtl_native_front_guarded_parent_qd,classic_revolution,valid_ppa_count,24.000000,20.000000,4.000000,0.200000
