seed,benchmark,problem,qd_two_parent_gate,success_parent_requests,front_slot_lane_parent_requests,front_slot_lane_parent_hits,two_parent_attempts,two_parent_fallbacks,two_parent_gate_attempts,two_parent_gate_accepts,two_parent_gate_rejects
1001,RTLLM,Prob004_adder_8bit,near_front_descriptor,0,0,0,0,0,0,0,0
1001,RTLLM,Prob015_multi_pipe_8bit,near_front_descriptor,0,1,0,0,0,0,0,0
1001,RTLLM,Prob024_fsm,near_front_descriptor,0,1,1,0,0,0,0,0
1001,RTLLM,Prob037_parallel2serial,near_front_descriptor,0,4,4,0,0,0,0,0
1001,RTLLM,Prob041_traffic_light,near_front_descriptor,0,1,1,0,0,0,0,0
1001,RTLLM,Prob045_alu,near_front_descriptor,0,2,2,0,0,0,0,0
1001,RTLLM,Prob049_signal_generator,near_front_descriptor,0,0,0,0,0,0,0,0
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,near_front_descriptor,0,0,0,0,0,0,0,0
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,near_front_descriptor,0,0,0,0,0,0,0,0
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,near_front_descriptor,0,3,3,0,0,0,0,0
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,near_front_descriptor,0,0,0,0,0,0,0,0
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,near_front_descriptor,0,0,0,0,0,0,0,0
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,near_front_descriptor,0,3,1,0,0,0,0,0
