seed,benchmark,problem,metric,method,reference,value,reference_value,delta,relative_delta,gate_status
1001,RTLLM,Prob004_adder_8bit,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,35,29,6,0.206897,pass
1001,RTLLM,Prob004_adder_8bit,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,35,28,7,0.250000,pass
1001,RTLLM,Prob015_multi_pipe_8bit,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,21,13,8,0.615385,pass
1001,RTLLM,Prob015_multi_pipe_8bit,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,20,13,7,0.538462,pass
1001,RTLLM,Prob024_fsm,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,23,19,4,0.210526,pass
1001,RTLLM,Prob024_fsm,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,19,16,3,0.187500,pass
1001,RTLLM,Prob037_parallel2serial,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,22,21,1,0.047619,pass
1001,RTLLM,Prob037_parallel2serial,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,21,18,3,0.166667,pass
1001,RTLLM,Prob041_traffic_light,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,25,21,4,0.190476,pass
1001,RTLLM,Prob041_traffic_light,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,24,20,4,0.200000,pass
1001,RTLLM,Prob045_alu,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,20,11,9,0.818182,pass
1001,RTLLM,Prob045_alu,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,20,10,10,1.000000,pass
1001,RTLLM,Prob049_signal_generator,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,34,17,17,1.000000,pass
1001,RTLLM,Prob049_signal_generator,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,34,17,17,1.000000,pass
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,9,34,-25,-0.735294,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob098_circuit7,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,9,34,-25,-0.735294,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,12,28,-16,-0.571429,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,12,28,-16,-0.571429,yield_warning
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,32,37,-5,-0.135135,pass
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,32,37,-5,-0.135135,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,14,21,-7,-0.333333,pass
1001,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,14,21,-7,-0.333333,pass
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,2,2,0,0.000000,small_n
1001,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,1,2,-1,-0.500000,small_n
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,functionality_count,rtl_native_front_guarded_parent_qd,classic_revolution,19,13,6,0.461538,pass
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,valid_ppa_count,rtl_native_front_guarded_parent_qd,classic_revolution,19,13,6,0.461538,pass
