feature,eligible,predictive_score,diversity_score,stability_score,composite_score,collapsed_in_backend_count,finite_fraction,normalized_range_coverage,unique_ratio
seq_ratio,False,0.7665268249924739,0.7269230769230769,0.5029013539651838,0.699940418962727,1,0.5029013539651838,1.0,0.18076923076923077
sequential_cells,False,0.7550868762381495,0.6858974358974358,0.5029013539651838,0.6804334676643066,1,0.5029013539651838,1.0,0.057692307692307696
pipeline_event_count,False,0.7287781749787473,0.6935897435897437,0.5029013539651838,0.6712868597898833,1,0.5029013539651838,1.0,0.08076923076923077
ff_depth,False,0.7400837389388266,0.673076923076923,0.5029013539651838,0.6691948763924318,1,0.5029013539651838,1.0,0.019230769230769232
if_count,False,0.7109434787156839,0.6782051282051281,0.5029013539651838,0.6578766310868893,1,0.5029013539651838,1.0,0.03461538461538462
rent_exponent,False,0.6618182346982947,0.7194376050459786,0.5029013539651838,0.650201638173362,1,0.5029013539651838,1.0,0.3076923076923077
always_count,False,0.691062567788013,0.631568183142862,0.5029013539651838,0.6326072903976443,1,0.5029013539651838,1.0,0.015384615384615385
logic_op_count,False,0.6395872680151862,0.6897435897435898,0.5029013539651838,0.629804797810127,1,0.5029013539651838,1.0,0.06923076923076923
control_count,False,0.6497401616233636,0.6724616814832625,0.5029013539651838,0.6283249320426922,1,0.5029013539651838,1.0,0.046153846153846156
logic_depth,False,0.633384379567422,0.6807692307692307,0.5029013539651838,0.6238724723676075,1,0.5029013539651838,1.0,0.04230769230769231
logic_depth_ltp,False,0.6297104744314134,0.6807692307692307,0.5029013539651838,0.6222192150564035,1,0.5029013539651838,1.0,0.04230769230769231
control_pipeline_ratio,False,0.575997829507559,0.7205128205128205,0.5029013539651838,0.6119587812509255,1,0.5029013539651838,1.0,0.16153846153846155
hyper_max_level,False,0.6023714152234116,0.682051282051282,0.5029013539651838,0.6103653563615207,1,0.5029013539651838,1.0,0.046153846153846156
operator_mix_score,False,0.7035331644058652,0.5493473157620965,0.5029013539651838,0.6094417552924098,1,0.5029013539651838,1.0,0.27307692307692305
max_rhs_operator_count,False,0.6250402531756275,0.648731304186614,0.5029013539651838,0.608904341187384,1,0.5029013539651838,1.0,0.057692307692307696
scoap_co_bin_2_pct,False,0.5667327852850705,0.7205128205128205,0.5029013539651838,0.6077895113508057,1,0.5029013539651838,1.0,0.16153846153846155
wire_cell_ratio_est,False,0.7526201232088856,0.46975192401281385,0.5029013539651838,0.6036724996415201,1,0.5029013539651838,1.0,0.26153846153846155
comb_ratio,False,0.7665268249924739,0.4460853743738773,0.5029013539651838,0.6016472230705071,1,0.5029013539651838,1.0,0.18076923076923077
hyper_max_level_delta,False,0.5818324935520021,0.682051282051282,0.5029013539651838,0.6011228416093863,1,0.5029013539651838,1.0,0.046153846153846156
rtl_cyclomatic_total_log,False,0.5595284553344113,0.6980461796528483,0.5029013539651838,0.5966842385720187,1,0.5029013539651838,1.0,0.12307692307692308
log_max_level,False,0.6023714152234116,0.6386613950501078,0.5029013539651838,0.5951788959111097,1,0.5029013539651838,1.0,0.046153846153846156
adder_ratio,False,0.5026007984527181,0.7320512820512821,0.5029013539651838,0.5829685788147086,1,0.5029013539651838,1.0,0.19615384615384615
rtl_char_count,False,0.3714132950563659,0.8969613629185563,0.5029013539651838,0.5816527305898961,1,0.5029013539651838,1.0,0.9346153846153846
scoap_cc0_bin_2_pct,False,0.5196823352765689,0.704692986238213,0.5029013539651838,0.5810798668508673,1,0.5029013539651838,1.0,0.27307692307692305
arithmetic_cells,False,0.5368478930807167,0.682051282051282,0.5029013539651838,0.580879771397308,1,0.5029013539651838,1.0,0.046153846153846156
scoap_co_bin_0_pct,False,0.5307651064146748,0.6819051039191605,0.5029013539651838,0.5780913550513466,1,0.5029013539651838,1.0,0.27692307692307694
reconv_sink_ratio,False,0.4825565604778858,0.7217948717948718,0.5029013539651838,0.5703589281362905,1,0.5029013539651838,1.0,0.16538461538461538
rtl_cyclomatic_max_log,False,0.5014410052392457,0.6935688823403967,0.5029013539651838,0.5689778319698362,1,0.5029013539651838,1.0,0.10384615384615385
compare_count,False,0.49751395045015356,0.6974358974358975,0.5029013539651838,0.56856411259817,1,0.5029013539651838,1.0,0.09230769230769231
