feature,coefficient
operator_mix_score,0.23503960071274432
if_count,-0.2037068753347019
mux_cells,0.1943948074698376
compare_count,0.1914357143840829
rtl_cyclomatic_max_log,-0.16735924914363232
control_count,-0.15148540660259777
scoap_cc0_bin_3_pct,0.14861158568204022
unique_identifier_count,-0.14383813970685996
adder_ratio,-0.13530960020201302
rtl_cyclomatic_total_log,-0.1340560001036013
logic_depth_ltp,0.1280203508598
math_op_ast_count,-0.12636928591996355
logic_depth,0.12508626762377145
scoap_cc1_bin_2_pct,-0.12162659616103766
reconv_sink_ratio,0.11302817908805926
logic_depth_ltp_delta,0.11112229725163593
scoap_cc0_bin_1_pct,-0.10754633295160193
scoap_cc1_bin_3_pct,0.10588197316027016
scoap_signal_smoothness,-0.10525259220966746
wire_cell_ratio_est,-0.10005680922444683
control_pipeline_ratio,0.0973137518676545
rent_k,0.09336158020648337
rent_confidence,-0.08997037891519917
scoap_co_bin_1_pct,0.0875439582906839
log_edge_count,-0.0845017365634462
arith_count,0.08399395925868945
rent_retained_sample_ratio,0.08364601551465844
timing_risk_entropy,-0.08182668633196268
logic_op_count,0.08106770364031365
log_node_count,-0.08082657379942752
scoap_cc0_bin_2_pct,-0.08044722110673606
wire_count_log_est,-0.07678295010400132
ast_depth_est,0.07638929844858268
mul_count,0.07222577932353648
timing_risk_score,0.07001355809969931
log_max_level,-0.06821621847909345
mux_ratio,-0.06784209529422928
sog_entropy,-0.06705637207853558
seq_ratio,-0.06612118099380163
comb_ratio,0.06612118099379471
rent_r2,-0.0639426227221373
cell_count_log,-0.06132621228521758
case_count,0.05931467867679453
comb_width_log,-0.05773654672136727
rtl_line_count,-0.05655748619130236
state_control_ratio,-0.05625595553739339
rent_clamped_flag,-0.055158901478037745
hyper_max_fanout,-0.05318133397653167
laplacian_lambda2,-0.05198824784617239
rent_exponent,0.049850831942308875
ternary_count,-0.048610953492893016
ctrl_depth_est,0.04588158812061808
max_identifier_fanout,0.04572632299950036
laplacian_spectral_entropy,0.03941423399387388
edge_per_node,-0.037525439934483255
always_count,-0.03642026433441622
rent_exponent_confidence_gated,0.03603124686765506
shift_op_count,-0.03465684216055165
reconv_source_ratio,-0.034112256085082046
sequential_cells,-0.033963937944987435
total_cells,-0.03382972741307569
rtl_nonempty_line_count,-0.031435771606290665
rtl_char_count,-0.030509498798407166
scoap_co_bin_0_pct,-0.030482680348075452
scoap_cc1_bin_0_pct,-0.030049331885139353
scoap_cc0_bin_0_pct,-0.03004933188513932
rent_raw_sample_count,-0.027275344509448553
arithmetic_cells,-0.026672844971712566
scoap_co_bin_3_pct,-0.024701022438167065
share_family_inv,0.02455453129944285
rent_sample_count,-0.022539232826577705
hyper_max_level_delta,0.020522599529211975
log_net_count,0.018247870134378966
hyper_directed_edge_count,0.01758135125015408
max_rhs_operator_count,-0.01702192613290841
pipeline_event_count,0.015999914465318427
assign_count,0.015516389750680827
hyper_mean_fanout,-0.012125163318895264
resource_sharing_ratio_est,0.011540057902866616
fsm_state_count_est,0.009685216491720142
for_count,0.009681704322966108
hyper_sink_net_count,-0.007875404202939796
ff_depth,-0.006634020119026981
hyper_fanout_entropy,-0.006285347491525843
scoap_co_bin_2_pct,-0.0033719337305245095
hyper_max_level,0.003312266869015096
scoap_cc1_bin_1_pct,0.003093891612067971
combinational_cells,0.002508630700058597
hyper_cell_count,0.001100067653312474
rent_graph_node_count,0.0011000676533117401
sog_complexity_score,-0.000970295289872955
hyper_net_count,-0.00010026494431810918
hyper_driven_net_count,-0.00010026494431729407
ltp_noff,0.0
rtl_instance_count_est,0.0
utilization,0.0
