seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_generated_thought_count,total_generated_code_sample_count,total_success_parent_requests,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,
all,all,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,13,13,624,599,306,304,0.490385,0.487179,0.226566,0.091741,0.082090,18,41,67,0.070700,0.002644,0.429487,0.530424,44.000000,15.000000,0.349121,0.183405,40.000000,120.000000,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
all,RTLLM,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,7,7,336,317,199,198,0.592262,0.589286,0.287547,0.113464,0.105135,12,37,56,0.062967,0.004874,0.416667,0.954157,34.000000,9.000000,0.639466,0.230820,24.000000,72.000000,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,
all,VerilogEval-Spec-to-RTL,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,6,6,288,282,107,106,0.371528,0.368056,0.119849,0.066399,0.055205,6,4,11,0.079721,0.000042,0.444444,0.036069,10.000000,6.000000,0.010384,0.128087,16.000000,48.000000,0.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,,,
1001,all,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,13,13,624,599,306,304,0.490385,0.487179,0.226566,0.091741,0.082090,18,41,67,0.070700,0.002644,0.429487,0.530424,44.000000,15.000000,0.349121,0.183405,40.000000,120.000000,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
1001,RTLLM,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,7,7,336,317,199,198,0.592262,0.589286,0.287547,0.113464,0.105135,12,37,56,0.062967,0.004874,0.416667,0.954157,34.000000,9.000000,0.639466,0.230820,24.000000,72.000000,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,,,
1001,VerilogEval-Spec-to-RTL,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,6,6,288,282,107,106,0.371528,0.368056,0.119849,0.066399,0.055205,6,4,11,0.079721,0.000042,0.444444,0.036069,10.000000,6.000000,0.010384,0.128087,16.000000,48.000000,0.000000,0.000000
