seed,method,method_label,benchmark,problem,total_generated,syntax_count,functionality_count,valid_ppa_count,syntax_rate,functionality_rate,valid_ppa_rate,best_score,global_ppa_hypervolume,hv_auc,ppa_front_points,reference_beating_count,unique_ppa_points,duplicate_ppa_point_count,front_nn_distance,front_bbox_volume,active_archive_coverage,active_archive_qd_score,active_archive_members,active_global_pareto_members,active_qd_score_auc,active_coverage_auc,qd_two_parent_gate,generated_thought_count,generated_code_sample_count,success_parent_requests,two_parent_attempts
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,48,29,29,28,0.604167,0.604167,0.583333,0.381544,0.151026,0.125855,1,2,7,0,0.000000,0.000000,,,,,,,,,,,
1001,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,RTLLM,Prob004_adder_8bit,48,36,36,36,0.750000,0.750000,0.750000,0.381544,0.151026,0.151026,1,1,1,0,0.000000,0.000000,1.000000,0.381544,1,1,0.047693,0.125000,none,,,0,0
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,48,47,13,13,0.979167,0.270833,0.270833,0.135230,0.000000,0.000000,9,0,11,0,0.331250,0.928172,,,,,,,,,,,
1001,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,RTLLM,Prob015_multi_pipe_8bit,48,48,33,33,1.000000,0.687500,0.687500,0.052795,0.000000,0.000000,3,0,13,0,0.182276,0.006723,0.375000,-0.002196,8,1,0.020261,0.333333,none,4,12,0,0
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,48,43,19,16,0.895833,0.395833,0.333333,0.500234,0.144948,0.126181,2,8,11,0,0.230150,0.026275,,,,,,,,,,,
1001,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,RTLLM,Prob024_fsm,48,43,23,22,0.895833,0.479167,0.458333,0.491672,0.145668,0.112660,2,4,4,0,0.234499,0.027150,0.312500,2.428075,5,2,1.380344,0.177083,none,4,12,0,0
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,48,48,21,18,1.000000,0.437500,0.375000,0.084590,0.000348,0.000058,1,1,6,0,0.000000,0.000000,,,,,,,,,,,
1001,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,RTLLM,Prob037_parallel2serial,48,48,18,18,1.000000,0.375000,0.375000,-0.000000,0.000000,0.000000,1,0,2,0,0.000000,0.000000,0.187500,-0.328536,3,1,-0.219024,0.135417,none,4,12,0,0
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,48,47,21,20,0.979167,0.437500,0.416667,0.416779,0.306692,0.250632,2,14,15,0,0.290946,0.019924,,,,,,,,,,,
1001,rtl_native_seeded_thought_qd,T67 RTL-native seeded thought QD,RTLLM,Prob041_traffic_light,48,48,36,36,1.000000,0.750000,0.750000,0.407742,0.233378,0.217788,3,19,23,0,0.023993,0.000243,0.375000,2.029782,8,2,1.418168,0.270833,none,4,12,0,0
