feature,count,finite_fraction,unique_count,unique_ratio,nonzero_fraction,min,max,mean,stddev,q25,q75,iqr,normalized_range_coverage,collapsed,near_collapsed
adder_ratio,141,1.0,27,0.19148936170212766,0.624113475177305,0.0,0.42105263157894735,0.09469213046507075,0.12217600326359362,0.0,0.1111111111111111,0.1111111111111111,1.0,False,False
always_count,141,1.0,5,0.03546099290780142,0.7872340425531915,0.0,4.0,1.127659574468085,0.882059677222227,1.0,1.0,0.0,1.0,False,False
arith_count,141,1.0,10,0.07092198581560284,0.723404255319149,0.0,15.0,2.2624113475177303,3.134446889958502,0.0,2.0,2.0,1.0,False,False
arithmetic_cells,141,1.0,10,0.07092198581560284,0.624113475177305,0.0,127.0,18.26950354609929,37.09158292479587,0.0,8.0,8.0,1.0,False,False
assign_count,141,1.0,12,0.0851063829787234,0.8085106382978723,0.0,18.0,3.631205673758865,4.769006539002208,1.0,4.0,3.0,1.0,False,False
ast_depth_est,141,1.0,18,0.1276595744680851,1.0,5.0,22.0,11.26950354609929,4.545872467538237,7.0,14.0,7.0,1.0,False,False
case_count,141,1.0,3,0.02127659574468085,0.41134751773049644,0.0,2.0,0.49645390070921985,0.6482285022561618,0.0,1.0,1.0,1.0,False,False
cell_count_log,141,1.0,32,0.22695035460992907,1.0,1.0986122886681096,7.255591274253665,3.498190290553004,1.577389575571295,2.772588722239781,4.219507705176107,1.4469189829363258,1.0,False,False
comb_ratio,141,1.0,21,0.14893617021276595,1.0,0.5,1.0,0.8430849073425234,0.1565413872599118,0.7272727272727273,1.0,0.2727272727272727,1.0,False,False
comb_width_log,141,1.0,26,0.18439716312056736,1.0,0.6931471805599453,4.04305126783455,2.6192999177157033,0.9359563241541587,2.0794415416798357,2.995732273553991,0.9162907318741551,1.0,False,False
combinational_cells,141,1.0,26,0.18439716312056736,1.0,1.0,56.0,18.77304964539007,15.929529559163345,7.0,19.0,12.0,1.0,False,False
compare_count,141,1.0,19,0.1347517730496454,0.7801418439716312,0.0,60.0,7.815602836879433,8.870704703773665,1.0,12.0,11.0,1.0,False,False
control_count,141,1.0,12,0.0851063829787234,0.6879432624113475,0.0,11.0,3.7163120567375887,3.34393966727351,0.0,6.0,6.0,1.0,False,False
control_pipeline_ratio,141,1.0,29,0.20567375886524822,1.0,0.11864406779661017,8.0,1.3331728360317285,1.4125177492492262,0.4,1.5714285714285714,1.1714285714285713,1.0,False,False
ctrl_depth_est,141,1.0,6,0.0425531914893617,0.723404255319149,0.0,8.0,2.6879432624113475,2.41195236469272,0.0,4.0,4.0,1.0,False,False
edge_per_node,141,1.0,38,0.2695035460992908,1.0,0.5,2.1714285714285713,1.2250172885619899,0.41048668985590536,0.8571428571428571,1.5714285714285714,0.7142857142857143,1.0,False,False
ff_depth,141,1.0,4,0.028368794326241134,0.5177304964539007,0.0,3.0,0.8226950354609929,0.9474391609671929,0.0,1.0,1.0,1.0,False,False
for_count,141,1.0,6,0.0425531914893617,0.45390070921985815,0.0,8.0,0.7730496453900709,1.1752096196073298,0.0,1.0,1.0,1.0,False,False
fsm_state_count_est,141,1.0,6,0.0425531914893617,0.19858156028368795,0.0,6.0,0.5319148936170213,1.3763616931923817,0.0,0.0,0.0,1.0,False,False
hyper_cell_count,141,1.0,30,0.2127659574468085,1.0,2.0,56.0,20.27659574468085,15.412579546240849,8.0,21.0,13.0,1.0,False,False
hyper_directed_edge_count,141,1.0,33,0.23404255319148937,1.0,1.0,88.0,26.78723404255319,20.855398304726048,10.0,35.0,25.0,1.0,False,False
hyper_driven_net_count,141,1.0,34,0.24113475177304963,1.0,4.0,496.0,81.52482269503547,118.74560576029712,23.0,73.0,50.0,1.0,False,False
hyper_fanout_entropy,141,1.0,40,0.28368794326241137,1.0,2.0,8.180965913605686,5.046962843622203,1.5650549260626467,4.366729296672175,5.975745055027298,1.609015758355123,1.0,False,False
hyper_max_fanout,141,1.0,11,0.07801418439716312,1.0,1.0,17.0,5.304964539007092,3.964278908987871,3.0,6.0,3.0,1.0,False,False
hyper_max_level,141,1.0,11,0.07801418439716312,0.7304964539007093,0.0,23.0,3.595744680851064,5.935801610356193,0.0,4.0,4.0,1.0,False,False
hyper_max_level_delta,141,1.0,10,0.07092198581560284,0.7304964539007093,0.0,22.0,3.347517730496454,5.730329679477546,0.0,3.0,3.0,1.0,False,False
hyper_mean_fanout,141,1.0,39,0.2765957446808511,1.0,1.0,2.7076566125290022,1.5912655466554204,0.401747430648203,1.34375,1.7272727272727273,0.3835227272727273,1.0,False,False
hyper_net_count,141,1.0,34,0.24113475177304963,1.0,4.0,496.0,81.52482269503547,118.74560576029712,23.0,73.0,50.0,1.0,False,False
hyper_sink_net_count,141,1.0,35,0.24822695035460993,1.0,4.0,496.0,81.40425531914893,118.79077373750316,23.0,73.0,50.0,1.0,False,False
if_count,141,1.0,8,0.05673758865248227,0.5531914893617021,0.0,7.0,1.5886524822695036,1.9680819116963402,0.0,2.0,2.0,1.0,False,False
laplacian_lambda2,141,1.0,42,0.2978723404255319,0.8368794326241135,0.0,2.0,0.2913387104084477,0.5314643554995223,0.0838461220923424,0.18350341907227383,0.09965729697993142,1.0,False,False
laplacian_spectral_entropy,141,1.0,44,0.3120567375886525,0.9148936170212766,0.0,0.9741393015668617,0.8631474677754815,0.26446626930581235,0.9138604138698865,0.9625505328734963,0.048690119003609866,1.0,False,False
log_edge_count,141,1.0,33,0.23404255319148937,1.0,0.6931471805599453,4.48863636973214,2.9417786697659762,0.9972485596966836,2.3978952727983707,3.58351893845611,1.1856236656577392,1.0,False,False
log_max_level,141,1.0,11,0.07801418439716312,0.7304964539007093,0.0,3.1780538303479458,1.0331519497015431,0.9062216835523449,0.0,1.6094379124341003,1.6094379124341003,1.0,False,False
log_net_count,141,1.0,34,0.24113475177304963,1.0,1.6094379124341003,6.208590026096629,3.745270148663378,1.1232047867814616,3.1780538303479458,4.304065093204169,1.1260112628562235,1.0,False,False
log_node_count,141,1.0,30,0.2127659574468085,1.0,1.0986122886681096,4.04305126783455,2.78321748931608,0.7852027349890861,2.1972245773362196,3.091042453358316,0.8938178760220965,1.0,False,False
logic_depth,141,1.0,10,0.07092198581560284,1.0,1.0,24.0,5.26241134751773,5.660169897045258,3.0,5.0,2.0,1.0,False,False
logic_depth_ltp,141,1.0,10,0.07092198581560284,1.0,1.0,24.0,5.2695035460992905,5.659210070211367,3.0,5.0,2.0,1.0,False,False
logic_depth_ltp_delta,141,1.0,2,0.014184397163120567,0.0070921985815602835,0.0,1.0,0.0070921985815602835,0.08391602529219314,0.0,0.0,0.0,1.0,False,False
logic_op_count,141,1.0,14,0.09929078014184398,0.6453900709219859,0.0,56.0,6.092198581560283,11.857846376899728,0.0,7.0,7.0,1.0,False,False
ltp_noff,141,1.0,1,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
math_op_ast_count,141,1.0,4,0.028368794326241134,0.4326241134751773,0.0,7.0,0.6666666666666666,1.3244384152686162,0.0,1.0,1.0,1.0,False,False
max_identifier_fanout,141,1.0,22,0.15602836879432624,1.0,3.0,35.0,12.056737588652481,6.963708404775657,7.0,15.0,8.0,1.0,False,False
max_rhs_operator_count,141,1.0,13,0.09219858156028368,0.9219858156028369,0.0,18.0,4.411347517730497,3.919529067792964,1.0,8.0,7.0,1.0,False,False
mul_count,141,1.0,4,0.028368794326241134,0.3829787234042553,0.0,3.0,0.46808510638297873,0.6690014946538626,0.0,1.0,1.0,1.0,False,False
mux_cells,141,1.0,16,0.11347517730496454,0.375886524822695,0.0,231.0,19.411347517730498,57.93663338730615,0.0,4.0,4.0,1.0,False,False
mux_ratio,141,1.0,25,0.1773049645390071,0.375886524822695,0.0,0.3333333333333333,0.04560671374394895,0.07871707823406597,0.0,0.05776173285198556,0.05776173285198556,1.0,False,False
operator_mix_score,141,1.0,37,0.2624113475177305,1.0,0.1,0.723404255319149,0.40611577463761883,0.15154264009521254,0.3333333333333333,0.475,0.14166666666666666,1.0,False,False
pipeline_event_count,141,1.0,13,0.09219858156028368,0.6312056737588653,0.0,58.0,5.680851063829787,8.081428801534535,0.0,10.0,10.0,1.0,False,False
reconv_sink_ratio,141,1.0,23,0.16312056737588654,0.7375886524822695,0.0,1.0,0.36555911162845517,0.393394085991854,0.0,0.85,0.85,1.0,False,False
reconv_source_ratio,141,1.0,13,0.09219858156028368,0.7375886524822695,0.0,1.0,0.5743066232427935,0.4299050521659125,0.0,1.0,1.0,1.0,False,False
rent_clamped_flag,141,1.0,2,0.014184397163120567,0.375886524822695,0.0,1.0,0.375886524822695,0.4843509525947198,0.0,1.0,1.0,1.0,False,False
rent_confidence,141,1.0,46,0.3262411347517731,0.9148936170212766,0.0,0.9708803285620357,0.47726865362852655,0.33723316418350363,0.16478139114262996,0.8594435711186448,0.6946621799760149,1.0,False,False
rent_exponent,141,1.0,31,0.2198581560283688,0.5390070921985816,0.0,0.8593044335205513,0.3132388826742293,0.34489495805870496,0.0,0.6895549008903413,0.6895549008903413,1.0,False,False
rent_exponent_confidence_gated,141,1.0,46,0.3262411347517731,1.0,0.16146549991160203,0.8088018854636643,0.510928905546385,0.15789907724560087,0.4108797763199271,0.6838877884115075,0.27300801209158043,1.0,False,False
rent_graph_node_count,141,1.0,30,0.2127659574468085,1.0,2.0,56.0,20.27659574468085,15.412579546240849,8.0,21.0,13.0,1.0,False,False
rent_k,141,1.0,46,0.3262411347517731,0.9148936170212766,0.0,88.75649932284897,14.977993978380262,16.24304587643015,2.77447038984745,20.705869201138306,17.931398811290855,1.0,False,False
rent_r2,141,1.0,46,0.3262411347517731,0.9148936170212766,0.0,1.0,0.49597017227783874,0.38958622945329047,0.027771643227559317,0.8440242844745791,0.8162526412470198,1.0,False,False
rent_raw_sample_count,141,1.0,16,0.11347517730496454,1.0,1.0,18.0,7.709219858156028,3.8473330674383046,5.0,9.0,4.0,1.0,False,False
rent_retained_sample_ratio,141,1.0,12,0.0851063829787234,0.9148936170212766,0.0,1.0,0.8337105565828969,0.2711122261568745,0.8,1.0,0.19999999999999996,1.0,False,False
rent_sample_count,141,1.0,15,0.10638297872340426,0.9148936170212766,0.0,18.0,7.0638297872340425,4.007462482107063,4.0,9.0,5.0,1.0,False,False
resource_sharing_ratio_est,141,1.0,20,0.14184397163120568,0.4326241134751773,0.0,0.06666666666666667,0.010683013016787195,0.01787762744846101,0.0,0.02364864864864865,0.02364864864864865,1.0,False,False
rtl_char_count,141,1.0,115,0.8156028368794326,1.0,138.0,3923.0,1468.014184397163,946.5683296179321,745.0,2063.0,1318.0,1.0,False,False
rtl_cyclomatic_max_log,141,1.0,17,0.12056737588652482,0.7588652482269503,0.0,2.995732273553991,1.5287959712670252,1.0527936169906102,0.6931471805599453,2.3978952727983707,1.7047480922384253,1.0,False,False
rtl_cyclomatic_total_log,141,1.0,21,0.14893617021276595,0.7588652482269503,0.0,3.1780538303479458,1.6141054846234424,1.1276855206564296,0.6931471805599453,2.70805020110221,2.0149030205422647,1.0,False,False
rtl_instance_count_est,141,1.0,1,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
rtl_line_count,141,1.0,56,0.3971631205673759,1.0,5.0,120.0,46.53900709219858,26.630787315749554,30.0,64.0,34.0,1.0,False,False
rtl_nonempty_line_count,141,1.0,54,0.3829787234042553,1.0,5.0,116.0,42.4468085106383,24.829182536226046,26.0,57.0,31.0,1.0,False,False
scoap_cc0_bin_0_pct,141,1.0,34,0.24113475177304963,1.0,0.14112903225806453,0.75,0.3359781851491611,0.19010648577489594,0.18181818181818182,0.40625,0.22443181818181818,1.0,False,False
scoap_cc0_bin_1_pct,141,1.0,38,0.2695035460992908,1.0,0.11904761904761904,0.7666666666666667,0.35536400801197304,0.1928027407278785,0.19534883720930232,0.4383561643835616,0.2430073271742593,1.0,False,False
scoap_cc0_bin_2_pct,141,1.0,35,0.24822695035460993,0.8226950354609929,0.0,0.41818181818181815,0.1410976064735564,0.1109990074981257,0.03571428571428571,0.2608695652173913,0.2251552795031056,1.0,False,False
