feature,eligible,predictive_score,diversity_score,stability_score,composite_score,collapsed_in_backend_count,finite_fraction,normalized_range_coverage,unique_ratio
seq_ratio,True,0.7268515983795905,0.715518197690984,1.0,0.7775145884626602,0,1.0,1.0,0.14893617021276595
logic_op_count,True,0.7016941815513661,0.6997635933806147,1.0,0.76067963938133,0,1.0,1.0,0.09929078014184398
logic_depth,True,0.705226803777473,0.6903073286052009,1.0,0.7589596267116832,0,1.0,1.0,0.07092198581560284
logic_depth_ltp,True,0.7050699318261314,0.6903073286052009,1.0,0.7588890343335795,0,1.0,1.0,0.07092198581560284
sequential_cells,True,0.6795995490112754,0.6997635933806147,1.0,0.750737054738289,0,1.0,1.0,0.09929078014184398
scoap_co_bin_2_pct,True,0.6457189827074321,0.7290287757933956,1.0,0.7457336137460329,0,1.0,1.0,0.2127659574468085
pipeline_event_count,True,0.6579594583758057,0.6973995271867612,1.0,0.740171590784479,0,1.0,1.0,0.09219858156028368
resource_sharing_ratio_est,True,0.6199544726953965,0.7139479905437353,1.0,0.7288613094032357,0,1.0,1.0,0.14184397163120568
rent_k,True,0.5648887114636686,0.7754137115839242,1.0,0.7255947192130243,0,1.0,1.0,0.3262411347517731
operator_mix_score,True,0.7333579897044565,0.5451875580687905,1.0,0.7208267406910822,0,1.0,1.0,0.2624113475177305
scoap_co_bin_0_pct,True,0.6229415632223104,0.6533824860022562,1.0,0.7090075735508294,0,1.0,1.0,0.2624113475177305
rent_exponent,True,0.5539179863105654,0.7399527186761229,1.0,0.7082465453763975,0,1.0,1.0,0.2198581560283688
ff_depth,True,0.5989869881067247,0.6761229314420804,1.0,0.7061871706527543,0,1.0,1.0,0.028368794326241134
control_pipeline_ratio,True,0.5418723847326916,0.7352245862884161,1.0,0.7011711783306569,0,1.0,1.0,0.20567375886524822
total_cells,True,0.5247570802650368,0.7423167848699763,1.0,0.6959515608237583,0,1.0,1.0,0.22695035460992907
mux_cells,True,0.540582095831581,0.7044917257683215,1.0,0.6898340471431239,0,1.0,1.0,0.11347517730496454
hyper_sink_net_count,True,0.5044652851781597,0.7494089834515366,1.0,0.6893025225382097,0,1.0,1.0,0.24822695035460993
hyper_driven_net_count,True,0.5042066659643953,0.7470449172576833,1.0,0.688358720724167,0,1.0,1.0,0.24113475177304963
hyper_net_count,True,0.5042066659643953,0.7470449172576833,1.0,0.688358720724167,0,1.0,1.0,0.24113475177304963
wire_cell_ratio_est,True,0.721085159029359,0.4659597922893622,1.0,0.6875742488644883,0,1.0,1.0,0.2198581560283688
rent_r2,True,0.5280251061839801,0.7039148266570617,1.0,0.6839814871127627,0,1.0,1.0,0.3262411347517731
comb_ratio,True,0.7268515983795905,0.4448710215174405,1.0,0.6827880768019199,0,1.0,1.0,0.14893617021276595
adder_ratio,True,0.49894706183684184,0.7304964539007092,1.0,0.680199936691827,0,1.0,1.0,0.19148936170212766
rent_confidence,True,0.540077104901789,0.6776103127501814,1.0,0.6801983066683686,0,1.0,1.0,0.3262411347517731
arithmetic_cells,True,0.5283131983306976,0.6903073286052009,1.0,0.6793485042606342,0,1.0,1.0,0.07092198581560284
math_op_ast_count,True,0.5283579583943453,0.6761229314420804,1.0,0.6744041072821836,0,1.0,1.0,0.028368794326241134
max_identifier_fanout,True,0.6037297861575052,0.5778688454948475,1.0,0.6739324996940739,0,1.0,1.0,0.15602836879432624
scoap_cc0_bin_3_pct,True,0.4864344628345067,0.7281323877068558,1.0,0.6737418439729275,0,1.0,1.0,0.18439716312056736
if_count,True,0.5059401859919672,0.6855791962174941,1.0,0.6676258023725081,0,1.0,1.0,0.05673758865248227
scoap_cc1_bin_3_pct,True,0.4663029510584264,0.7304964539007092,1.0,0.66551008684154,0,1.0,1.0,0.19148936170212766
combinational_cells,True,0.5037408274767793,0.6776429868558335,1.0,0.6638584177640925,0,1.0,1.0,0.18439716312056736
