benchmark,problem,status,best_score,success_pool_size,fail_pool_size,occupied_cells,total_archive_members,global_pareto_size,coverage,collapsed_axes,api_timeout_recovered,best_code_relpath
RTLLM,Prob004_adder_8bit,success,0.38154412826809186,3,12,1,1,1,0.0625,rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample1_single_thought_operator/code.sv
RTLLM,Prob015_multi_pipe_8bit,success,0.23578712054108406,4,12,1,2,1,0.0625,rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample11_single_thought_operator/code.sv
RTLLM,Prob024_fsm,success,0.5486320508810343,4,12,1,2,1,0.0625,rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen3/Prob024_fsm_sample5_single_thought_operator/code.sv
RTLLM,Prob037_parallel2serial,success,-0.0,4,12,1,2,2,0.0625,rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob037_parallel2serial/Gen0/Prob037_parallel2serial_sample5_initial/code.sv
RTLLM,Prob041_traffic_light,success,0.39933732752360207,4,12,1,2,1,0.0625,rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Gen2/Prob041_traffic_light_sample6_single_thought_operator/code.sv
RTLLM,Prob045_alu,success,0.41646550364675733,4,12,1,2,1,0.0625,rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen1/Prob045_alu_sample6_single_thought_operator/code.sv
RTLLM,Prob049_signal_generator,success,0.23477469440256318,6,12,2,2,1,0.125,rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator/Gen1/Prob049_signal_generator_sample1_single_thought_operator/code.sv
VerilogEval-Spec-to-RTL,Prob098_circuit7,success,0.01200564971751411,4,12,1,2,1,0.0625,masterrtl_operator_log_edges;rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob098_circuit7/Gen0/Prob098_circuit7_sample7_initial/code.sv
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,success,0.46535233160621764,4,12,1,2,1,0.0625,rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3/Gen0/Prob116_m2014_q3_sample3_initial/code.sv
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,success,0.2636173393124066,4,12,1,2,1,0.0625,rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b/Gen3/Prob135_m2014_q6b_sample3_single_thought_operator/code.sv
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,success,0.32968627450980387,4,12,1,2,1,0.0625,masterrtl_operator_log_edges;rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot/Gen0/Prob150_review2015_fsmonehot_sample5_initial/code.sv
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,success,-0.1956065932576,2,12,1,2,1,0.0625,rtltimer_state_timing_class,False,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob151_review2015_fsm/Gen2/Prob151_review2015_fsm_sample3_single_thought_operator/code.sv
VerilogEval-Spec-to-RTL,Prob153_gshare,success,0.13560291914358902,4,12,1,2,4,0.0625,rtltimer_state_timing_class,True,exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare/Gen1/Prob153_gshare_sample1_initial/code.sv
