suite,problem,summary_status,best_score,archive_members,occupied_cells,num_cells,max_front,collapsed_axes,code_candidates,ppa_reports
RTLLM,Prob004_adder_8bit,success,0.38154412826809186,2,2,2,1,source_aligned_masterrtl_branching;source_aligned_rtltimer_dff_density,48,36
RTLLM,Prob015_multi_pipe_8bit,success,0.023107098236111234,9,7,64,2,,48,10
RTLLM,Prob024_fsm,success,0.5002335522886039,8,6,36,2,,48,22
RTLLM,Prob037_parallel2serial,success,0.09792330962308889,7,5,27,2,,48,20
RTLLM,Prob041_traffic_light,success,0.40382050351004595,15,13,64,2,,48,21
RTLLM,Prob045_alu,success,0.40702214337341486,15,9,16,2,source_aligned_rtltimer_dff_density,48,21
RTLLM,Prob049_signal_generator,success,0.2638032281317402,3,2,8,2,,48,43
VerilogEval-Spec-to-RTL,Prob098_circuit7,success,0.01200564971751411,2,2,4,1,source_aligned_masterrtl_branching,48,20
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,success,0.46535233160621764,6,6,16,1,source_aligned_rtltimer_dff_density,48,31
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,success,0.2636173393124066,3,2,4,2,source_aligned_rtltimer_dff_density,48,40
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,success,0.32968627450980387,2,2,3,1,source_aligned_masterrtl_branching;source_aligned_rtltimer_dff_density,48,14
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,failed,,0,0,0,0,,48,3
VerilogEval-Spec-to-RTL,Prob153_gshare,success,0.13560291914358902,13,8,64,2,,48,13
