backend,benchmark,problem_count,pareto_valid_problem_count,mean_hypervolume,mean_pareto_point_count,mean_reference_beating_count,hypervolume_win_count
classic_revolution_12x3,ALL,8,8,0.18636568212027882,2.25,8.375,1
classic_revolution_12x3,RTLLM,5,5,0.17877676499081036,2.6,12.2,0
classic_revolution_12x3,VerilogEval-Spec-to-RTL,3,3,0.19901387733605955,1.6666666666666667,2.0,1
classic_revolution_6x7,ALL,8,8,0.1700994814185665,2.625,8.375,4
classic_revolution_6x7,RTLLM,5,5,0.19244891078948995,2.6,12.2,4
classic_revolution_6x7,VerilogEval-Spec-to-RTL,3,3,0.13285043246702744,2.6666666666666665,2.0,0
classic_revolution_8x5,ALL,8,8,0.14137899340577034,2.625,7.875,1
classic_revolution_8x5,RTLLM,5,5,0.1464343816348317,3.0,10.6,0
classic_revolution_8x5,VerilogEval-Spec-to-RTL,3,3,0.13295334635733472,2.0,3.3333333333333335,1
shape_density_front_pressure_qd_12x3,ALL,8,8,0.10596125651165694,2.25,5.125,0
shape_density_front_pressure_qd_12x3,RTLLM,5,5,0.0897880310854425,2.2,7.0,0
shape_density_front_pressure_qd_12x3,VerilogEval-Spec-to-RTL,3,3,0.13291663222201439,2.3333333333333335,2.0,0
shape_density_front_pressure_qd_6x7,ALL,8,8,0.11944819302619876,2.0,5.375,0
shape_density_front_pressure_qd_6x7,RTLLM,5,5,0.11143235559944827,2.0,7.6,0
shape_density_front_pressure_qd_6x7,VerilogEval-Spec-to-RTL,3,3,0.1328079220707829,2.0,1.6666666666666667,0
shape_density_front_pressure_qd_8x5,ALL,8,8,0.12309873095696648,1.625,5.625,2
shape_density_front_pressure_qd_8x5,RTLLM,5,5,0.11704626241459148,1.6,7.2,1
shape_density_front_pressure_qd_8x5,VerilogEval-Spec-to-RTL,3,3,0.1331861785275915,1.6666666666666667,3.0,1
